"","plantName","cleanedPlantName"
"1","N/A","NA"
"2","White fir","White fir"
"3","Crepe myrtle","Crapemyrtle"
"4","Ironwood","Ironwood"
"5","Unknown","NA"
"6","Big-leaf dogwood","Cornus macrophylla"
"7","Sumac?","Sumac?"
"8","Quihoui???","NA"
"9","Olive quihoui??","NA"
"10","Mountain or fraser magnolia","Fraser's magnolia"
"11","8","NA"
"12","9","NA"
"13","Fraser magnolia","Fraser's magnolia"
"14","Wild cherry","Prunus"
"15","Yaupon","Yaupon"
"16","Carpinus spp.","Carpinus"
"17","Feijoa sellowiana","Feijoa sellowiana"
"18","Olea spp.","Olea"
"19","Osmanthus fragrans","Osmanthus fragrans"
"20","Illicium spp.","Illicium"
"21","Magnolia figo","Magnolia figo"
"22","Asimina spp.","Asimina"
"23","Carolina laurel cherry","Carolina laurel cherry"
"24","White spruce","White spruce"
"25","Amelanchier alnifolia","Amelanchier alnifolia"
"26","Green alder","Green alder"
"27","Buxus sempervirens","Buxus sempervirens"
"28","Euonymus japonicus","Euonymus japonicus"
"29","Nerium oleander","Nerium oleander"
"30","Viburnum tinus","Viburnum tinus"
"31","Nothoscordum gracile (onionweed)","Nothoscordum gracile"
"32","Texas sophora","Texas sophora"
"33","Lombardy poplar","Lombardy's poplar"
"34","Yucca rostrata","Yucca rostrata"
"35","American beautyberry","American beautyberry"
"36","Carolina cherry laurel","Carolina lauralcherry"
"37","Gum bumelia","Gum bumelia"
"38","Leatherleaf mahonia","Leatherleaf mahonia"
"39","Stretchberry","Stretchberry"
"40","Chinese holly","Chinese holly"
"41","Heavenly bamboo","Heavenly bamboo"
"42","Groundsel tree","Groundsel tree"
"43","Chinese privet","Chinese privet"
"44","Fishpole bamboo","Fishpole bamboo"
"45","Japanese spindle tree","Japanese spindletree"
"46","Common gardenia","Common gardenia"
"47","Tree privet","Tree privet"
"48","Reeves spiraea","Reeves spiraea"
"49","Buttonwood-mangrove","Button mangrove"
"50","Strawberry bush","Strawberry bush"
"51","Winged eonymous","Winged Euonymus"
"52","Viburnum rhytidophyllum","Viburnum rhytidophyllum"
"53","Silver poplar","Silver poplar"
"54","Mountain maple","Mountain maple"
"55","Carolina laurelcherry","Carolina laurelcherry"
"56","Bigleaf snowbell","Bigleaf snowbell"
"57","American sweetgum","American sweetgum"
"58","Sweetbay magnolia","Sweetbay magnolia"
"59","Prunus spp. (apricot)","Prunus spp. (apricot)"
"60","Prunus spp. (cherry)","Prunus spp. (cherry)"
"61","Punica spp.","Punica"
"62","Camptotheca spp.","Camptotheca"
"63","Viburnum awabuki","Viburnum awabuki"
"64","Eriobotrya japonica","Eriobotrya japonica"
"65","Silverbell spp.","Silverbell"
"66","Pussy willow","Pussy willow"
"67","Prunus spp.(plum)","Prunus"
"68","Cockspur hawthorn","Cockspur hawthorn"
"69","Honey locust","Honey locust"
"70","Winged euonymus","Winged euonymus"
"71","Prunus laurocerasus","Prunus laurocerasus"
"72","Japanese cherry","Japanese flowering cherry"
"73","Alnus crispa","Alnus crispa"
"74","Rosa acicularis","Rosa acicularis"
"75","Rubus idaeus","Rubus idaeus"
"76","Lonicera involucrata","Lonicera involucrata"
"77","Franklin tree","Franklin tree"
"78","Prunus salicina","Prunus salicina"
"79","Na","Na"
"80","Tilia tomentosa","Tilia tomentosa"
"81","Ulmus carpinifolia","Ulmus carpinifolia"
"82","Pitch pine","Pitch pine"
"83","Loblolly pine","Loblolly pine"
"84","Fremont cottonwood","Fremont cottonwood"
"85","Rosa spp.","Rosa"
"86","Cypress spp.","Cypress"
"87","Eastern cottonwood","Eastern cottonwood"
"88","Azalea, rhododendron spp.","Azalea, rhododendron"
"89","Post oak","Post oak"
"90","Shortleaf pine","Shortleaf pine"
"91","Syringa vulgaris","Syringa vulgaris"
"92","Horse chestnut","Horse chestnut"
"93","Arizona white oak","Arizona white oak"
"94","Norway spruce","Norway spruce"
"95","Shining willow","Shining willow"
"96","Myrobalan plum","Myrobalan plum"
"97","European horse chestnut","European horse chestnut"
"98","Prunus serulata (japanese cherry blossom)","Prunus serultaa"
"99","Prunus sargentii","Prunus sargentii"
"100","Amelanchier","Amelanchier"
"101","Staghorn sumac","Staghorn sumac"
"102","Cottonwood and poplar spp.","Cottonwood and poplar"
"103","Quercus hemispherica","Quercus hemispherica"
"104","Prunus umbellata","Prunus umbellata"
"105","Ilex ambigua","Ilex ambigua"
"106","Hibiscus coccineus albus","Hibiscus coccineus albus"
"107","Quercus nuttallii","Quercus nuttallii"
"108","Hibiscus moscheutos","Hibiscus moscheutos"
