,plantName,cleanedPlantName,leaflength,,,,
155,Tuliptree,Tuliptree,(same as tulip poplar according to IT IS) done,,repeat,,
1,American beech,American beech,done,,23898,as Fagus grandifolia,
5,Blackgum,Blackgum,done,,repeat,,
10,Sugar maple,Sugar maple,done,,,v 2,
18,Japanese maple,Japanese maple,done,,849,as Acer palmatum,
46,Flowering dogwood,Flowering dogwood,done,,14574,as Cornus florida,
51,Sweetgum,Sweetgum,done,,repeat,,
70,Crepe myrtle,Crapemyrtle,done,,repeat,,
71,Northern red oak,Northern red oak,done,,45473,as Quercus rubra,
146,Southern magnolia,Southern magnolia,done,,35032,as Magnolia grandiflora,
185,Witch hazel,Witch hazel,done,,232483,as Hamamelis,
222,Callicarpa americana,Callicarpa americana,done,,repeat,,
234,Laurel oak,Laurel oak,done,,45414,as Quercus laurifolia ,
235,Tulip poplar,Tulip poplar,done,,repeat,,
252,Sweet gum,Sweetgum,done,,238177,as Liquidambar,
337,Sweetbay,Sweetbay,done,,repeat,,
364,Yaupon,Yaupon,done,,30349,as Ilex vomitoria,
413,White spruce,White spruce,done,,41920,as Picea glauca,
425,American beautyberry,American beautyberry,done,,9515,as Callicarpa americana,
427,Gum bumelia,Gum bumelia,done,,,,
428,Leatherleaf mahonia,Leatherleaf mahonia,done,,35073,as Mahonia bealei,
430,Chinese holly,Chinese holly,done,,30252,as Ilex cornuta,
433,Chinese privet,Chinese privet,done,,33429,as Ligustrum sinense,
441,Winged eonymous,Winged eonymous,done,,repeat ,,
445,Carolina laurelcherry,Carolina laurelcherry,done,,repeat,,
447,American sweetgum,American sweetgum,done,,33704,"as 	Liquidambar styraciflua",
456,Black haw,Black haw,done,,repeat,,
476,Loblolly pine,Loblolly pine,done,,42188,as Pinus taeda,
483,Post oak,Post oak,done,,45489,as Quercus stellata ,
500,Prunus umbellata,Prunus umbellata,done,,44434,,
333,Cherry laurel,Cherry laurel,done (carolina laurelcherry),,repeat,,
412,Carolina laurel cherry,Carolina laurel cherry,done (carolina laurelcherry),,repeat,,
426,Carolina cherry laurel,Carolina cherry laurel,done (carolina laurelcherry),,44317,as Prunus caroliniana,
469,Crepe myrtle spp.,Crepe myrtle,done (crapemyrtle),,32184,as Lagerstroemia indica,
477,Fremont cottonwood,Fremont cottonwood,done (Fremont's cottonwood),,43507,as Populus fremontii,
448,Sweetbay magnolia,Sweetbay magnolia,done (same as sweetgum which is listed twice),,35065,as Magnolia virginiana ,
56,Red maple,Red maple,have,,859,as Acer rubrum ,
2,Birch spp.,Birch,,,208869,as Betula,
3,Paper birch,Paper birch,,,repeat,,
4,American hornbeam,American hornbeam,,,repeat,as Carpinus caroliniana,
6,White mulberry,White mulberry,,,37299,as Morus alba,
7,N/A,NA,,,NA,,
8,Boxelder,Boxelder,,,repeat,,
9,Chokecherry,Chokecherry,,,44440,as Prunus virginiana,
11,Hop hornbeam,Hophornbeam,,,repeat,,
12,Blue beech,Blue beech,,,10774,as Carpinus caroliniana,
13,Trembling aspen,Quaking aspen,,,43533,as Populus tremuloides,
14,Dogwood spp.,Dogwood,,,216554,as Cornus,
15,Common buckthorn,Common buckthorn,,,45983,as Rhamnus cathartica,
