,plantName,cleanedPlantName,leaflength,,,,
16,Pin cherry,Pin cherry,,,44391,as Prunus pensylvanica,
17,Yellow birch,Yellow birch,,,7319,as Betula alleghaniensis,
19,Honey suckle,Honeysuckle,,,repeat,,
20,Hydrangeas,Hydrangea,,,repeat,,
21,Rhododendron,Rhododendron,,,repeat,,
22,Weeping cherry,Weeping cherry,,,44426,as Prunus subhirtella,
23,Buckthorn,Buckthorn,,,repeat,,
24,Serviceberry spp.,Serviceberry,,,repeat,,
25,Hackberry spp.,Hackberry,,,repeat,,
26,Lilac,Lilac,,,repeat,,
27,Black cherry,Black cherry,,,44414,as Prunus serotina,
28,Vaccineum stamineum,Vaccineum stamineum,,,55750,,
29,Hickory spp.,Hickory,,,,as Carya,
30,White oak,White oak,,,256208,as Quercus group White Oaks,
31,Cherry and plum spp.,Cherry and plum,,,repeat,,
32,Live oak,Live oak,,,45503,as Quercus virginiana,
33,Norway maple,Norway maple,,,854,as Acer platanoides,
34,Viburnum trilobum,Viburnum trilobum,,,56341,,
35,Viburnum nudum,Viburnum nudum,,,repeat,,
36,Cornus stolonifera,Cornus stolonifera,,,216570,as Cornus sericea ssp. Sericea,
37,Vibirnum dentatum,Vibirnum dentatum,,,56312,as Viburnum dentatum,
38,Vaccinium spp,Vaccinium,,,repeat,,
39,Rhus glabra,Rhus glabra,,,46319,,
40,Hamamelis virginiana,Hamamelis virginiana,,,repeat,,
41,Striped maple,Striped maple,,,852,as Acer pensylvanicum,
42,Viburnum cassinoide,Viburnum cassinoide,,,56307,,
43,Scarlet oak,Scarlet oak,,,45349,as Quercus coccinea,
44,Aesculus parviflora,Aesculus parviflora,,,repeat,,
45,Rhododendron sp,Rhododendron,,,repeat,,
47,Halesia tetraptera,Halesia tetraptera,,,85199,,
48,Ginkgo,Ginkgo,,,323688,,
49,Malus sargentii,Malus sargentii,,,64642,,
50,Aesculus hippocastanum,Aesculus hippocastanum,,,1571,,
52,White fir,White fir,,,,,
53,Sourwood,Sourwood,,,246060,as Oxydendrum,
54,Maple spp.,Maple,,,repeat,,
55,Elm spp.,Elm,,,repeat,,
57,Oak spp.,Oak,,,,,
58,Autumn olive,Autumn olive,,,19926,as Elaeagnus umbellata,
59,Blackhaw,Blackhaw,,,56327,as Viburnum prunifolium,
60,Yellow buckeye,Yellow buckeye,,,1569,as Aesculus flava,
61,American elm,American elm,,,repeat,,
62,Spicebush,Spicebush,,,237973,as Lindera,
63,White-cedar spp.,White-cedar,,,repeat,,
64,Winged elm,Winged elm,,,55439,as Ulmus alata,
65,Yellow-poplar,Yellow-poplar,,,33707,as Liriodendron tulipifera,
66,Magnolia spp.,Magnolia,,,239415,,
67,Lonicera japonica,Lonicera japonica,,,34141,,
68,Eastern redbud,Eastern redbud,,,11853,as Cercis canadensis ,
69,Pear,Pear,,,repeat,,
72,Ironwood,Ironwood,,,,vs 2,
73,Florida maple,Florida maple,,,200479,as Acer saccharum subsp. floridanum,
74,Umbrella magnolia,Umbrella magnolia,,,35063,as Magnolia tripetala,
75,Viburnum rufidulum,Viburnum rufidulum,,,56332,,
76,Willow oak,Willow oak,,,45458,as Quercus phellos,
77,Swamp chestnut oak,Swamp chestnut oak,,,45431,as Quercus michauxii,
78,Pignut hickory,Pignut hickory,,,10831,as Carya glabra ,
79,Blueberry vaccinium sp.,Vaccinium,,,repeat,,
80,Common serviceberry,Common serviceberry,,,repeat,,
81,Maple leaf viburnum,Maple leaf viburnum,,,repeat,,
82,Chestnut oak,Chestnut oak,,,repeat,,
83,American holly,American holly,,,30308,as Ilex opaca ,
84,Common persimmon,Common persimmon,,,18628,as Diospyros virginiana,
85,American sycamore,American sycamore,,,42585,as Platanus occidentalis,
86,Honeylocust,Honeylocust,,,231113,as Gleditsia,
87,White ash,White ash,,,25239,as Fraxinus americana,
88,Beaked hazel,Beaked hazel,,,14692,as Corylus cornuta,
89,Speckled alder,Speckled alder,,,,vs 2,
90,White elm,White elm,,,55440,as Ulmus americana,
91,Hawthorn spp.,Hawthorn,,,repeat,,
92,Alternate-leaf dogwood,Alternate-leaf dogwood,,,14555,as Cornus alternifolia,
93,Redosier dogwood,Redosier dogwood,,,repeat,,
94,Tamarack,Tamarack,,,32372,as Larix laricina,
95,Willow spp.,Willow,,,258972,as Salix,
96,Red osier dogwood,Redosier dogwood,,,repeat,,
97,White birch,White birch,,,7355,as Betula papyrifera,
98,Quaking aspen,Quaking aspen,,,43533,as Populus tremuloides,
99,Balsam poplar,Balsam poplar,,,43495,as Populus balsamifera,
100,Apple spp.,Apple,,,239621,as Malus,
101,Black ash,Black ash,,,25256,as Fraxinus nigra,
102,Green ash,Green ash,,,25263,as Fraxinus pennsylvanica,
103,American chestnut,American chestnut,,,11063,as Castanea dentata,
104,Sour cherry,Sour cherry,,,44321,as Prunus cerasus,
105,American basswood,American basswood,,,54321,as Tilia americana,
106,Black walnut,Black walnut,,,31425,as Juglans nigra,
107,Rhamnus cathartica,Rhamnus cathartica,,,45983,,
108,Simplocos tinctoria,Symplocos tinctoria,,,52605,,
109,Walnut spp.,Walnut,,,235578,as Juglans,
110,Carolina hemlock,Carolina hemlock,,,55317,as Tsuga caroliniana ,
111,Honeysuckle,Honeysuckle,,,repeat,,
112,Tatarian honeysuckle,Tatarian honeysuckle,,,34165,as Lonicera tatarica,
113,Eastern hophornbeam,Eastern hophornbeam,,,39473,as Ostrya virginiana,
114,Huckleberry,Huckleberry,,,,vs 2,
115,Hazelnut,Hazelnut,,,216609,as Corylus,
116,Hop-hornbeam,Hophornbeam,,,245823,as Ostrya,
117,Red-osier dogwood,Redosier dogwood,,,repeat,,
118,White cedar,White cedar,,,213367,as Chamaecyparis,
119,Bur oak,Bur oak,,,repeat,,
120,Vaccinium caesariense,Vaccinium caesariense,,,268609,,
121,Myrica cerifera,Myrica cerifera,,,37246,as Morella cerifera,
122,Ilex verticillata,Ilex verticillata,,,30347,,
123,Basswood spp.,Basswood,,,266928,as Tilia,
124,Viburnum lentago,Viburnum lentago,,,56320,as Viburnum lentago,
125,Malus siberica,Malus siberica,,,35225,as Malus baccata,
126,Highbush blueberry,Highbush blueberry,,,55701,as Vaccinium corymbosum,
127,Sassafras,Sassafras,,,repeat,,
128,Cornus mas,Cornus mas,,,repeat,,
129,Kalopanax septemlobus,Kalopanax septemlobus,,,31689,,
130,Acer x freemanii,Acer x freemanii,,,200506,,
131,Ulmus sp.,Ulmus,,,repeat,,
132,Hydrangea quercifolia,Hydrangea quercifolia,,,29740,,
133,Black maple,Black maple,,,200482,as Acer saccharum subsp. Nigrum,
134,American yellowwood,Kentucky yellowwood,,,13237,as Cladrastis kentukea,
135,Tilia cordata,Tilia cordata,,,54325,,
136,Tilia x europaea,Tilia x europaea,,,266954,,
137,Viburnum dilatatum,Viburnum dilatatum,,,56313,,
138,Stewartia rostrata,Stewartia rostrata,,,388732,,
139,Red osier dogwood (cornus sericea),Redosier dogwood,,,14597,as Cornus sericea,
140,Red oak,Red oak,,,256207,as Quercus group Red Oak,
141,Pawpaw,Pawpaw,,,204812,as Asimina,
142,Hazel alder,Hazel alder,,,2729,as Alnus serrulata,
143,Hackberry,Hackberry,,,11497,as Celtis occidentalis,
144,Ash spp.,Ash,,,228885,as Fraxinus ,
145,Fagus sylvatica,Fagus sylvatica,,,23906,,
147,Symplocos tinctoria,Symplocos tinctoria,,,52605,,
148,Black oak,Black oak,,,45501,as Quercus velutina,
149,Chalk maple,Chalk maple,,,200481,"as Acer saccharum subsp. leucoderme	",
150,Slippery elm,Slippery elm,,,55473,as Ulmus rubra,
151,Pin oak,Pin oak,,,45452,as Quercus palustris,
152,Dwarf pawpaw,Dwarf pawpaw,,,204814,as Asimina pygmea,
153,Fringetree,Fringetree,,,213586,as Chionanthus,
154,Carolina ash,Carolina ash,,,25243,as Fraxinus caroliniana,
156,American bladdernut,American bladdernut,,,51599,as Staphylea trifolia,
157,American hazelnut,American hazelnut,,,14687,as Corylus americana,
158,Cucumber magnolia,Cucumber magnolia,,,35014,as Magnolia acuminata,
159,Bitternut hickory,Bitternut hickory,,,10829,as Carya cordiformis,
160,Carolina silverbell,Carolina silverbell,,,27702,as Halesia carolina,
161,Mockernut hickory,Mockernut hickory,,,294532,as Carya tomentosa ,
162,Vaccinium corymbosum,Vaccinium corymbosum,,,55701,,
163,Scrub oak,Scrub oak,,,,vs 2,
164,Viburnum dentatum,Viburnum dentatum,,,56312,,
165,Gaylussacia baccata,Gaylussacia baccata,,,25824,,
166,Prunus maritima,Prunus maritima,,,44373,,
167,Morella caroliniensis,Morella caroliniensis,,,350744,,
168,Baccharis halimifolia,Baccharis halimifolia,,,6528,,
169,Alder spp.,Alder,,,202240, as  Alnus,
170,American mountain-ash,American mountain-ash,,,50990,as Sorbus americana,
171,Forsythia,Forsythia,,,repeat,,
172,Swamp white oak,Swamp white oak,,,45326,as Quercus bicolor,
173,Southern catalpa,Southern catalpa,,,11183,as Catalpa bignonioides,
174,Arrowwood,Viburnum,,,repeat,,
175,Black gum,Black gum,,,38411,as Nyssa sylvatica,
176,Overcup oak,Overcup oak,,,45422,as Quercus lyrata,
177,Atlantic white-cedar,Atlantic white-cedar,,,11988,as Chamaecyparis thyoides,
178,Privet,Privet,,,237862,as Ligustrum,
179,Siberian elm,Siberian elm,,,55471,as Ulmus pumila,
180,Unknown,NA,,,NA,,
181,Southern red oak,Southern red oak,,,45375,as Quercus falcata,
182,Southern sugar maple,Southern sugar maple,,,,as ,
183,Japanese privet,Japanese privet,,,33422,as Ligustrum japonicum,
184,Buckeye spp.,Buckeye,,,201419,as Aesculus,
186,Japanese apricot,Japanese apricot,,,44379,as Prunus mume,
187,Stiff dogwood,Stiff dogwood,,,14575,as Cornus foemina,
188,Amur maple,Amur maple,,,200496,"as Acer tataricum subsp. ginnala	",
189,Japanese snowbell,Japanese snowbell,,,52246,as Styrax japonicus,
190,Cornelian-cherry dogwood,Cornelian-cherry dogwood,,,14580,as Cornus mas,
191,Weeping knoss dogwood,Weeping knoss dogwood,,,,,
192,Red buckeye,Red buckeye,,,1575,as Aesculus pavia,
193,Big-leaf dogwood,Cornus macrophylla,,,14579,,
194,Fragrant wintersweet,Fragrant wintersweet,,,12275,as Chimonanthus praecox,
195,Chinese quince,Chinese quince,,,296288,as Chaenomeles,
196,European spindletree,European spindletree,,,23260,as Euonymus europaeus,
197,Sweet birch,Sweet birch,,,7341,as Betula lenta,
198,Yeddo euonymous,Yeddo euonymous,,,,,
199,Beech spp.,Beech,,,repeat,,
200,Trident maple,Trident maple,,,794,as Acer buergerianum,
201,Water oak,Water oak,,,45441,as Quercus nigra,
202,Japanese zelkova,Japanese zelkova,,,57464,as Zelkova serrata,
203,Mountain laurel,Mountain laurel,,,repeat,,
204,Catawba rhododendron,Catawba rhododendron,,,46162,as Rhododendron catawbiense,
205,Eastern hemlock,Eastern hemlock,,,55316,as Tsuga canadensis,
206,Eastern white pine,Eastern white pine,,,42184,as Pinus strobus,
207,Virginia pine,Virginia pine,,,42198,as Pinus virginiana,
208,Elderberry,Elderberry,,,repeat,,
209,Rhododendron spp.,Rhododendron,,,repeat,,
210,Kalmia latifolia,Kalmia latifolia,,,31684,,
211,Loebner magnolia,Loebner magnolia,,,,,
212,Hedge maple,Hedge maple,,,797,as Acer campestre,
213,Possumhaw,Possumhaw,,,repeat,,
214,Nutmeg hickory,Nutmeg hickory,,,10837,as Carya myristiciformis,
215,Persian ironwood,Persian ironwood,,,40403,as Parrotia persica,
216,Osage orange,Osage orange,,,34849,as Maclura pomifera,
217,Horned maple,Horned maple,,,811,as Acer diabolicum,
218,Redbay,Redbay,,,repeat,,
219,Ilex vomitoria,Ilex vomitoria,,,30349,,
220,Chinese tallowtree,Chinese tallowtree,,,54694,as Triadica sebifera ,
221,Morella cerifera,Morella cerifera,,,37246,,
223,Azalea,Azalea,,,repeat,,
224,River birch,River birch,,,7352,as Betula nigra,
225,Russian-olive,Russian-olive,,,19914,as Elaeagnus angustifolia,
226,Golden rain tree,Golden rain tree,,,31956,as Koelreuteria paniculata,
227,Washington hawthorn,Washington hawthorn,,,15101,as Crataegus phaenopyrum,
228,Clerya spp.,Clerya,,,299296,as Cleyera,
229,Camellia spp.,Camellia,,,292083,,
230,Rose of sharon,Rose of sharon,,,28823,as Hibiscus syriacus,
231,Merrill magnolia,Merrill magnolia,,,,,
232,Catalpa spp.,Catalpa,,,212343,,
233,Chinese evergreen oak,Chinese evergreen oak,,,45439,as Quercus myrsinifolia,
236,Red mulberry,Red mulberry,,,37314,as morus rubra,
237,Hornbeam,Hornbeam,,,repeat,as Carpinus,
238,Viburnum plicatum,Viburnum plicatum,,,56326,,
239,Coastal azalea,Coastal azalea,,,64813,as Rhododendron atlanticum,
240,Azalea spp.,Azalea,,,257209,as Rhododendron,
241,Plumleaf azalea,Plumleaf azalea,,,257239,,
242,Piedmont azalea,Piedmont azalea,,,repeat,"either R, canescens or flammeum",
243,Florida azalea,Florida azalea,,,repeat,Rhododendron austrinum,
244,Rhododendron canescens,Rhododendron canescens,,,46161,,
245,Rhododendron austrinum,Rhododendron austrinum,,,257212,,
246,Common spicebush,Common spicebush,,,repeat,,
247,Symplocos tinctotria,Symplocos tinctoria,,,52605,,
248,Cherrybark oak,Cherrybark oak,,,45450,as Quercus pagoda,
249,Pear tree,Pear,,,repeat,,
250,Beech,Beech,,,227840,as Fagus,
251,Quercus montana,Quercus montana,,,70910,,
253,Vaccinum corymbosum,Vaccinium corymbosum,,,55701,,
254,Sumac?,Sumac?,,,NA,,
255,Lindera benzoin,Lindera benzoin,,,repeat,,
256,Sumac spp.,Sumac,,,264728,,
257,Mulberry spp.,Mulberry,,,242966,as Morus,
258,Wineberry,Wineberry,,,47261,as Rubus phoenicolasius,
259,Quihoui???,Quihoui???,,,NA,,
260,Olive quihoui??,Olive quihoui??,,,NA,,
261,Japanese knotweed,Japanese knotweed,,,227850,as Fallopia japonica var. japonica,
262,Northern spicebush,Northern spicebush,,,33566,as Lindera benzoin,
263,Oriental bittersweet,Oriental bittersweet,,,11403,as Celastrus orbiculatus,
264,Jetbead,Jetbead,,,46281,as Rhodotypos scandens,
265,Black mulberry,Black mulberry,,,37313,as Morus nigra,
266,Brambles,Brambles,,,,as Rubus,
267,Multiflora rose,Multiflora rose,,,46762,as Rosa multiflora,
268,Privet spp.,Privet,,,,two vs one another,
269,Bush honeysuckle (caprifoliaceae family),Bush honeysuckle,,,repeat,,
270,Ohio buckeye,Ohio buckeye,,,1570,as Aesculus glabra ,
271,Box elder (acer negundo),Acer negundo,,,repeat,,
272,Common ninebark,Common ninebark,,,41861,as Physocarpus opulifolius,
273,Ozark witch hazel,Ozark witch hazel,,,27809,as Hamamelis vernalis,
274,Wax myrtle,Wax myrtle,,,37246,as Morella cerifera,
275,Black locust,Black locust,,,46621,as Robinia pseudoacacia,
276,Amur honeysuckle,Amur honeysuckle,,,34144,as Lonicera maackii ,
277,Frangula alnus,Frangula alnus,,,25217,,
278,Wisteria,Wisteria,,,270385,,
279,Hydrangea,Hydrangea,,,234059,,
280,Great rhododendron,Great rhododendron,,,46207,as Rhododendron maximum,
281,Mountain or fraser magnolia,Fraser's magnolia,,,repeat,,
282,Buffalo nut,Buffalo nut,,,70896,as Pyrularia pubera,
283,Mountain holly,Mountain holly,,,repeat,Ilex montana,
284,Cherry,Cherry,,,repeat,,
285,Sycamore spp.,Sycamore,,,252867,as Platanus,
286,Calycanthus sp.,Calycanthus,,,211061,,
287,Arrowwood viburnum,Viburnum,,,repeat,,
288,Mapleleaf viburnum,Mapleleaf viburnum,,,56300,as Viburnum acerifolium,
289,Blueberry spp.,Blueberry,,,268605,as Vaccinium,
290,Boxelder maple,Acer negundo,,,841,,
291,Podocarpus,Podocarpus,,,253667,,
292,Florida forestiera,Florida forestiera,,,83629,as Forestiera segregata,
293,California-laurel,California laurel,,,55485,as Umbellularia californica,
294,Tanoak,Tanoak,,,244314,as Notholithocarpus densiflorus,
295,Pacific madrone,Pacific madrone,,,4443,as Arbutus menziesii ,
296,California live oak,California live oak,,,45314,as Quercus agrifolia,
297,Lonicera hispidula var. vacillans,Lonicera hispidula var. vacillans,,,238538,,
298,Common buttonbush,Common buttonbush,,,11719,as Cephalanthus occidentalis,
299,Broadleaf hawthorn,Broadleaf hawthorn,,,302992,as Crataegus dilatata,
300,Sweet crab apple,Sweet crab apple,,,35227,as Malus coronaria,
301,Viburnum spp.,Viburnum,,,repeat,,
302,Winterberry,Winterberry,,,23256,as Euonymus bungeanus,
303,American witch-hazel,witch-hazel,,,27810,as Hamamelis virginiana,
304,Rhus typhina,Rhus typhina,,,46375,,
305,Hawthorn sp.,Hawthorn,,,216859,as Crataegus,
306,Mountain winterberry,Mountain winterberry,,,30304,as Ilex montana,
307,Serviceberry,Serviceberry,,,,repeat,
308,8,NA,,,NA,,
309,9,NA,,,NA,,
310,Black birch,Black birch,,,7341,as Betula lenta,
311,Fraser magnolia,Fraser's magnolia,,,35029,as Magnolia fraseri,
312,Buckeye,Buckeye,,,201419,as Aesculus,
313,Basswood,Basswood,,,266928,as Tilia,
314,Fanleaf hawthorn,Fanleaf hawthorn,,,79886,as Crataegus flabellata,
315,Callery pear,Callery pear,,,45230,as  Pyrus calleryana,
316,Viburnum sp,Viburnum,,,repeat,,
317,Persimmon spp.,Persimmon,,,,as Diospyros,
318,Crab apple sp,Malus,,,239621,,
319,Virginia sweetspire,Virginia sweetspire,,,repeat,,
320,Common privet,Common privet,,,33429,as Ligustrum sinense,
321,Kwanzan cherry,Kwanzan cherry,,,repeat,also japanese flowering cherry,
322,Weeping willow,Weeping willow,,,47792,as Salix babylonica,
323,Grey dogwood,Grey dogwood,,,14593,as Cornus racemosa ,
324,Chinese chestnut,Chinese chestnut,,,11065,as Castanea mollissima,
325,European beech,European beech,,,23906,as Fagus sylvatica,
326,Kousa dogwood,Kousa dogwood,,,14578,as Cornus kousa,
327,Wild cherry,Prunus,,,repeat,,
328,Northern catalpa,Northern catalpa,,,11067,as Castanea pumila,
329,Bottlebrush buckeye,Bottlebrush buckeye,,,1574,as Aesculus parviflora,
330,Speckled japanese aralla,Speckled japanese aralla,,,24052,as Fatsia japonica,
331,Fig,Fig,,,24783,as Ficus carica,
332,Southern crab apple,Southern crab apple,,,35223,as Malus angustifolia,
334,Yew spp.,Yew,,,265550,as Taxus,
335,Bald cypress,Bald cypress,,,53523,as Taxodium distichum,
336,Canyon grape,Canyon grape,,,269864,as Vitis arizonica ,
338,Turkey oak,Turkey oak,,,45410,as  Quercus laevis,
339,Blackjack oak,Blackjack oak,,,45428,as Quercus marilandica,
340,Ilex glabra,Ilex glabra,,,30269,,
341,Cyrilla racemiflora,Cyrilla racemiflora,,,16555,,
342,Red bay,Redbay,,,41142,as Persea borbonia,
343,Leucothoe axillaris,Leucothoe axillaris,,,33229,,
344,Honeysuckle spp.,Honeysuckle,,,238532,as Lonicera,
345,Northern white-cedar,Northern white-cedar,,,54206,as Thuja occidentalis (mispelled common),
346,Spruce pine,Spruce pine,,,,two vs one another,
347,Prairie crab apple,Prairie crab apple,,,35237,as Malus ioensis,
348,Blue spruce,Blue spruce,,,41937,as Picea pungens,
349,Oregon crab apple,Oregon crab apple,,,35233,as Malus fusca,
350,Burr oak,Bur oak,,,45424,as Quercus macrocarpa,
351,Wafer ash,Wafer ash,,,44791,as Ptelea trifoliata,
352,Shumard oak,Shumard oak,,,45484,as Quercus shumardii,
353,Silky dogwood,Silky dogwood,,,14556,as Cornus amomum,
354,Silver maple,Silver maple,,,861,as Acer saccharinum,
355,Viburnum,Viburnum,,,269483,,
356,Elm,Elm,,,268325,as Ulmus,
357,Roughleaf dogwood,Roughleaf dogwood,,,14571,as Cornus drummondi,
358,Rose,Rose,,,not found,,
359,Buxus spp.,Buxus,,,210412,,
360,Oakleaf hydrangea,Oakleaf hydrangea,,,29740,as Hydrangea quercifolia,
361,Shellbark hickory,Shellbark hickory,,,,two vs one another,
362,Gray birch,Gray birch,,,7358,"as Betula populifolia	",
363,Itea virginica,Itea virginica,,,334541,as Itea,
365,Shingle oak,Shingle oak,,,45404,as Quercus imbricaria,
366,Littleleaf linden,Littleleaf linden,,,54325,as Tilia cordata,
367,Rhus copallinum,Rhus copallinum,,,257324,,
368,Southern bayberry,Southern bayberry,,,350744,,
369,Pear spp.,Pear,,,256101,,
370,Ficus spp.,Ficus,,,228016,,
371,Carpinus spp.,Carpinus,,,211982,,
372,Feijoa sellowiana,Feijoa sellowiana,,,787,as Acca sellowiana,
373,Olea spp.,Olea,,,245005,,
374,Osmanthus fragrans,Osmanthus fragrans,,,39402,,
375,Illicium spp.,Illicium,,,234693,,
376,Magnolia figo,Magnolia figo,,,89513,,
377,Tungoil tree,Tungoil tree,,,56058,as Vernicia fordii ,
378,Edgeworthia chrysantha,Edgeworthia chrysantha,,,222552,as Edgeworthia tomentosa,
379,Asimina spp.,Asimina,,,204812,,
380,Sugarberry,Sugarberry,,,,two vs one another,
381,Sweet cherry,Sweet cherry,,,44304,as Prunus avium,
382,Shagbark hickory,Shagbark hickory,,,10839,as Carya ovata,
383,Southern crabapple,Southern crabapple,,,345058,as Malus angustifolia ,
384,Eastern sweet shrub,Eastern sweetshrub,,,9775,as Calycanthus floridus,
385,Lilac spp.,Lilac,,,265118,as Syringa,
386,American plum,American plum,,,44294,as Prunus americana,
387,Peach,Peach,,,44392,as Prunus persica,
388,Euonymus alatus,Euonymus alatus,,,repeat,,
389,Virburnum,Viburnum,,,269483,,
390,Red elderberry,Red elderberry,,,48209,as Sambucus racemosa,
391,Kentucky yellowwood,Kentucky yellowwood,,,13237,as Cladrastis kentukea,
392,Water tupelo,Water tupelo,,,38404,as Nyssa aquatica,
393,Pecan,Pecan,,,10833,as Carya illinoinensis,
394,Gardenia spp.,Gardenia,,,230207,,
395,Nandina domestica,Nandina domestica,,,37728,,
396,Forsythia spp.,Forsythia,,,228807,,
397,Ailanthus,Ailanthus,,,201816,,
398,Bigtooth aspen,Bigtooth aspen,,,43510,as Populus grandidentata,
399,Quercus robur,Quercus robur,,,45470,,
400,Koelreuteria paniculata,Koelreuteria paniculata,,,31956,,
401,Zelkova serrata,Zelkova serrata,,,57464,,
402,Syringa reticulata,Syringa reticulata,,,52663,,
403,Amelanchier laevis,Amelanchier laevis,,,3183,,
404,Maackia amurensis,Maackia amurensis,,,34679,,
405,Monterey pine,Monterey pine,,,42174,as Pinus radiata,
406,Heartleaf birch,Heartleaf birch,,,208880,as Betula papyrifera var. cordifolia,
407,Catberry,Catberry,,,68664,as Ilex mucronata ,
408,Raisin,Raisin,,,29616,as Hovenia dulcis,
409,Mountain ash,Mountain ash,,,263119,as Sorbus,
410,Possumhaw viburnum,Possumhaw viburnum,,,64954,as Viburnum nudum,
411,Black willow,Black willow,,,47893,as Salix nigra,
414,Cherry spp.,Cherry,,,repeat,as Prunus,
415,Amelanchier alnifolia,Amelanchier alnifolia,,,3173,,
416,Green alder,Green alder,,,2704,as Alnus alnobetula,
417,Buxus sempervirens,Buxus sempervirens,,,8964,,
418,Euonymus japonicus,Euonymus japonicus,,,repeat,23265,
419,Nerium oleander,Nerium oleander,,,38091,,
420,Viburnum tinus,Viburnum tinus,,,56340,,
421,Nothoscordum gracile (onionweed),Nothoscordum gracile (onionweed),,,38343,,
422,Texas sophora,Texas sophora,,,50950,as Sophora affinis,
423,Lombardy poplar,Lombardy poplar,,,43519,as Populus nigra,
424,Yucca rostrata,Yucca rostrata,,,101539,,
429,Stretchberry,Stretchberry,,,25166,as Forestiera pubescens,
431,Heavenly bamboo,Heavenly bamboo,,,37728,as Nandina domestica,
432,Groundsel tree,Groundsel tree,,,6528,as Baccharis halimifolia,
434,Fishpole bamboo,Fishpole bamboo,,,41812,as Phyllostachys aurea,
435,Japanese spindle tree,Japanese spindle tree,,,23265,as Euonymus japonicus,
436,Common gardenia,Common gardenia,,,25712,as Gardenia volkensii ,
437,Tree privet,Tree privet,,,33423,as Ligustrum lucidum,
438,Reeves spiraea,Reeves spiraea,,,51374,as Spiraea cantoniensis,
439,Buttonwood-mangrove,Buttonwood-mangrove,,,14200,as Conocarpus erectus,
440,Strawberry bush,Strawberry bush,,,23253,as Euonymus americanus,
442,Viburnum rhytidophyllum,Viburnum rhytidophyllum,,,56330,,
443,Silver poplar,Silver poplar,,,43493,as Populus alba,
444,Mountain maple,Mountain maple,,,869,as Acer spicatum,
446,Bigleaf snowbell,Bigleaf snowbell,,,52241,"as Styrax grandifolius	",
449,Prunus spp. (apricot),Prunus spp. (apricot),,,44303,as Prunus armeniaca ,
