Family (as listed by USDA),Family as per Robinson et al. 2002,Genus,common name,herbaceous or woody,origin (for analysis),origin,species counts (Mid-Atlantic numbers unless otherwise indicated),total Lep spp,exotic Lep spp,Native Lep spp
Orchidaceae,Orchidaceae,Aplectrum,Adam and Eve,h,native,native,1 native,0,0,0
Poaceae,Poaceae,Apluda,Mauritian grass,h,alien,alien,1 alien,0,0,0
Apocynaceae,Apocynaceae,Apocynum,dogbane,h,native,native,3 natives,22,0,22
Ranunculaceae,Ranunculaceae,Aquilegia,columbine,h,native,both,"1 native, 1 alien perhaps another if cultivated",12,0,12
Brassicaceae,Brassicaceae,Arabidopsis,"mouseear cress, rock cress",h,alien,alien,1 alien,0,0,0
Brassicaceae,Cruciferae ,Arabis,rockcress,h,native,native,12 natives,7,0,7
Fabaceae,Leguminosae(P),Arachis,peanut,h,alien,alien,1 alien perhaps others if cultivated,13,4,9
Araliaceae,Araliaceae,Aralia,"devil's walkingstick, spikenard, sarsaparilla",h,native,both,"4 natives, 2 aliens perhaps another if cultivated",8,1,7
Ericaceae ,Ericaceae ,Arbutus,madrone,w,alien,alien,"1 alien DE&south, natives are western",12,1,11
Viscaceae,Viscaceae,Arceuthobium,dwarf mistletoe,w,native,native,1 native,0,0,0
Asteraceae,Compositae ,Arctium,burdock,h,alien,alien,4 aliens,27,1,26
Ericaceae ,Ericaceae ,Arctostaphylos,"bearberry, kinnikinnick, manzanita",w,native,native unless cultivated,"1 native (mostly a western species), Perhaps aliens if cultivated",17,2,15
Caryophyllaceae,Caprifoliaceae ,Arenaria,sandwort,h,native,both,"1 native (VA&south), 1 alien perhaps others if cultivated",1,0,1
Orchidaceae,Orchidaceae,Arethusa,dragon's mouth,h,native,native,1 native,0,0,0
Papaveraceae,Papaveraceae,Argemone,pricklypoppy,h,native,native,2 natives,1,0,1
Rosaceae,Rosaceae,Argentina,silverweed,h,native,native,2 native,0,0,0
Araceae,Araceae,Arisaema,"jack-in-the-pulpit, cobralily, arisaema",h,native,native unless cultivated,"2 natives, perhaps aliens if cultivated",1,0,1
Poaceae,Gramineae,Aristida,threeawn,h,native,native unless cultivated,"3 natives, perhaps aliens if cultivated",1,0,1
Aristolochiaceae,Aristolochiaceae,Aristolochia,"pipevine, snakeroot, birthwort, dutchman's pipe",h,native,both,"3 natives, 1 alien perhaps others if cultivated",1,0,1
Plumbaginaceae,Plumbaginaceae,Armeria,thrift seapink,h,native,native unless cultivated,"1 native, perhaps 16 aliens if cultivated",0,0,0
Brassicaceae,Cruciferae ,Armoracia,horseradish,h,alien,alien,1 alien,5,0,5
Asteraceae,Asteraceae,Arnica,arnica,h,native,both,"1 native (NY), perhaps 2 aliens if cultivated, many natives out west",0,0,0
Asteraceae,Compositae ,Arnoglossum,"cacalia, Indian plaintain",h,native,native,3 natives,2,0,2
Asteraceae,Asteraceae,Arnoseris,lamb succory,h,alien,alien,1 alien,0,0,0
Poaceae,Poaceae,Arrhenatherum,oatgrass,h,alien,alien,"1 alien, perhaps others if cultivated",0,0,0
Asteraceae,Compositae ,Artemisia,"sagebrush, wormwood",h,native,both,"11 natives, 5 aliens perhaps others if cultivated",12,1,11
Poaceae,Poaceae,Arthraxon,carpgrass,h,alien,alien,1 alien,0,0,0
Rosaceae ,Rosaceae ,Aruncus,"bride's feathers, goatsbeard?",h,native,both,"1 native, 1 alien",2,0,2
Poaceae,Gramineae,Arundinaria,switchcane,h,native,native unless cultivated,"1 native, perhaps aliens if cultivated",8,0,8
Poaceae,Gramineae,Arundo,giant reed,h,alien,alien,1 alien,3,0,3
Aristolochiaceae,Aristolochiaceae,Asarum,wildginger,h,native,native,1 native,0,0,0
Asclepiadaceae,Asclepiadaceae,Asclepias,"milkweed, butterfly weed",h,native,native,14 natives,12,0,12
Annonaceae,Annonaceae,Asimina,pawpaw,w,native,native,2 natives,12,0,12
Liliaceae,Asparagaceae ,Asparagus,"asparagus, asparagus fern",h,alien,alien,1 alien perhaps others if cultivated,32,1,31
Boraginaceae,Boraginaceae,Asperugo,German-madwort,h,alien,alien,1 alien,0,0,0
Rubiaceae,Rubiaceae,Asperula,woodruff,h,alien,alien,1 alien,2,0,2
Aspleniaceae,Aspleniaceae,Asplenium,spleenwort,h,native,native,"18 natives, perhaps 2 others if cultivated",0,0,0
Asteraceae,Compositae ,Aster,aster,h,native,both,"1 alien perhaps others if cultivated, USDA website does not list any natives but I am assured there are",109,4,105
Saxifragaceae,Saxifragaceae,Astilbe,false goats beard,h,native,both,"1 native, 1 alien",0,0,0
Fabaceae,Leguminosae(P),Astragalus,milkvetch,h,native,native unless cultivated,"3 natives, aliens if cultivated",15,2,13
Dryopteridaceae,Woodsiaceae,Athyrium,ladyfern,h,native,native,1 native,3,0,3
Chenopodiaceae ,Chenopodiaceae ,Atriplex,saltbush,h,native,both,"5 natives, 3 aliens perhaps others if cultivated",5,2,3
Solanaceae ,Solanaceae ,Atropa,belledonna,h,alien,alien,1 alien,8,0,8
Scrophulariaceae,Scrophulariaceae,Aureolaria,false foxglove,h,native,native,5 natives,4,0,4
Brassicaceae,Brassicaceae,Aurinia,"basket of gold, goldentuft",h,alien,alien,2 aliens,0,0,0
Poaceae,Gramineae,Avena,oat,h,alien,alien,"3 aliens, perhaps others if cultivated",22,3,19
Poaceae,Poaceae,Avenula,downy alpine oatgrass,h,alien,alien,1 alien,0,0,0
Poaceae,Gramineae,Axonopus,carpetgrass,h,native,native unless cultivated,"2 natives, perhaps aliens if cultivated",2,0,2
Chenopodiaceae,Chenopodiaceae,Axyris,Russian pigweed,h,alien,alien,1 alien (NY),0,0,0
Azollaceae,Azollaceae,Azolla,mosquitofern,h,native,native,1 native,0,0,0
Asteraceae ,Compositae ,Baccharis,baccharis,h,native,native,1 native,21,1,20
Scrophulariaceae,Scrophulariaceae,Bacopa,waterhyssop,h,native,native,"4 natives, perhaps alie-",1,0,1
Asteraceae,Asteraceae,Bahia,bahia,h,alien,alien,1 alien (natives out west),0,0,0
Lamiaceae,Lamiaceae,Ballota,horehound,h,alien,alien,1 alien,0,0,0
Poaceae,Gramineae,Bambusa,bamboo,w,alien,alien,1 alien perhaps others if cultivated,1,0,1
Fabaceae,Leguminosae(P),Baptisia,"indigo, wild indigo",h,native,native,5 natives,17,2,15
Brassicaceae,Cruciferae ,Barbarea,"yellowrocket, wintercress",h,alien,alien,"2 alien, no natives",6,0,6
Gentianaceae,Gentianaceae,Bartonia,screwstem,h,native,native,2 natives,0,0,0
Chenopodiaceae,Chenopodiaceae,Bassia,smotherweed,h,alien,alien,3 aliens (natives out west),0,0,0
Poaceae,Poaceae,Beckmannia,sloughgrass,h,native,native,1 native,0,0,0
Iridaceae ,Iridaceae ,Belamcanda,blackberry lily,h,alien,alien,1 alien,1,0,1
Asteraceae ,Compositae ,Bellis,"bellis, lawndaisy",h,alien,alien,1 alien,1,0,1
Berberidaceae,Berberidaceae,Berberis,barberry,w,native,both,"1 native, 2 aliens perhaps others if cultivated",12,1,11
Rhamnaceae,Rhamnaceae,Berchemia,supplejack,w,native,native,1 native,0,0,0
Brassicaceae,,Berteroa,false madwort,h,alien,alien,"1 alien, perhaps  more if cultivated",0,0,0
Apiaceae,,Berula,waterparsnip,h,native,native,1 native,0,0,0
Chenopodiaceae ,Chenopodiaceae ,Beta,"beet, beetroot",h,alien,alien,2 aliens perhaps others if cultivated,44,6,38
Betulaceae,Betulaceae,Betula,birch,w,native,both,"11 natives, 1 alien perhaps others if cultivated",411,11,400
Asteraceae ,Compositae ,Bidens,beggers ticks,h,native,both,"16 natives, 1 alien perhaps others if cultivated",15,0,15
Lamiaceae,,Blephilia,pagoda-plant,h,native,native,2 natives,0,0,0
Urticaceae,Urticaceae,Boehmeria,false nettle,h,native,both,"1 native, 1 alien perhaps others if cultivated",6,0,6
Nyctaginaceae,Nyctaginaceae,Boerhavia,spiderling,h,native,native unless cultivated,"1 native (MD&south), perhaps aliens if cultivated",1,0,1
Asteraceae,,Boltonia,doll's daisy,h,native,native,2 natives,0,0,0
Boraginaceae,,Borago,borage,h,alien,alien,1 alien,0,0,0
Asteraceae,,Borrichia,seaside tansy,w,native,native,1 native,0,0,0
Poaceae,Gramineae,Bothriochloa,beard grass,h,alien,alien,1 alien perhaps others if cultivated (natives southern),3,0,3
Ophioglossaceae,,Botrychium,grapefern,h,native,native,13 natives,0,0,0
Poaceae,Gramineae,Bouteloua,"buffalo grass, grama",h,native,native,4 natives,1,0,1
Saxifragaceae,,Boykinia,brookfoam,h,native,native,1 native,0,0,0
Poaceae,Gramineae,Brachiaria,signal grass,h,alien,alien,1 aliens perhaps others if cultivated,4,0,4
Poaceae,Gramineae,Brachyelytrum,"shorthusk, babel",h,native,native,2 natives,2,0,2
Cambombaceae,,Brasenia,brasenia,h,native,native,1 native,0,0,0
Brassicaceae,Cruciferae ,Brassica,"brussel sprouts, cabbage, mustard, turnip, rape, kale, broccoli",h,alien,alien,5 aliens perhaps others if cultivated,68,8,60
Asteraceae ,Compositae ,Brickellia,"false boneset, bricklebush",h,native,native unless cultivated,"1 native, perhaps aliens if cultivated",3,0,3
Poaceae,,Briza,quakinggrass,h,alien,alien,3 aliens,0,0,0
Poaceae,Gramineae,Bromus,brome,h,native,both,"7 natives, 18 aliens perhaps others if cultivated",12,1,11
Moraceae,Moraceae,Broussonetia,paper mulberry,w,alien,alien,1 alien perhaps another if cultivated,1,1,0
Boraginaceae,,Brunnera,brunnera,h,alien,alien,1 alien,0,0,0
Polygonaceae ,,Brunnichia,buckwheat vine,h,native,native,1 native,0,0,0
Scrophulariaceae,Scrophulariaceae,Buchnera,bluehearts,h,native,native,1 native,1,0,1
Santalaceae,,Buckleya,buckleya,h,native,native,1 native,0,0,0
Buddlejaceae,Buddlejaceae,Buddleja,butterfly bush,w,alien,alien,2 aliens perhaps another if culivated,1,0,1
Boraginaceae,,Buglossoides,buglossoides,h,alien,alien,1 alien,0,0,0
Cyperaceae,,Bulbostylis,hairsedge,h,native,native,3 natives,0,0,0
Brassicaceae,,Bunias,wartycabbage,h,alien,alien,2 aliens,0,0,0
Apiaceae,,Bupleurum,bupleurum,h,alien,alien,3 aliens,0,0,0
Burmanniaceae,,Burmannia,bluethread,h,native,native,1 native,0,0,0
Butomaceae,,Butomus,butomus,h,alien,alien,1 alien,0,0,0
Buxaceae,Buxaceae,Buxus,boxwood,w,alien,alien,1 alien others if cultivated,1,0,1
Cabombaceae,Cabombaceae,Cabomba,fanwort,h,native,native,1 native,1,0,1
Fabaceae,Leguminosae(P),Cajanus,pigeonpea,h,alien,alien,1 alien (MD&south) perhaps others if cultivated,3,1,2
Brassicaceae,Cruciferae ,Cakile,searocket,h,native,both,"1 native, 1 alien",2,0,2
Poaceae,Gramineae,Calamagrostis,feather reed grass,h,native,both,"6 natives, 1 alien, perhaps others if cultivated",5,0,5
Lamiaceae,Labiatae,Calamintha,calamint,h,alien,alien,2 aliens,1,0,1
Asteraceae,Compositae ,Calendula,marigold,h,alien,alien,1 alien,7,0,7
Solanaceae ,,Calibrachoa,calibrachoa,h,native,native,1 native,0,0,0
Verbenaceae,Verbenaceae,Callicarpa,beautyberry,w,native,both,"1 native, 1 alien perhaps others if cultivated",1,0,1
Malvaceae ,Malvaceae ,Callirhoe,woodland poppymallow,h,native,native,1 native,1,0,1
Asteraceae,Compositae ,Callistephus,China aster,h,alien,alien,1 alien,2,0,2
Ericaceae ,Ericaceae ,Calluna,heather,w,alien,alien,1 alien,1,0,1
Orchidaceae,,Calopogon,grasspink,h,native,native,2 natives,0,0,0
Ranunculaceae,,Caltha,marsh marigold,h,native,native,1 native,0,0,0
Calycanthaceae,Calycanthaceae,Calycanthus,sweetshrub,w,native,native,1 native,2,0,2
Orchidaceae,,Calypso,fairy slipper,h,native,native,1 native,0,0,0
Convolvulaceae ,Convolvulaceae ,Calystegia,false bindweed,h,native,both,"6 natives, 1 alien",4,2,2
Theaceae,Theaceae,Camellia,"camellia, tea",w,alien,alien,1 or more aliens (VA&south),1,0,1
Bignoniaceae,Bignoniaceae,Campsis,"trumpetcreeper, trumpet vine",w,native,native,1 native,7,0,7
Cannaceae,Cannaceae,Canna,"canna lily, indian shoot",h,alien,alien,2 aliens perhaps others if cultivated,9,1,8
Cannabaceae,Cannabaceae,Cannabis,"marijuana, hemp",h,alien,alien,1 alien,7,2,5
Brassicaceae,Cruciferae ,Capsella,shepherd's purse,h,alien,alien,1 alien,5,1,4
Solanaceae ,Solanaceae ,Capsicum,"pepper, cayenne pepper",h,native,both,"1 native, 1 alien",16,3,13
Fabaceae ,Leguminosae(P),Caragana,peashrub,w,alien,alien,"1 alien, or perhaps if cultivated",10,1,9
Brassicaceae,Cruciferae ,Cardamine,"bittercress, toothwort",h,native,both,"15 natives, 3 aliens",6,0,6
Brassicaceae,,Cardaria,whitetop,h,alien,alien,2 aliens,0,0,0
Sapindaceae,Sapindaceae,Cardiospermum,"love in a puff, heartweed, balloonvine",h,native,native,1 native,1,0,1
Asteraceae ,Compositae ,Carduus,plumeless thistle,h,alien,alien,5 aliens,9,0,9
Cyperaceae,Cyperaceae,Carex,"sedge, burr reed",h,native,both,"208 natives, 14 aliens perhaps others if cultivated (1000 species, 532 species in PLANTS data base)",36,0,36
Asteraceae,,Carlina,carline,h,alien,alien,1 alien,0,0,0
Asteraceae ,Compositae ,Carphephorus,"vanilla plant, vanillaleaf",h,native,native,2 natives (VA&south),1,0,1
Betulaceae,Corylaceae,Carpinus,American hornbeam,w,native,both,"1 alien, 1 native",68,2,66
Asteraceae ,Compositae ,Carthamus,distaff thistle,h,alien,alien,1 or more aliens (can be noxious),1,0,1
Apiaceae,Umbelliferae ,Carum,caroway,h,alien,alien,1 alien,1,0,1
Juglandaceae,Juglandaceae,Carya,"hickory, pecan, pignut, bitternut",w,native,native,13 natives,235,2,233
Fagaceae,Fagaceae,Castanea,chestnut,w,native,both,"3 native, 2 alien",127,2,125
Scrophulariaceae,Scrophulariaceae,Castilleja,Indian paintbrush,h,native,native unless cultivated,"1 native, perhaps 1 alien if cultivated",5,0,5
Bignoniaceae,Bignoniaceae,Catalpa,catalpa,w,native,both,"2 natives, 1 alien perhaps others if cultivated",8,1,7
Poaceae,,Catapodium,,h,alien,alien,1 alien,0,0,0
Apiaceae,,Caucalis,burr parsley,h,alien,alien,1 alien,0,0,0
Berberidaceae,Berberidaceae,Caulophyllum,"cohosh, blue cohosh, giant cohosh",h,native,native,"2 natives; Armitage reports 2 species, one native, one alien",3,0,3
Rhamnaceae,Rhamnaceae,Ceanothus,New Jersey tea,w,native,native,"2 natives, Symphoricarpos not included here",45,2,43
Pinaceae,Pinaceae,Cedrus,cedar,w,alien,alien,1 or 2 aliens when cultivated,3,0,3
Celastraceae,Celastraceae,Celastrus,bittersweet,w,native,both,"1 native, 1 alien perhaps another if cultivated",7,2,5
Amaranthaceae,,Celosia,cock's comb,h,native,native,1 native,0,0,0
Ulmaceae,Ulmaceae,Celtis,"hackberry, sugar berry",w,native,native unless cultivated,"3 natives, 10 aliens if cultivated",43,2,41
Poaceae,Gramineae,Cenchrus,sandbur,h,native,both,"4 natives, 1 alien",3,0,3
Asteraceae ,Compositae ,Centaurea,"cornflower, knapweed",h,native,both,"2 natives, 13 aliens perhaps more if cultivated",3,1,2
Gentianaceae,,Centaurium,centaury,h,alien,alien,2 aliens,0,0,0
Apiaceae,,Centella,centella,h,native,native,1 native,0,0,0
Asteraceae,,Centipeda,centipeda,h,alien,alien,1 alien,0,0,0
Asteraceae,,Centromadia,,h,native,native,1 native,0,0,0
Fabaceae,Leguminosae(P),Centrosema,butterfly pea,h,native,native unless cultivated,"1 native (VA&south), perhaps aliens if cultivated",4,0,4
Rubiaceae,Rubiaceae,Cephalanthus,buttonbush,w,native,native,1 native,19,0,19
Caryophyllaceae ,Caryophyllaceae ,Cerastium,"chickweed, snow-in-summer",h,native,both,"3 natives, 6 aliens",6,0,6
Ranunculaceae,,Ceratocephala,curveseed butterwort,h,alien,alien,1 alien,0,0,0
Fabaceae,,Ceratonia,ceratonia,w,alien,alien,1 alien,0,0,0
Ceratophyllaceae,,Ceratophyllum,hornwort,h,native,native,2 natives,0,0,0
Cercidiphyllaceae,,Cercidiphyllum,katsura tree,w,alien,alien,1 alien,0,0,0
Fabaceae,Leguminosae(C),Cercis,"redbud, judas-tree",w,native,both,"1 native, 1 alien(must be cultivated)",19,0,19
Asteraceae ,Compositae ,Chaenactis,"dustymaiden, pincushion",h,native,native,1 native (in NY),9,2,7
Rosaceae ,Rosaceae ,Chaenomeles,flowering quince,w,alien,alien,2 aliens perhaps another if culivated,8,2,6
Scrophulariaceae,,Chaenorhinum,dwarf snapdragon,h,alien,alien,1 alien,0,0,0
Apiaceae,,Chaerophyllum,chervil,h,native,native,2 natives,0,0,0
Lamiaceae,,Chaiturus,lion's tail,h,alien,alien,1 alien,0,0,0
Fabaceae,Leguminosae(C),Chamaecrista,"partridge pea, sensitive pea",h,native,native,"2 natives, perhaps others if cultivated",7,0,7
Cupressaceae,Cupressaceae,Chamaecyparis,"Atlantic white cedar, white cedar",w,native,native unless cultivated,"1 native, perhaps aliens if cultivated",8,0,8
Ericaceae ,Ericaceae ,Chamaedaphne,leatherleaf,w,native,native,1 native,15,0,15
Liliaceae,,Chamaelirium,chamaelirium,h,native,native,1 native,0,0,0
Asteraceae,,Chamaemelum,dogfennel,h,alien,alien,2 aliens,0,0,0
Euphorbiaceae ,,Chamaesyce,sandmat,h,native,native,13 natives,0,0,0
Onagraceae,Onagraceae,Chamerion,fireweed,h,native,native,1 native,1,0,1
Poaceae,Gramineae,Chasmanthium,"woodoats, northern sea oats",h,native,native,3 natives,7,0,7
Pteridaceae,,Cheilanthes,lipfern,h,native,native,5 natives,0,0,0
Papaveraceae,,Chelidonium,celandine,h,alien,alien,1 alien,0,0,0
Scrophulariaceae,Scrophulariaceae,Chelone,turtlehead,h,native,native,4 natives,3,0,3
Chenopodiaceae ,Chenopodiaceae ,Chenopodium,lambsquarters,h,native,both,"11 natives, 13 aliens",42,3,39
