Family (as listed by USDA),Family as per Robinson et al. 2002,Genus,common name,herbaceous or woody,origin (for analysis),origin,species counts (Mid-Atlantic numbers unless otherwise indicated),total Lep spp,exotic Lep spp,Native Lep spp
Caprifoliaceae ,Caprifoliaceae ,Abelia,abelia,w,alien,alien,1 alien,1,0,1
Malvaceae ,Malvaceae ,Abelmoschus,okra,h,alien,alien,"1 alien, perhaps another if cultivated",11,0,11
Pinaceae,Pinaceae,Abies,fir,w,native,both,"3 natives, 1 alien perhaps others if cultivated",117,4,113
Malvaceae ,Malvaceae ,Abutilon,"indian mallow, velvet leaf",h,alien,alien,"1 alien, perhaps others if cultivated",5,1,4
Fabaceae,Leguminosae(M),Acacia,"acacia, wattle",w,native,native unless cultivated,"1 natives, perhaps many aliens if cultivated",11,1,10
Euphorbiaceae ,Euphorbiaceae ,Acalypha,copperleaf,h,native,both,"5 natives, 1 alien (NY&NJ)",3,0,3
Asteraceae,Asteraceae,Acanthospermum,starburr,h,native,both,"1 native, 2 aliens",0,0,0
Aceraceae,Aceraceae,Acer,"maple, boxelder",w,native,both,"9 natives, 5 aliens perhaps others if cultivated",297,10,287
Asteraceae,Compositae ,Achillea,"yarrow, sneezeweed",h,native,both,"1 native, 4 aliens perhaps others if cultivated",21,1,20
Amaranthaceae,Amaranthaceae,Achyranthes,chaff flower,h,alien,alien,1 aliens perhaps 2 others if cultivated,0,0,0
Calyceraceae,Calyceraceae,Acicarpha,acicarpha,h,alien,alien,1 alien,0,0,0
Lamiaceae,Lamiaceae,Acinos,basil thyme,h,alien,alien,1 alien,0,0,0
Asteraceae,Asteraceae,Acmella,spotflower,h,alien,alien,1 alien perhaps another if cultivated (native further south),0,0,0
Ranunculaceae,Ranunculaceae,Aconitum,monkshood,h,native,both,"3 natives, 1 alien perhaps others if cultivated",3,0,3
Acoraceae,Acoraceae,Acorus,sweetflag,h,native,native unless cultivated,"2 natives, perhaps 1 alien if cultivated",0,0,0
Ranunculaceae,Ranunculaceae,Actaea,"baneberry, bugbane",h,native,native unless cultivated,"6 natives, perhaps 1 alien when cultivated",4,0,4
Actinidiaceae,,Actinidia,"kiwi, tara vine",w,alien,alien,"Cultivated, 1 alien, perhaps 2 others.",0,0,0
Pteridaceae,Adiantaceae,Adiantum,maidenhair fern,h,native,native unless cultivated,3 natives perhaps aliens if cultivated,0,0,0
Fumariaceae,Fumariaceae,Adlumia,Allegheny vine,w,native,native,1 native,0,0,0
Ranunculaceae,Ranunculaceae,Adonis,"muskroot, pheasant's eye",h,alien,alien,2 aliens,0,0,0
Adoxaceae,Adoxaceae,Adoxa,adoxa,h,native,native,1 native,0,0,0
Poaceae,Poaceae,Aegilops,goatgrass,h,alien,alien,3 aliens perhaps others if cultivated,0,0,0
Apiaceae,Umbelliferae ,Aegopodium,goutweed,h,alien,alien,1 alien,1,0,1
Fabaceae,Leguminosae(P),Aeschynomene,"shyleaf, jointvetch",h,native,native unless cultivated,"3 natives, perhaps aliens if cultivated",1,0,1
Hippocastanaceae,Hippocastanaceae,Aesculus,"horsechestnut, buckeye",w,native,both,"6 natives, 2 aliens (1 must be cultivated)",32,0,32
Scrophulariaceae,Scrophulariaceae,Agalinis,"false foxglove, gerardia",h,native,native,9 natives,4,0,4
Lamiaceae,Labiatae,Agastache,hyssop,h,native,native,2 natives,2,0,2
Asteraceae,Compositae ,Ageratina,snakeroot,h,native,native,2 natives,5,1,4
Asteraceae,Compositae ,Ageratum,"white weed, ageratum",h,alien,alien,1 alien perhaps others if cultivated,7,0,7
Rosaceae ,Rosaceae ,Agrimonia,"agrimony, churchsteeples",h,native,both,"6 natives, 1 alien",1,0,1
Poaceae,Gramineae,Agropyron,wheat grass,h,alien,alien,2 aliens perhaps another if culivated,8,0,8
Caryophyllaceae,Caryophyllaceae,Agrostemma,corncockle,h,alien,alien,1 alien,0,0,0
Poaceae,Gramineae,Agrostis,bent grass,h,native,both,"6 natives, 2 aliens perhaps others if cultivated",5,1,4
Simaroubaceae,Simaroubaceae,Ailanthus,"ailanthus, tree of heaven",w,alien,alien,1 alien,6,2,4
Poaceae,Poaceae,Aira,hairgrass,h,alien,alien,3 aliens,0,0,0
Lamiaceae,Lamiaceae,Ajuga,bugle,h,alien,alien,3 aliens,0,0,0
Lardizabalaceae,,Akebia,chocolate vine,w,alien,alien,1 alien,0,0,0
Fabaceae,Leguminosae(M),Albizia,"albizia, silktree",w,alien,alien,"1 alien, perhaps others if cultivated",5,2,3
Malvaceae ,Malvaceae ,Alcea,hollyhock,h,alien,alien,2 natives (1 must be cultivated),22,3,19
Rosaceae ,Rubiaceae,Alchemilla,lady's mantel,h,alien,alien,1 alien perhap others if cultivated,1,0,1
Liliaceae,Liliaceae,Aletris,colicroot,h,native,native,2 natives,0,0,0
Alismataceae,Alismataceae,Alisma,water plantain,h,native,native,3 natives,0,0,0
Brassicaceae,Brassicaceae,Alliaria,garlic mustard,h,alien,alien,1 alien perhap,0,0,0
Liliaceae,Alliaceae ,Allium,onion,h,native,both,"5 natives, 7 aliens perhaps others if cultivated",21,1,20
Poaceae,Poaceae,Alloteropsis,summergrass,h,alien,alien,1 alien,0,0,0
Betulaceae,Betulaceae,Alnus,alder,w,native,both,"4 natives, 1 aliens perhaps others if cultivated",255,7,248
Poaceae,Gramineae,Alopecurus,foxtail,h,native,both,"2 natives, 4 aliens, others cutlivated",2,1,1
Amaranthaceae ,Amaranthaceae ,Alternanthera,"calicoplant, joyweed",h,native,both,"2 natives, 1 alien perhaps others if cultivated",4,0,4
Malvaceae ,Malvaceae ,Althaea,marshmallow,h,alien,alien,3 aliens,5,1,4
Fabaceae,Leguminosae(P),Alysicarpus,moneywort,h,alien,alien,1 alien (VA&south) perhaps others if cultivated,1,0,1
Brassicaceae,Cruciferae ,Alyssum,madwort,h,alien,alien,1 alien perhaps others if cultivated,2,0,2
Amaranthaceae ,Amaranthaceae ,Amaranthus,"pigweed, amaranth",h,native,both,"13 natives, 8 aliens perhaps 1 more if cultivated",29,0,29
Asteraceae,Compositae ,Ambrosia,ragweed,h,native,native,5 natives,48,2,46
Rosaceae ,Rosaceae ,Amelanchier,"serviceberry, juneberry, shadbush",w,native,native unless cultivated,"12 natives, perhaps aliens if cultivated",124,5,119
Orchidaceae ,Orchidaceae ,Amerorchis,roundleaf orchid,h,native,native,1 native (NY),0,0,0
Liliaceae,Liliaceae,Amianthium,flypoison,h,native,native,1 native,0,0,0
Lythraceae,Lythraceae,Ammannia,redstem,h,native,native unless cultivated,"2 natives, perhaps 1 alien if cultivated",0,0,0
Apiaceae,Apiaceae,Ammi,"toothpickweed, large bullwort",h,alien,alien,2 aliens,0,0,0
Poaceae,Poaceae,Ammophila,beachgrass,h,native,both,"2 natives, 1 alien",0,0,0
Fabaceae,Leguminosae(P),Amorpha,"false indigo, indigobush, leadplant",h,native,native,1 native (maybe noxious),24,1,23
Vitaceae,Vitaceae,Ampelopsis,"peppervine, ampelops",w,native,both,"2 natives, 2 aliens perhaps another if cultivated",13,0,13
Asteraceae,Compositae ,Amphiachyris,broomweed,h,native,native,5 natives,1,0,1
Fabaceae,Leguminosae(P),Amphicarpaea,hogpeanut,h,native,native,1 native,7,0,7
Poaceae,Poaceae,Amphicarpum,maidencane,h,native,native,1 native,0,0,0
Boraginaceae,Boraginaceae,Amsinckia,fiddleneck,h,native,native,2 natives,0,0,0
Apocynaceae,Apocynaceae,Amsonia,bluestar,h,native,native,1 native,1,0,1
Asteraceae,Asteraceae,Anacyclus,whitebuttons,h,alien,alien,1 alien,0,0,0
Primulaceae,Primulaceae,Anagallis,"pimpernel, chaffweed",h,native,both,"1 native, 2 aliens",2,0,2
Asteraceae,Compositae ,Anaphalis,pearly everlasting,h,native,native,1 native,7,0,7
Boraginaceae,Boraginaceae,Anchusa,bugloss,h,alien,alien,"4 aliens, some noxious",1,1,0
Acanthaceae,Acanthaceae,Andrographis,false waterwillow,h,alien,alien,1 alien,0,0,0
Ericaceae ,Ericaceae ,Andromeda,bog rosemary,w,native,native,1 native,7,0,7
Poaceae,Gramineae,Andropogon,"bluestem, broomsedge bluestem",h,native,native unless cultivated,"8 natives, perhaps aliens if cultivated",11,0,11
Primulaceae,Primulaceae,Androsace,rockjasmine,h,alien,alien,1 alien (natives out west),0,0,0
Ranunculaceae,Ranunculaceae,Anemone,"anemone, thimbleweed",h,native,both,"8 natives, 1 alien perhaps others if cultivated",1,0,1
Apiaceae,Umbelliferae ,Anethum,dill,h,alien,alien,1 alien,1,0,1
Apiaceae,Umbelliferae ,Angelica,angelica,h,native,native unless cultivated,"3 natives, perhaps 1 alien if cultivated",5,0,5
Malvaceae,Malvaceae,Anoda,anoda,h,native,native,1 native (noxious weed),0,0,0
Asteraceae,Compositae ,Antennaria,pussytoes,h,native,native unless cultivated,"6 natives, perhaps aliens if cultivated",6,0,6
Asteraceae,Compositae ,Anthemis,chamomile,h,alien,alien,4 aliens,3,1,2
Poaceae,Poaceae,Anthoxanthum,vernalgrass,h,native,both,"1 native, 1 alien",0,0,0
Apiaceae,Umbelliferae ,Anthriscus,chervil,h,alien,alien,3 aliens,1,0,1
Fabaceae,Fabaceae,Anthyllis,kidneyvetch,h,alien,alien,1 alien perhaps others if cultivated,0,0,0
Scrophulariaceae,Scrophulariaceae,Antirrhinum,snapdragon,h,alien,alien,1 alien perhaps another if cultivated,7,0,7
Poaceae,Poaceae,Apera,silkybent,h,alien,alien,2 aliens,0,0,0
Rosaceae,Rosaceae,Aphanes,parsley piert,h,alien,alien,1 alien,0,0,0
Fabaceae,Leguminosae(P),Apios,groundnut,h,native,native,1 native,4,0,4
Apiaceae,Umbelliferae ,Apium,celery,h,alien,alien,3 aliens,30,3,27
