"sciName","totalCount","numSurveysGTzero","totalBiomass","nSurveys","meanDensity","fracSurveys","meanBiomass"
"Sassafras",41,22,236.256450692568,230,0.178260869565217,9.56521739130435,1.02720195953291
"Sorbus americana",1,1,0.0233275437115525,63,0.0158730158730159,1.58730158730159,0.000370278471611944
"Staphylea trifolia",5,5,28.8849163020683,208,0.0240384615384615,2.40384615384615,0.13886978991379
"Stewartia",0,0,0,11,0,0,0
"Symplocos tinctoria",1,1,15.5407723006435,32,0.03125,3.125,0.485649134395109
"Syringa",1,1,13.1225916032957,49,0.0204081632653061,2.04081632653061,0.267807991903994
"Taxus",0,0,0,10,0,0,0
"Thuja occidentalis",1,1,7.38778269020378,16,0.0625,6.25,0.461736418137736
"Tilia",0,0,0,22,0,0,0
"Tilia americana",57,28,5320.36498763811,248,0.229838709677419,11.2903225806452,21.453084627573
"Tilia cordata",1,1,1.41047218529422,36,0.0277777777777778,2.77777777777778,0.0391797829248394
"Triadica†sebifera",0,0,0,12,0,0,0
"Ulmus",14,9,664.273687570938,253,0.0553359683794466,3.55731225296443,2.62558769790884
"Ulmus alata",16,14,227.011310490671,281,0.0569395017793594,4.98220640569395,0.807869432351141
"Ulmus americana",20,18,123.671994478893,260,0.0769230769230769,6.92307692307692,0.475661517226513
"Ulmus pumila",0,0,0,13,0,0,0
"Ulmus rubra",8,6,59.3050098817465,179,0.0446927374301676,3.35195530726257,0.331312904367299
"Ulmus†americana",2,2,70.6382129903383,16,0.125,12.5,4.41488831189614
"Umbellularia",2,2,113.907673457608,16,0.125,12.5,7.11922959110048
"Vaccinium",6,6,54.8131955048927,29,0.206896551724138,20.6896551724138,1.89011018982389
"Vaccinium corymbosum",15,12,160.018666779072,114,0.131578947368421,10.5263157894737,1.40367251560589
"Viburnum",17,7,47.5400384273267,125,0.136,5.6,0.380320307418614
"Viburnum acerifolium",5,3,1.01154096988836,53,0.0943396226415094,5.66037735849057,0.0190856786771389
"Viburnum dentatum",1,1,0.181391431871464,38,0.0263157894736842,2.63157894736842,0.00477345873345958
"Viburnum dilatatum",0,0,0,11,0,0,0
"Viburnum lentago",0,0,0,10,0,0,0
"Viburnum nudum",9,8,20.200354439246,251,0.0358565737051793,3.18725099601594,0.0804794997579522
"Viburnum prunifolium",10,5,224.330130007407,44,0.227272727272727,11.3636363636364,5.09841204562289
"Viburnum†nudum",0,0,0,6,0,0,0
"Viburnum†opulus",0,0,0,21,0,0,0
"Viburnum rhytidophyllum",0,0,0,13,0,0,0
NA,337,158,3462.64789128464,2285,0.147483588621444,6.91466083150985,1.51538200931494
