"sciName","totalCount","numSurveysGTzero","totalBiomass","nSurveys","meanDensity","fracSurveys","meanBiomass"
"Acca sellowiana",0,0,0,6,0,0,0
"Acer",17,16,2371.24316083774,259,0.0656370656370656,6.17760617760618,9.1553789993735
"Acer floridanum",0,0,0,32,0,0,0
"Acer ginnala",0,0,0,21,0,0,0
"Acer leucoderme",47,42,653.350298744659,653,0.0719754977029096,6.43185298621746,1.0005364452445
"Acer negundo",541,248,4736.33193564073,1840,0.294021739130435,13.4782608695652,2.574093443283
"Acer nigrum",3,3,575.758502045461,51,0.0588235294117647,5.88235294117647,11.2893823930483
"Acer palmatum",0,0,0,76,0,0,0
"Acer pensylvanicum",1281,927,14261.1556798116,6979,0.183550651955868,13.282705258633,2.043438269066
"Acer platanoides",4,4,0.687310002294275,157,0.0254777070063694,2.54777070063694,0.00437777071525016
"Acer rubrum",1740,1397,22817.9636773464,11499,0.151317505870076,12.1488825115227,1.9843433061437
"Acer saccharinum",57,9,2161.33355360064,82,0.695121951219512,10.9756097560976,26.3577262634225
"Acer saccharum",188,164,2621.24909470333,4046,0.046465645081562,4.05338606030648,0.647861862259843
"Acer†saccharum",1,1,3473.42066517684,47,0.0212765957446809,2.12765957446809,73.9025673441881
"Aesculus",25,23,301.247654001306,234,0.106837606837607,9.82905982905983,1.28738313675772
"Aesculus glabra",12,3,42.9709027215037,32,0.375,9.375,1.34284071004699
"Aesculus hippocastanum",0,0,0,35,0,0,0
"Aesculus parviflora",0,0,0,29,0,0,0
"Aesculus†flava",10,6,4.58362672079844,60,0.166666666666667,10,0.076393778679974
"Alnus serrulata",12,10,153.50298127631,168,0.0714285714285714,5.95238095238095,0.913708221882798
"Alnus viridis ssp. crispa",12,5,31.9146918000023,12,1,41.6666666666667,2.6595576500002
"Alnus†incana",31,11,1764.00511381887,55,0.563636363636364,20,32.0728202512522
"Amelanchier",373,316,3134.10765176236,3545,0.105218617771509,8.91396332863188,0.884092426449185
"Amelanchier alnifolia",1,1,0.0233275437115525,13,0.0769230769230769,7.69230769230769,0.00179442643935019
"Amelanchier arborea",6,4,24.432099061897,63,0.0952380952380952,6.34920634920635,0.387811096220587
"Arbutus menziesii",5,4,106.31057398112,27,0.185185185185185,14.8148148148148,3.93742866596739
"Asimina",0,0,0,5,0,0,0
"Asimina pygmea",57,41,124.551197704928,398,0.14321608040201,10.3015075376884,0.312942707801326
"Asimina triloba",17,16,135.524733675808,266,0.0639097744360902,6.01503759398496,0.509491479984241
"Baccharis halimifolia",0,0,0,20,0,0,0
"Berberis bealei",0,0,0,12,0,0,0
"Betula",10,9,33.1830578440632,187,0.053475935828877,4.81283422459893,0.177449507187504
"Betula alleghaniensis",228,188,3158.72471440653,2510,0.0908366533864542,7.49003984063745,1.25845606151655
"Betula lenta",12,11,49.1062293772857,288,0.0416666666666667,3.81944444444444,0.170507740893353
"Betula nigra",16,9,43.0949608260749,132,0.121212121212121,6.81818181818182,0.326476975955113
"Betula papyrifera",60,50,426.586956517464,475,0.126315789473684,10.5263157894737,0.898077803194661
"Betula populifolia",4,4,23.3000978601181,27,0.148148148148148,14.8148148148148,0.862966587411781
"Callicarpa americana",0,0,0,14,0,0,0
"Calycanthus",0,0,0,24,0,0,0
"Camellia",0,0,0,36,0,0,0
"Carpinus",0,0,0,9,0,0,0
"Carpinus caroliniana",81,65,133548.230436141,1000,0.081,6.5,133.548230436141
"Carya",9,8,40.6260721850973,155,0.0580645161290323,5.16129032258065,0.262103691516757
"Carya cordiformis",40,31,765.718813115158,322,0.124223602484472,9.62732919254658,2.37800873638248
"Carya glabra",4,3,108.676870805569,129,0.0310077519379845,2.32558139534884,0.84245636283387
"Carya illinoinensis",0,0,0,48,0,0,0
"Carya laciniosa",0,0,0,23,0,0,0
"Carya ovata",47,14,58827.5740929476,62,0.758064516129032,22.5806451612903,948.831840208832
"Carya tomentosa",0,0,0,34,0,0,0
"Castanea dentata",849,705,8629.44743225572,7080,0.119915254237288,9.95762711864407,1.21884850738075
"Catalpa",0,0,0,16,0,0,0
"Catalpa bignonioides",0,0,0,28,0,0,0
"Celastrus orbiculatus",0,0,0,10,0,0,0
"Celtis",26,17,397.05693884928,169,0.153846153846154,10.0591715976331,2.34944934230343
"Cephalanthus occidentalis",0,0,0,19,0,0,0
"Cercis canadensis",30,16,300.737617695416,500,0.06,3.2,0.601475235390831
"Chionanthus",7,7,179.147729836607,159,0.0440251572327044,4.40251572327044,1.12671528199124
"Cladrastis kentukea",0,0,0,13,0,0,0
"Cornus",19,18,4788.03627516144,545,0.0348623853211009,3.30275229357798,8.78538766084667
"Cornus alternifolia",0,0,0,46,0,0,0
"Cornus florida",24,23,150.67451529095,523,0.0458891013384321,4.39770554493308,0.288096587554398
"Cornus kousa",0,0,0,28,0,0,0
"Cornus mas",0,0,0,8,0,0,0
"Cornus sericea",20,17,80.3817378396952,158,0.126582278481013,10.7594936708861,0.508745176200603
"Corylus",0,0,0,44,0,0,0
"Corylus americana",14,13,86.9889057122093,306,0.0457516339869281,4.2483660130719,0.284277469647743
"Corylus cornuta",18,15,75.0673222878079,90,0.2,16.6666666666667,0.834081358753421
"Crataegus",12,10,115.269486202205,92,0.130434782608696,10.8695652173913,1.25292919785005
"Crataegus flabellata",7,6,213.21464552556,15,0.466666666666667,40,14.214309701704
"Crataegus phaenopyrum",1,1,14140.7549833112,61,0.0163934426229508,1.63934426229508,231.815655464118
"Diervilla",1,1,2.72973981789676,40,0.025,2.5,0.068243495447419
"Diospyros",2,2,274.950938469275,41,0.0487804878048781,4.8780487804878,6.70612045047013
"Diospyros virginiana",230,187,2928.98061925867,1741,0.132107983917289,10.7409534750144,1.68235532410033
"Elaeagnus angustifolia",0,0,0,29,0,0,0
"Elaeagnus umbellata",1,1,2.72973981789676,37,0.027027027027027,2.7027027027027,0.0737767518350476
"Fagus",0,0,0,15,0,0,0
"Fagus grandifolia",481,347,4484.41316636869,4507,0.106722875526958,7.69913467938762,0.994988499305233
"Fagus sylvatica",0,0,0,13,0,0,0
"Fatsia japonica",0,0,0,8,0,0,0
"Ficus",0,0,0,27,0,0,0
"Forestiera†segregata",0,0,0,9,0,0,0
"Forsythia",0,0,0,23,0,0,0
"Fraxinus",3,3,70.2841096842485,90,0.0333333333333333,3.33333333333333,0.780934552047206
"Fraxinus americana",41,19,1220.91200617843,524,0.0782442748091603,3.62595419847328,2.32998474461533
"Fraxinus caroliniana",9,8,41.3524214526239,206,0.0436893203883495,3.88349514563107,0.200739909964194
"Fraxinus nigra",6,6,37.8534903432032,32,0.1875,18.75,1.1829215732251
"Fraxinus pennsylvanica",1,1,0.181391431871464,84,0.0119047619047619,1.19047619047619,0.00215942180799362
"Gardenia",0,0,0,32,0,0,0
"Gaylussacia",0,0,0,17,0,0,0
"Gaylussacia baccata",1,1,2.72973981789676,17,0.0588235294117647,5.88235294117647,0.160572930464515
"Ginkgo",0,0,0,162,0,0,0
"Halesia",3,3,0.860926908914406,12,0.25,25,0.0717439090762005
"Halesia carolina",41,34,268.619138570144,288,0.142361111111111,11.8055555555556,0.932705342257446
"Hamamelis virginiana",257,163,5445.66206890726,1298,0.197996918335901,12.557781201849,4.19542532273286
"Hibiscus syriacus",0,0,0,9,0,0,0
"Hydrangea",0,0,0,8,0,0,0
"Hydrangea quercifolia",0,0,0,20,0,0,0
"Ilex cornuta",3,2,0.15786491664122,15,0.2,13.3333333333333,0.0105243277760813
"Ilex montana",31,25,234.511784044698,801,0.0387016229712859,3.1210986267166,0.292773762852307
"Ilex opaca",32,18,112.31940835846,381,0.083989501312336,4.7244094488189,0.294801596741364
"Ilex verticillata",1,1,1.41047218529422,69,0.0144927536231884,1.44927536231884,0.0204416258738293
"Itea virginica",0,0,0,37,0,0,0
"Juglans",15,2,10.0800768698376,7,2.14285714285714,28.5714285714286,1.44001098140537
"Juglans nigra",59,11,69.8943718810358,124,0.475806451612903,8.87096774193548,0.563664289363192
"Kalmia latifolia",32,21,415.959670487718,337,0.0949554896142433,6.23145400593472,1.23430169284189
"Koelreuteria elegans",0,0,0,29,0,0,0
"Lagerstroemia†indica",0,0,0,39,0,0,0
"Larix laricina",1,1,2.72973981789676,16,0.0625,6.25,0.170608738618548
"Ligustrum",4,3,3791.18963467378,35,0.114285714285714,8.57142857142857,108.319703847822
"Ligustrum japonicum",1,1,9.06098247158031,63,0.0158730158730159,1.58730158730159,0.143825118596513
"Ligustrum quihoui",0,0,0,9,0,0,0
"Ligustrum sinense",0,0,0,14,0,0,0
"Lindera",71,68,3650.68500734104,1623,0.0437461491065927,4.18977202711029,2.24934381228653
"Lindera benzoin",55,22,152.562572450244,378,0.145502645502645,5.82010582010582,0.403604689021809
"Liquidambar styraciflua",1215,360,3965.56175250401,3319,0.366074118710455,10.8466405543838,1.19480619237843
"Liriodendron tulipifera",45,41,474.629200937121,465,0.0967741935483871,8.81720430107527,1.02070795900456
"Lithocarpus densiflorus",3,3,31.8215098962971,39,0.0769230769230769,7.69230769230769,0.815936151187105
"Lonicera",4,3,18.7634626709607,94,0.0425531914893617,3.19148936170213,0.19961130501022
"Lonicera maackii",4,4,2.39630394172904,68,0.0588235294117647,5.88235294117647,0.0352397638489564
"Lonicera tatarica",1,1,0.181391431871464,31,0.032258064516129,3.2258064516129,0.00585133651198271
"Magnolia",0,0,0,43,0,0,0
"Magnolia grandiflora",1,1,0.0233275437115525,37,0.027027027027027,2.7027027027027,0.000630474154366284
"Magnolia†acuminata",48,32,275.528848038991,467,0.102783725910064,6.85224839400428,0.58999753327407
"Magnolia†fraseri",29,23,275.869088481802,366,0.0792349726775956,6.28415300546448,0.753740678912026
"Malus",12,9,99.4458931462438,109,0.110091743119266,8.25688073394495,0.912347643543521
"Malus angustifolia",0,0,0,56,0,0,0
"Malus coronaria",17,9,436.677488956179,149,0.114093959731544,6.04026845637584,2.93072140239047
"Malus†baccata",10,4,191.111807227776,13,0.769230769230769,30.7692307692308,14.7009082482905
"Malus†sargentii",0,0,0,18,0,0,0
"Morella caroliniensis",0,0,0,16,0,0,0
"Morella cerifera",1,1,0.0233275437115525,50,0.02,2,0.00046655087423105
"Morella†cerifera",2,2,50.1405384160487,34,0.0588235294117647,5.88235294117647,1.47472171811908
"Morus",1,1,2.72973981789676,32,0.03125,3.125,0.0853043693092738
"Morus alba",14,12,237.464071590059,396,0.0353535353535354,3.03030303030303,0.599656746439542
"Morus nigra",0,0,0,5,0,0,0
"Morus rubra",0,0,0,12,0,0,0
"Mulinia cleryana",0,0,0,18,0,0,0
"Nandina domestica",0,0,0,26,0,0,0
"Nyssa aquatica",0,0,0,35,0,0,0
"Nyssa sylvatica",71,45,890.466210141205,914,0.0776805251641138,4.92341356673961,0.974251871051646
"Olea",0,0,0,6,0,0,0
"Osmanthus fragrans",1,1,2.72973981789676,15,0.0666666666666667,6.66666666666667,0.181982654526451
"Ostrya",4,4,4.28499950912301,143,0.027972027972028,2.7972027972028,0.0299650315323288
"Ostrya virginiana",37,16,1335.41018636898,190,0.194736842105263,8.42105263157895,7.02847466509989
"Oxydendrum arboreum",58,52,844.512837718829,666,0.0870870870870871,7.80780780780781,1.26803729387212
"Picea glauca",7,6,71.0375141970184,33,0.212121212121212,18.1818181818182,2.15265194536419
"Pinus strobus",0,0,0,8,0,0,0
"Pinus taeda",1,1,0.0774324583206101,10,0.1,10,0.00774324583206101
"Platanus occidentalis",60,46,742.769112060165,250,0.24,18.4,2.97107644824066
"Podocarpus",1,1,0.0774324583206101,13,0.0769230769230769,7.69230769230769,0.00595634294773924
"Populus",0,0,0,17,0,0,0
"Populus alba",0,0,0,11,0,0,0
"Populus balsamifera",7,7,458.023819982996,36,0.194444444444444,19.4444444444444,12.7228838884166
"Populus tremuloides",15,10,139.464071754401,87,0.172413793103448,11.4942528735632,1.60303530752186
"Prunus",34,21,408.35085006296,171,0.198830409356725,12.280701754386,2.38801666703486
"Prunus americana",25,14,89.3798252591366,24,1.04166666666667,58.3333333333333,3.72415938579736
"Prunus avium",136,5,49.4525444596889,20,6.8,25,2.47262722298445
"Prunus caroliniana",1,1,0.0774324583206101,42,0.0238095238095238,2.38095238095238,0.00184362996001453
"Prunus cerasifera",11,7,37.7842476011666,241,0.045643153526971,2.9045643153527,0.156781110378285
"Prunus cerasus",2,2,11.7907222894771,17,0.117647058823529,11.7647058823529,0.693571899381004
"Prunus laurocerasus",0,0,0,17,0,0,0
"Prunus maritima",1,1,0.0233275437115525,25,0.04,4,0.0009331017484621
"Prunus mume",0,0,0,5,0,0,0
"Prunus pensylvanica",0,0,0,14,0,0,0
"Prunus persica",0,0,0,13,0,0,0
"Prunus serotina",192,120,1944.38285888677,1143,0.167979002624672,10.498687664042,1.70112236123077
"Prunus†serrulata",1,1,0.181391431871464,11,0.0909090909090909,9.09090909090909,0.0164901301701331
"Prunus†subhirtella",0,0,0,11,0,0,0
"Pyrularia pubera",2,2,45.4664253716385,62,0.032258064516129,3.2258064516129,0.73332944147804
"Pyrus",2,2,5.02958574157782,56,0.0357142857142857,3.57142857142857,0.0898140310996039
"Pyrus calleryana",1,1,15.5407723006435,28,0.0357142857142857,3.57142857142857,0.555027582165839
"Quercus",63,37,1007.52297149487,185,0.340540540540541,20,5.44607011618846
"Quercus agrifolia",0,0,0,27,0,0,0
"Quercus alba",195,59,2142.35663642014,556,0.350719424460432,10.6115107913669,3.85315941802183
"Quercus bicolor",17,14,257.233396573837,164,0.103658536585366,8.53658536585366,1.56849632057217
"Quercus coccinea",8,7,9.55091545242137,110,0.0727272727272727,6.36363636363636,0.0868265041129216
"Quercus falcata",6,6,38.3350837887776,141,0.0425531914893617,4.25531914893617,0.271880026870763
"Quercus ilicifolia",6,6,6.67139704396003,97,0.0618556701030928,6.18556701030928,0.06877728911299
"Quercus macrocarpa",5,4,587.721883777416,34,0.147058823529412,11.7647058823529,17.2859377581593
"Quercus michauxii",0,0,0,8,0,0,0
"Quercus montana",11,9,70.9376049851517,115,0.0956521739130435,7.82608695652174,0.616848739001319
"Quercus nigra",60,1,57.0056110784662,36,1.66666666666667,2.77777777777778,1.58348919662406
"Quercus palustris",629,79,2753.65923144497,432,1.45601851851852,18.287037037037,6.3742111839004
"Quercus phellos",2,2,23.2246368415749,21,0.0952380952380952,9.52380952380952,1.10593508769404
"Quercus rubra",1056,762,11879.3095810897,8039,0.131359621843513,9.47879089438985,1.47770986205867
"Quercus velutina",1340,22,2191.6722788759,182,7.36263736263736,12.0879120879121,12.042155378439
"Quercus virginiana",1,1,9.06098247158031,126,0.00793650793650794,0.793650793650794,0.0719125592982564
"Rhamnus",2,2,4.14021200319098,82,0.024390243902439,2.4390243902439,0.0504903902828168
"Rhamnus cathartica",0,0,0,34,0,0,0
"Rhododendron",16,13,137.9858621089,714,0.0224089635854342,1.82072829131653,0.193257509956443
"Rhododendron austrinum",3,3,3.35517038033064,16,0.1875,18.75,0.209698148770665
"Rhododendron canescens",0,0,0,8,0,0,0
"Rhododendron flammeum",1,1,0.602103018722332,8,0.125,12.5,0.0752628773402915
"Rhododendron prunifolium",2,2,5.02958574157782,9,0.222222222222222,22.2222222222222,0.558842860175313
"Rhododendron†atlanticum",0,0,0,9,0,0,0
"Rhododendron†maximum",57,44,167.312310506681,645,0.0883720930232558,6.82170542635659,0.259398931018111
"Rhodotypos scandens",0,0,0,6,0,0,0
"Rhus",1,1,0.181391431871464,22,0.0454545454545455,4.54545454545455,0.00824506508506655
"Rhus glabra",1,1,21.2260416410506,41,0.024390243902439,2.4390243902439,0.517708332708551
"Rhus typhina",1,1,0.351053653781591,33,0.0303030303030303,3.03030303030303,0.0106379895085331
"Robinia pseudoacacia",31,26,382.769896434482,370,0.0837837837837838,7.02702702702703,1.03451323360671
"Rosa multiflora",1,1,1.99859520052434,14,0.0714285714285714,7.14285714285714,0.142756800037453
"Rubus",0,0,0,5,0,0,0
"Rubus phoenicolasius",0,0,0,9,0,0,0
"Salix",20,19,167.829780550382,105,0.19047619047619,18.0952380952381,1.59837886238459
"Salix babylonica",7,7,44.3489375871955,20,0.35,35,2.21744687935977
"Salix nigra",3,3,7.31565957088781,12,0.25,25,0.609638297573984
"Sambucus",0,0,0,6,0,0,0
