,cleanedName,sciName,itis_id,rank,Suggested Name,Suggested ITIS ID,Problem
433,Fremont cottonwood,NA,NA,species,Populus fermontii,22459,misspelling- Fermont's cottonwood
434,Rosa,Rosa,24807,species,,,
435,Cypress,NA,NA,species,Cupressus,183455,two genus names
436,Eastern cottonwood,Populus deltoides,22445,species,,,
437,"Azalea, rhododendron",NA,NA,species,,,Unknown
438,Post oak,Quercus stellata,19422,species,,,
439,Shortleaf pine,Pinus echinata,183335,species,,,
440,Syringa vulgaris,Syringa vulgaris,32996,species,,,
441,Horse chestnut,Aesculus hippocastanum,28721,species,,,
442,Arizona white oak,Quercus arizonica,19292,species,,,
443,Norway spruce,Picea abies,183289,species,,,
444,Shining willow,Salix lucida,22554,species,,,
445,Myrobalan plum,Prunus cerasifera,24772,species,,,
446,European horse chestnut,NA,NA,species,Aesculus hippocastanum,28721,Not found but found on NCSU and the internet
447,Prunus serulata (japanese cherry blossom),NA,NA,species,Prunus serrulata,506233,not picked up bc common name in ()
448,Prunus sargentii,NA,NA,species,Pseudophoenix sargentii ssp. Sargentii,524598,not found can be found on NCSU | possibly Sargent's cherry PALM
449,Amelanchier,Amelanchier,25108,species,,,
450,Staghorn sumac,Rhus typhina,28777,species,,,
451,Cottonwood and poplar,NA,NA,species,,,two plants in one
452,Quercus hemispherica,NA,NA,species,Quercus hemisphaerica,195108,misspelling in hem…
453,Prunus umbellata,Prunus umbellata,24805,species,,,
454,Ilex ambigua,Ilex ambigua,27987,species,,,
455,Hibiscus coccineus albus,NA,NA,species,Hibiscus coccineus,21625,"""White swamp hibiscus"" = 'Albus'"
456,Quercus nuttallii,NA,NA,species,Quercus texana,195188,not an accepted scientific name
457,Hibiscus moscheutos,Hibiscus moscheutos,21612,species,,,
