,cleanedName,sciName,itis_id,rank,Suggested Name,Suggested ITIS ID,Problem
35,Cornus stolonifera,NA,NA,species,Cornus sericea ssp. sericea,27818,not an accepted name by ITIS
36,Vibirnum dentatum,NA,NA,species,Viburnum dentatum,35251,Misspelling 
37,Vaccinium,Vaccinium,23571,species,,,
38,Rhus glabra,Rhus glabra,28782,species,,,
39,Hamamelis virginiana,Hamamelis virginiana,19033,species,,,
40,Striped maple,Acer pensylvanicum,28754,species,,,
41,Viburnum cassinoide,NA,NA,species,Viburnum nudum var. cassinoides,35250,not an accepted name by ITIS
42,Scarlet oak,Quercus coccinea,19288,species,,,
43,Aesculus parviflora,Aesculus parviflora,28722,species,,,
44,Flowering dogwood,Cornus florida,27806,species,,,
45,Halesia tetraptera,NA,NA,species,Halesia carolina ,502868,not an accepted name by ITIS
46,Ginkgo,Ginkgo,183264,species,,,
47,Malus sargentii,NA,NA,species,Malus sieboldii,507499,not an accepted name by ITIS
48,Aesculus hippocastanum,Aesculus hippocastanum,28721,species,,,
49,Sweetgum,Liquidambar,19026,species,,,
50,White fir,NA,NA,species,"Abies amabilis, A. concolor, A.procera, etc.",,
51,Sourwood,Oxydendrum,23689,species,,,
52,Maple,Acer,28727,species,,,
53,Elm,NA,NA,species,Ulmus,19048,A lot of options but most had NA under common name
54,Red maple,Acer rubrum,28728,species,,,
55,Oak,Quercus,19276,species,,,
56,Autumn olive,Elaeagnus umbellata,27776,species,,,
57,Blackhaw,NA,NA,species,Viburnum prunifolium,35253,Choices between blackhaw and rusty blackhaw
58,Yellow buckeye,NA,NA,species,Aesculus flava,837871,Misspelling? Not read by ITIS
59,American elm,Ulmus americana,19049,species,,,
60,Spicebush,Lindera,18146,species,,,
61,White-cedar,Chamaecyparis thyoides,18046,species,,,
62,Winged elm,Ulmus alata,19051,species,,,
63,Yellow-poplar,Liriodendron tulipifera,18086,species,,,
64,Magnolia,Magnolia,18069,species,,,
65,Lonicera japonica,Lonicera japonica,35283,species,,,
66,Eastern redbud,Cercis canadensis,25782,species,,,
67,Pear,NA,NA,species,Pyrus,25294,A lot of options but most had NA under common name
68,Crapemyrtle,NA,NA,species,Lagerstroemia indica,27110,Wild crapemyrtle vs crapemyrtle
69,Northern red oak,Quercus rubra,19408,species,,,
70,Ironwood,NA,NA,species,,,Parrotia vs. Eusideroxylon
71,Florida maple,Acer floridanum,183691,species,,,
72,Umbrella magnolia,Magnolia tripetala,18077,species,,,
73,Viburnum rufidulum,Viburnum rufidulum,35274,species,,,
74,Willow oak,Quercus phellos,19282,species,,,
75,Swamp chestnut oak,Quercus michauxii,19279,species,,,
76,Pignut hickory,Carya glabra,19231,species,,,
77,Common serviceberry,Amelanchier arborea,25110,species,,,
78,Maple leaf viburnum,NA,NA,species,Viburnum acerifolium ,35255,Misspelling or unaccepted spelling so not found
79,Chestnut oak,NA,NA,species,Quercus prinus ,19379,Not found in ITIS
80,American holly,Ilex opaca,27982,species,,,
81,Common persimmon,Diospyros virginiana,23855,species,,,
82,American sycamore,Platanus occidentalis,19020,species,,,
83,Honeylocust,Gleditsia,26711,species,,,
84,White ash,Fraxinus americana,32931,species,,,
85,Beaked hazel,Corylus cornuta,19507,species,,,
86,Speckled alder,NA,NA,species,Alnus incana ssp. Rugosa,181888,Between two subspecies (tenuifolia and rugosa) | USDA says tenuifolia refers to thinleaf alder
87,White elm,NA,NA,species,Ulmus americana,19049,Not found in IT IS | NCSU Plants CES has it
88,Hawthorn,Crataegus,24539,species,,,
89,Alternate-leaf dogwood,Cornus alternifolia,27813,species,,,
90,Redosier dogwood,Cornus sericea,501637,species,,,
91,Tamarack,NA,NA,species,Larix laricina,183412,Between Larix laricina and L. lyallii | tamarack seems to more commonly refer to L. laricina 
92,Willow,Salix,22476,species,,,
93,White birch,NA,NA,species,Betula,19478,"lots of different options that are ""blank white birch"" not plain white birch"
94,Balsam poplar,Populus balsamifera,22453,species,,,
95,Apple,Malus,25254,species,,,
96,Black ash,Fraxinus nigra,32945,species,,,
97,Green ash,Fraxinus pennsylvanica,32929,species,,,
98,American chestnut,Castanea dentata,19454,species,,,
99,Sour cherry,Prunus cerasus,24773,species,,,
100,American basswood,Tilia americana,21536,species,,,
101,Black walnut,Juglans nigra,19254,species,,,
102,Rhamnus cathartica,Rhamnus cathartica,28573,species,,,
103,Symplocos tinctoria,Symplocos tinctoria,23878,species,,,
104,Walnut,Juglans,19248,species,,,
105,Carolina hemlock,Tsuga caroliniana,183399,species,,,
106,Tatarian honeysuckle,Lonicera tatarica,35306,species,,,
107,Eastern hophornbeam,Ostrya virginiana,19511,species,,,
108,Huckleberry,NA,NA,species,Gaylussacia,23659,Between two genuses: Vaccinium and Gaylussacia | G. found more in eastern NA
109,Hazelnut,Corylus,19505,species,,,
110,White cedar,NA,NA,species,Chamaecyparis,18045,Multiple common names of white cedar but only one with just a Genus
111,Bur oak,Quercus macrocarpa,19287,species,,,
112,Vaccinium caesariense,NA,NA,species,Vaccinium corymbosum,23573,Unknown/no longer accepted name but USDA indicates New Jersey blueberry
113,Myrica cerifera,NA,NA,species,Morella cerifera,507899,Not accepted name
114,Ilex verticillata,Ilex verticillata,27985,species,,,
115,Basswood,Tilia,21535,species,,,
116,Viburnum lentago,Viburnum lentago,35266,species,,,
117,Malus siberica,NA,NA,species,Malus baccata,25256,Unknown by a lot but wikipedia indicates it is an old name for Malus baccata
118,Highbush blueberry,Vaccinium corymbosum,23573,species,,,
119,Sassafras,Sassafras,18157,species,,,
120,Cornus mas,Cornus mas,565094,species,,,
121,Kalopanax septemlobus,Kalopanax septemlobus,565257,species,,,
122,Acer x freemanii,Acer X freemanii,500949,species,,,
123,Ulmus,Ulmus,19048,species,,,
124,Hydrangea quercifolia,Hydrangea quercifolia,24200,species,,,
125,Black maple,Acer nigrum,182135,species,,,
126,Kentucky yellowwood,Cladrastis kentukea,26539,species,,,
127,Tilia cordata,Tilia cordata,505507,species,,,
128,Tilia x europaea,Tilia X europaea,21538,species,,,
129,Viburnum dilatatum,Viburnum dilatatum,505677,species,,,
130,Stewartia rostrata,NA,NA,species,Stewartia,21389,Stewartia rostrata is found on NCSU
131,Red oak,NA,NA,species,Quercus,19276,blank red oak not just red oak
132,Pawpaw,Asimina,18108,species,,,
133,Hazel alder,Alnus serrulata,19468,species,,,
134,Ash,NA,NA,species,Fraxinus,32928,For some reason not on the sugggested ITIS ids
135,Fagus sylvatica,Fagus sylvatica,502590,species,,,
136,Southern magnolia,Magnolia grandiflora,18074,species,,,
137,Black oak,Quercus velutina,19447,species,,,
138,Chalk maple,Acer leucoderme,28761,species,,,
139,Slippery elm,Ulmus rubra,19050,species,,,
140,Pin oak,Quercus palustris,19281,species,,,
141,Dwarf pawpaw,Asimina pygmea,18114,species,,,
142,Fringetree,Chionanthus,32948,species,,,
