commonName,sciName,cleanedName,itis_id,rank,isConifer
fir,Abies,fir,,genus,1
fir,Abies,fir spp.,,genus,1
Pacific silver fir,Abies amabilis,,,species,1
balsam fir,Abies balsamea,,,species,1
bristlecone fir,Abies bracteata,,,species,1
white fir,Abies concolor,,,species,1
Fraser fir,Abies fraseri,,,species,1
grand fir,Abies grandis,,,species,1
subalpine fir,Abies lasiocarpa,corkbark fir,,species,1
subalpine fir,Abies lasiocarpa,subalpine fir,,species,1
California red fir,Abies magnifica,,,species,1
noble fir,Abies procera,,,species,1
Shasta red fir,Abies shastensis,,,species,1
acacia,Acacia,Acacia spp.,,genus,0
acacia,Acacia,acacia,,genus,0
sweet acacia,Acacia farnesiana,,,species,0
catclaw acacia,Acacia greggii,,,species,0
Maple,Acer,Maple,28727,genus,0
Maple,Acer,Maple spp.,28727,genus,0
Trident maple,Acer buergerianum,Trident maple,837859,species,0
Hedge maple,Acer campestre,Hedge maple,28739,species,0
Horned maple,Acer diabolicum,Horned maple,837851,species,0
Florida maple,Acer floridanum,Florida maple,183691,species,0
Florida maple,Acer floridanum,Acer barbatum,,species,0
Amur maple,Acer ginnala,Amur maple,28741,species,0
Rocky Mountain maple,Acer glabrum,,,species,0
bigtooth maple,Acer grandidentatum,,,species,0
Chalk maple,Acer leucoderme,Chalk maple,28761,species,0
Bigleaf maple,Acer macrophyllum,Bigleaf maple,28748,species,0
Boxelder,Acer negundo,Acer negundo,28749,species,0
Boxelder,Acer negundo,Boxelder,28749,species,0
Black maple,Acer nigrum,Black maple,182135,species,0
Japanese maple,Acer palmatum,Japanese maple,182136,species,0
Striped maple,Acer pensylvanicum,Striped maple,28754,species,0
Norway maple,Acer platanoides,Norway maple,28755,species,0
Red maple,Acer rubrum,Red maple,28728,species,0
Silver maple,Acer saccharinum,Silver maple,28757,species,0
Sugar maple,Acer saccharum,Sugar maple,28731,species,0
Sugar maple,Acer saccharum,Southern sugar maple,28731,species,0
mountain maple,Acer spicatum,,,species,0
Freeman maple,Acer X freemanii,Acer x freemanii,500949,species,0
Everglades palm,Acoelorraphe wrightii,Everglades palm,42434,species,0
Buckeye,Aesculus,Buckeye,28714,genus,0
Buckeye,Aesculus,Buckeye spp.,28714,genus,0
California buckeye,Aesculus californica,,,species,0
yellow buckeye,Aesculus flava,,,species,0
Ohio buckeye,Aesculus glabra,Ohio buckeye,28718,species,0
horse chestnut,Aesculus hippocastanum,Aesculus hippocastanum,28721,species,0
Bottlebrush buckeye,Aesculus parviflora,Aesculus parviflora,28722,species,0
Bottlebrush buckeye,Aesculus parviflora,Bottlebrush buckeye,28722,species,0
Red buckeye,Aesculus pavia,Red buckeye,28723,species,0
painted buckeye,Aesculus sylvatica,,,species,0
Yellow buckeye,Aesculus flava,Yellow buckeye,837871,species,0
Ailanthus,Ailanthus,Ailanthus,28826,genus,0
Ailanthus,Ailanthus,Ailanthus spp.,28826,genus,0
Tree of heaven,Ailanthus altissima,tree of heaven,,species,0
mimosa,Albizia julibrissin,,,species,0
Alder,Alnus,Alder,19466,genus,0
Alder,Alnus,Alder spp.,19466,genus,0
European alder,Alnus glutinosa,,,species,0
Arizona alder,Alnus oblongifolia,,,species,0
white alder,Alnus rhombifolia,,,species,0
red alder,Alnus rubra,,,species,0
Hazel alder,Alnus serrulata,Hazel alder,19468,species,0
Grey alder,Alnus incana,Speckled alder,19471,species,0
Serviceberry,Amelanchier,Serviceberry,25108,species,0
Common serviceberry,Amelanchier arborea,Common serviceberry,25110,species,0
Allegheny serviceberry,Amelanchier laevis,Amelanchier laevis,182046,species,0
roundleaf serviceberry,Amelanchier sanguinea,,,species,0
