"sciName","totalCount","numSurveysGTzero","totalBiomass","nSurveys","nBranches","nSites","nRegions","meanDensity","meanBiomass","fracSurveys","LL95frac","UL95frac","rank","Family","nativeStatus","plantOrigin","color","famcolor","rgb.86.255..180.255..233.255.","rgb.0..158.255..115.255.","rgb.240.255..228.255..66.255.","rgb.213.255..94.255..0.","X.salmon."
"Hamamelis virginiana",275,143,4248.19207817512,738,100,39,9,0.372628726287263,5.75635782950558,19.3766937669377,16.5250318866283,22.2283556472471,"species","Hamamelidaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Populus grandidentata",27,9,402.417419098104,48,24,6,4,0.5625,8.38369623121051,18.75,7.70799921889153,29.7920007811085,"species","Salicaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Alnus incana",44,16,2041.40653203683,91,7,2,2,0.483516483516484,22.4330388135916,17.5824175824176,9.7610156217746,25.4038195430606,"species","Betulaceae","L48(N)AK(N)CAN(N)SPM(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Quercus palustris",669,96,5259.20687292473,557,11,5,4,1.20107719928187,9.44202311117546,17.2351885098743,14.0985869232134,20.3717900965353,"species","Fagaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Carya ovata",162,54,4172.39859978033,329,41,11,3,0.492401215805471,12.6820626133141,16.4133738601824,12.4109281364795,20.4158195838853,"species","Juglandaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Quercus macrocarpa",35,10,1119.52825789847,62,9,7,6,0.564516129032258,18.0569073854593,16.1290322580645,6.97378223778806,25.284282278341,"species","Fagaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Aesculus flava",24,19,261.697804703785,120,19,8,3,0.2,2.18081503919821,15.8333333333333,9.30170161048161,22.3649650561851,"species","Sapindaceae","L48(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Platanus occidentalis",83,64,830.501690406992,406,19,14,6,0.204433497536946,2.04557066602707,15.7635467980296,12.2189237176454,19.3081698784137,"species","Platanaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Acer negundo",677,363,6204.70735440877,2421,99,35,13,0.279636513837257,2.56286962181279,14.9938042131351,13.5716722912446,16.4159361350255,"species","Sapindaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Magnolia fraseri",8,7,322.176106976789,49,10,7,3,0.163265306122449,6.57502259136303,14.2857142857143,4.48775531458157,24.083673256847,"species","Magnoliaceae","L48(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Quercus alba",503,193,7991.37007698287,1412,140,47,11,0.356232294617564,5.65961053610685,13.6685552407932,11.8767758640014,15.460334617585,"species","Fagaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Acer floridanum",30,15,10.4241777614214,113,19,7,3,0.265486725663717,0.092249360720543,13.2743362831858,7.01833147979349,19.5303410865782,"species","Sapindaceae","L48(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Picea glauca",12,10,73.250853691908,77,5,2,1,0.155844155844156,0.951309788206597,12.987012987013,5.47844037568037,20.4955855983456,"species","Pinaceae","L48(N)AK(N)CAN(N)SPM(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Quercus rubra",350,158,5754.56922441783,1221,115,45,14,0.286650286650287,4.71299690779511,12.9402129402129,11.0575275555556,14.8228983248703,"species","Fagaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Tilia americana",160,60,1751.43672219952,479,58,26,11,0.334029227557411,3.65644409644993,12.5260960334029,9.5617053620847,15.4904867047211,"species","Malvaceae","L48(N)CAN(NI)","native","gray70",NA,NA,NA,NA,NA,NA
"Ostrya virginiana",183,101,3873.28375214825,809,83,16,5,0.226205191594561,4.78774258609178,12.4845488257108,10.2067749654748,14.7623226859467,"species","Betulaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Quercus velutina",2131,47,8505.55520866776,390,18,11,6,5.46410256410256,21.8091159196609,12.0512820512821,8.8201467078651,15.282417394699,"species","Fagaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Halesia carolina",50,42,291.555267313859,369,24,12,5,0.13550135501355,0.790122675647315,11.3821138211382,8.14159130323247,14.622636339044,"species","Styracaceae","L48(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Liquidambar styraciflua",1398,521,6250.29859649336,4635,111,31,9,0.301618122977346,1.34850023656815,11.2405609492988,10.3312080224394,12.1499138761582,"species","Altingiaceae","L48(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Quercus michauxii",8,8,57.1261202113936,74,11,3,3,0.108108108108108,0.771974597451265,10.8108108108108,3.73582695772463,17.885794663897,"species","Fagaceae","L48(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Diospyros virginiana",274,226,2829.97021246654,2115,20,8,7,0.129550827423168,1.33804738178087,10.6855791962175,9.36895839463527,12.0021999977997,"species","Ebenaceae","L48(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Betula nigra",78,21,84.4070188473287,198,24,13,8,0.393939393939394,0.426298074986509,10.6060606060606,6.31707521950537,14.8950459926158,"species","Betulaceae","L48(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Corylus cornuta",18,16,91.8677694309257,158,21,5,5,0.113924050632911,0.581441578676745,10.126582278481,5.42250330229496,14.8306612546671,"species","Betulaceae","L48(N)CAN(N)SPM(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Viburnum prunifolium",24,13,279.127998775504,133,17,12,6,0.180451127819549,2.09870675771056,9.77443609022556,4.72734771819003,14.8215244622611,"species","Adoxaceae","L48(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Fraxinus nigra",14,12,257.236204233106,123,9,4,1,0.113821138211382,2.09135125392769,9.75609756097561,4.51224446527465,14.9999506566766,"species","Oleaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Kalmia latifolia",49,39,542.173892055528,404,97,21,6,0.121287128712871,1.34201458429586,9.65346534653465,6.77366248155606,12.5332682115133,"species","Ericaceae","L48(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Cornus sericea",31,23,431.23881240363,248,20,14,7,0.125,1.73886617904689,9.2741935483871,5.66397305474846,12.8844140420257,"species","Cornaceae","L48(N)AK(N)CAN(N)SPM(N)","native","gray70",NA,NA,NA,NA,NA,NA
