commonName,sciName,rank,isConifer
bluewood,Condalia hookeri,species,0
buttonwood-mangrove,Conocarpus erectus,species,0
anacahuita,Cordia boissieri,species,0
largeleaf geigertree,Cordia sebestena,species,0
alternate-leaf dogwood,Cornus alternifolia,species,0
silky dogwood,Cornus amomum,species,0
roughleaf dogwood,Cornus drummondii,species,0
flowering dogwood,Cornus florida,species,0
stiff dogwood,Cornus foemina,species,0
kousa dogwood,Cornus kousa,species,0
big-leaf dogwood,Cornus macrophylla,species,0
cornelian cherry,Cornus mas,species,0
pacific dogwood,Cornus nuttallii,species,0
redosier dogwood,Cornus sericea,species,0
grey dogwood,Cornus racemosa,species,0
american hazelnut,Corylus americana,species,0
beaked hazel,Corylus cornuta,species,0
smoketree,Cotinus obovatus,species,0
brainerd's hawthorn,Crataegus brainerdii,species,0
pear hawthorn,Crataegus calpodendron,species,0
fireberry hawthorn,Crataegus chrysocarpa,species,0
cockspur hawthorn,Crataegus crus-galli,species,0
broadleaf hawthorn,Crataegus dilatata,species,0
fanleaf hawthorn,Crataegus flabellata,species,0
downy hawthorn,Crataegus mollis,species,0
oneseed hawthorn,Crataegus monogyna,species,0
scarlet hawthorn,Crataegus pedicellata,species,0
washington hawthorn,Crataegus phaenopyrum,species,0
fleshy hawthorn,Crataegus succulenta,species,0
dwarf hawthorn,Crataegus uniflora,species,0
broadleaf hawthorn,Crataegus coccinioides,species,0
carrotwood,Cupaniopsis anacardioides,species,0
swamp titi,Cyrilla racemiflora,species,0
texas persimmon,Diospyros texana,species,0
common persimmon,Diospyros virginiana,species,0
blackbead ebony,Ebenopsis ebano,species,0
oriental paperbush,Edgeworthia chrysantha,species,0
anacua knockaway,Ehretia anacua,species,0
russian olive,Elaeagnus angustifolia,species,0
autumn olive,Elaeagnus umbellata,species,0
river redgum,Eucalyptus camaldulensis,species,0
tasmanian bluegum,Eucalyptus globulus,species,0
grand eucalyptus,Eucalyptus grandis,species,0
swampmahogany,Eucalyptus robusta,species,0
red stopper,Eugenia rhombea,species,0
burningbush,Euonymus alatus,species,0
european spindletree,Euonymus europaeus,species,0
yeddo euonymous,Euonymus hamiltonianus,species,0
butterbough,Exothea paniculata,species,0
american beech,Fagus grandifolia,species,0
european beech,Fagus sylvatica,species,0
japanese knotweed,Fallopia japonica,species,0
speckled japanese aralla,Fatsia japonica,species,0
florida strangler fig,Ficus aurea,species,0
wild banyantree,Ficus citrifolia,species,0
florida swampprivet,Forestiera segregata,species,0
white ash,Fraxinus americana,species,0
berlandier ash,Fraxinus berlandieriana,species,0
carolina ash,Fraxinus caroliniana,species,0
oregon ash,Fraxinus latifolia,species,0
black ash,Fraxinus nigra,species,0
green ash,Fraxinus pennsylvanica,species,0
pumpkin ash,Fraxinus profunda,species,0
blue ash,Fraxinus quadrangulata,species,0
texas ash,Fraxinus texensis,species,0
velvet ash,Fraxinus velutina,species,0
black huckleberry,Gaylussacia baccata,species,0
ginkgo,Ginkgo biloba,species,0
waterlocust,Gleditsia aquatica,species,0
honeylocust,Gleditsia triacanthos,species,0
loblolly-bay,Gordonia lasianthus,species,0
beeftree,Guapira discolor,species,0
kentucky coffeetree,Gymnocladus dioicus,species,0
carolina silverbell,Halesia carolina,species,0
two-wing silverbell,Halesia diptera,species,0
little silverbell,Halesia parviflora,species,0
witch-hazel,Hamamelis virginiana,species,0
ozark witch hazel,Hamamelis vernalis,species,0
rose of sharon,Hibiscus syriacus,species,0
manchineel,Hippomane mancinella,species,0
raisin,Hovenia dulcis,species,0
oakleaf hydrangea,Hydrangea quercifolia,species,0
possumhaw,Ilex decidua,species,0
inkberry,Ilex glabra,species,0
mountain holly,Ilex montana,species,0
catberry,Ilex mucronata,species,0
american holly,Ilex opaca,species,0
winterberry,Ilex verticillata,species,0
yaupon,Ilex vomitoria,species,0
virginia sweetspire,Itea virginica,species,0
southern california black walnut,Juglans californica,species,0
butternut,Juglans cinerea,species,0
northern california black walnut,Juglans hindsii,species,0
arizona walnut,Juglans major,species,0
texas walnut,Juglans microcarpa,species,0
black walnut,Juglans nigra,species,0
mountain laurel,Kalmia latifolia,species,0
castor aralia,Kalopanax septemlobus,species,0
flamegold,Koelreuteria elegans,species,0
golden rain tree,Koelreuteria paniculata,species,0
crapemyrtle,Lagerstroemia indica,species,0
white-mangrove,Laguncularia racemosa,species,0
great leucaene,Leucaena pulverulenta,species,0
coastal doghobble,Leucothoe axillaris,species,0
japanese privet,Ligustrum japonicum,species,0
waxyleaf privet,Ligustrum quihoui,species,0
northern spicebush,Lindera benzoin,species,0
sweetgum,Liquidambar styraciflua,species,0
tuliptree,Liriodendron tulipifera,species,0
tanoak,Lithocarpus densiflorus,species,0
pink honeysuckle,Lonicera hispidula,species,0
japanese honeysuckle,Lonicera japonica,species,0
amur honeysuckle,Lonicera maackii,species,0
tatarian honeysuckle,Lonicera tatarica,species,0
false tamarind,Lysiloma latisiliquum,species,0
amur maackia,Maackia amurensis,species,0
osage-orange,Maclura pomifera,species,0
cucumbertree,Magnolia acuminata,species,0
fraser's magnolia,Magnolia fraseri,species,0
southern magnolia,Magnolia grandiflora,species,0
bigleaf magnolia,Magnolia macrophylla,species,0
pyramid magnolia,Magnolia pyramidata,species,0
umbrella magnolia,Magnolia tripetala,species,0
sweetbay,Magnolia virginiana,species,0
loebner magnolia,Magnolia X loebneri,species,0
southern crab apple,Malus angustifolia,species,0
siberian crab apple,Malus baccata,species,0
sweet crab apple,Malus coronaria,species,0
oregon crab apple,Malus fusca,species,0
prairie crab apple,Malus ioensis,species,0
toringa crab apple,Malus sieboldii,species,0
mango,Mangifera indica,species,0
melaleuca,Melaleuca quinquenervia,species,0
chinaberry,Melia azedarach,species,0
florida poisontree,Metopium toxiferum,species,0
southern bayberry,Morella caroliniensis,species,0
wax myrtle,Morella cerifera,species,0
red bay,Morella rubra,species,0
white mulberry,Morus alba,species,0
texas mulberry,Morus microphylla,species,0
black mulberry,Morus nigra,species,0
red mulberry,Morus rubra,species,0
heavenly bamboo,Nandina domestica,species,0
water tupelo,Nyssa aquatica,species,0
swamp tupelo,Nyssa biflora,species,0
ogeechee tupelo,Nyssa ogeche,species,0
blackgum,Nyssa sylvatica,species,0
desert ironwood,Olneya tesota,species,0
eastern hophornbeam,Ostrya virginiana,species,0
sourwood,Oxydendrum arboreum,species,0
persian ironwood,Parrotia persica,species,0
paulownia  empress-tree,Paulownia tomentosa,species,0
avocado,Persea americana,species,0
redbay,Persea borbonia,species,0
common ninebark,Physocarpus opulifolius,species,0
fishpoison tree,Piscidia piscipula,species,0
water-elm  planertree,Planera aquatica,species,0
american sycamore,Platanus occidentalis,species,0
california sycamore,Platanus racemosa,species,0
arizona sycamore,Platanus wrightii,species,0
silver poplar,Populus alba,species,0
narrowleaf cottonwood,Populus angustifolia,species,0
balsam poplar,Populus balsamifera,species,0
eastern cottonwood,Populus deltoides,species,0
fremont cottonwood,Populus fremontii,species,0
bigtooth aspen,Populus grandidentata,species,0
swamp cottonwood,Populus heterophylla,species,0
lombardy poplar,Populus nigra,species,0
quaking aspen,Populus tremuloides,species,0
honey mesquite ,Prosopis glandulosa,species,0
screwbean mesquite,Prosopis pubescens,species,0
velvet mesquite,Prosopis velutina,species,0
allegheny plum,Prunus alleghaniensis,species,0
american plum,Prunus americana,species,0
chickasaw plum,Prunus angustifolia,species,0
sweet cherry,Prunus avium,species,0
sour cherry,Prunus cerasus,species,0
european plum,Prunus domestica,species,0
bitter cherry,Prunus emarginata,species,0
cherry laurel,Prunus laurocerasus,species,0
mahaleb cherry,Prunus mahaleb,species,0
beach plum,Prunus maritima,species,0
japanese apricot,Prunus mume,species,0
canada plum,Prunus nigra,species,0
pin cherry,Prunus pensylvanica,species,0
peach,Prunus persica,species,0
black cherry,Prunus serotina,species,0
chokecherry,Prunus virginiana,species,0
kwanzan cherry,Prunus serrulata,species,0
weeping cherry,Prunus subhirtella,species,0
wafer ash,Ptelea trifoliata,species,0
buffalo nut,Pyrularia pubera,species,0
callery pear,Pyrus calleryana,species,0
california live oak,Quercus agrifolia,species,0
white oak,Quercus alba,species,0
arizona white oak,Quercus arizonica,species,0
swamp white oak,Quercus bicolor,species,0
buckley oak,Quercus buckleyi,species,0
canyon live oak,Quercus chrysolepis,species,0
scarlet oak,Quercus coccinea,species,0
blue oak,Quercus douglasii,species,0
northern pin oak,Quercus ellipsoidalis,species,0
emory oak,Quercus emoryi,species,0
engelmann oak,Quercus engelmannii,species,0
southern red oak,Quercus falcata,species,0
gambel oak,Quercus gambelii,species,0
oregon white oak,Quercus garryana,species,0
ring-cup oak,Quercus glauca,species,0
chisos oak,Quercus graciliformis,species,0
graves oak,Quercus gravesii,species,0
gray oak,Quercus grisea,species,0
silverleaf oak,Quercus hypoleucoides,species,0
bear oak,Quercus ilicifolia,species,0
shingle oak,Quercus imbricaria,species,0
bluejack oak,Quercus incana,species,0
california black oak,Quercus kelloggii,species,0
lacey oak,Quercus laceyi,species,0
turkey oak,Quercus laevis,species,0
laurel oak,Quercus laurifolia,species,0
california white oak,Quercus lobata,species,0
overcup oak,Quercus lyrata,species,0
bur oak,Quercus macrocarpa,species,0
dwarf post oak,Quercus margarettiae,species,0
blackjack oak,Quercus marilandica,species,0
swamp chestnut oak,Quercus michauxii,species,0
dwarf live oak,Quercus minima,species,0
chestnut oak,Quercus montana,species,0
chinkapin oak,Quercus muehlenbergii,species,0
water oak,Quercus nigra,species,0
mexican blue oak,Quercus oblongifolia,species,0
oglethorpe oak,Quercus oglethorpensis,species,0
cherrybark oak,Quercus pagoda,species,0
pin oak,Quercus palustris,species,0
willow oak,Quercus phellos,species,0
mexican white oak,Quercus polymorpha,species,0
dwarf chinkapin oak,Quercus prinoides,species,0
english oak,Quercus robur,species,0
northern red oak,Quercus rubra,species,0
netleaf oak,Quercus rugosa,species,0
shumard oak,Quercus shumardii,species,0
delta post oak,Quercus similis,species,0
durand oak,Quercus sinuata,species,0
post oak,Quercus stellata,species,0
texas red oak,Quercus texana,species,0
black oak,Quercus velutina,species,0
live oak,Quercus virginiana,species,0
interior live oak,Quercus wislizeni,species,0
common buckthorn,Rhamnus cathartica,species,0
frangula alnus,Rhamnus frangula,species,0
american mangrove,Rhizophora mangle,species,0
dwarf azalea,Rhododendron atlanticum,species,0
florida azalea,Rhododendron austrinum,species,0
mountain azalea,Rhododendron canescens,species,0
catawba rhododendron,Rhododendron catawbiense,species,0
piedmont azalea,Rhododendron flammeum,species,0
great rhododendron,Rhododendron maximum,species,0
plumleaf azalea,Rhododendron prunifolium,species,0
jetbead,Rhodotypos scandens,species,0
winged sumac,Rhus copallinum,species,0
smooth sumac,Rhus glabra,species,0
staghorn sumac,Rhus typhina,species,0
new mexico locust,Robinia neomexicana,species,0
black locust,Robinia pseudoacacia,species,0
multiflora rose,Rosa multiflora,species,0
wineberry,Rubus phoenicolasius,species,0
mexican palmetto,Sabal mexicana,species,0
cabbage palmetto,Sabal palmetto,species,0
white willow,Salix alba,species,0
peachleaf willow,Salix amygdaloides,species,0
weeping willow,Salix babylonica,species,0
bebb willow,Salix bebbiana,species,0
bonpland willow,Salix bonplandiana,species,0
coastal plain willow,Salix caroliniana,species,0
black willow,Salix nigra,species,0
balsam willow,Salix pyrifolia,species,0
scoulers willow,Salix scouleriana,species,0
red elderberry,Sambucus racemosa,species,0
western soapberry,Sapindus saponaria,species,0
sassafras,Sassafras albidum,species,0
octopus tree,Schefflera actinophylla,species,0
false mastic,Sideroxylon foetidissimum,species,0
chittamwood,Sideroxylon lanuginosum,species,0
white bully,Sideroxylon salicifolium,species,0
paradisetree,Simarouba glauca,species,0
texas sophora,Sophora affinis,species,0
american mountain-ash,Sorbus americana,species,0
european mountain-ash,Sorbus aucuparia,species,0
northern mountain-ash,Sorbus decora,species,0
american bladdernut,Staphylea trifolia,species,0
japanese snowbell,Styrax japonicus,species,0
west indian mahogany,Swietenia mahagoni,species,0
sweetleaf,Symplocos tinctoria,species,0
japanese tree lilac,Syringa reticulata,species,0
java plum,Syzygium cumini,species,0
tamarind,Tamarindus indica,species,0
key thatch palm,Thrinax morrisii,species,0
florida thatch palm,Thrinax radiata,species,0
american basswood,Tilia americana,species,0
littleleaf linden,Tilia cordata,species,0
common lime,Tilia X europaea,species,0
california torreya,Torreya californica,species,0
florida torreya,Torreya taxifolia,species,0
chinese tallowtree,Triadica sebifera,species,0
winged elm,Ulmus alata,species,0
american elm,Ulmus americana,species,0
cedar elm,Ulmus crassifolia,species,0
siberian elm,Ulmus pumila,species,0
slippery elm,Ulmus rubra,species,0
september elm,Ulmus serotina,species,0
rock elm,Ulmus thomasii,species,0
california laurel,Umbellularia californica,species,0
highbush blueberry,Vaccinium corymbosum,species,0
deerberry,Vaccinium stamineum,species,0
tungoil tree,Vernicia fordii,species,0
viburnum,Viburnum,species,0
mapleleaf viburnum,Viburnum acerifolium,species,0
southern arrowwood,Viburnum dentatum,species,0
linden arrowwood,Viburnum dilatatum,species,0
nannyberry,Viburnum lentago,species,0
possumhaw viburnum,Viburnum nudum,species,0
european cranberrybush,Viburnum opulus,species,0
japanese snowball,Viburnum plicatum,species,0
blackhaw,Viburnum prunifolium,species,0
rusty blackhaw,Viburnum rufidulum,species,0
canyon grape,Vitis arizonica,species,0
joshua tree,Yucca brevifolia,species,0
japanese zelkova,Zelkova serrata,species,0
fir spp.,Abies spp.,genus,1
white-cedar spp. spp.,Chamaecyparis spp.,genus,1
cypress spp.,Cupressus spp. spp.,genus,1
redcedar/juniper spp. spp.,Juniperus spp. spp.,genus,1
larch spp. spp.,Larix spp. spp.,genus,1
spruce spp. spp.,Picea spp. spp.,genus,1
pine spp. spp.,Pinus spp. spp.,genus,1
douglas-fir spp. spp.,Pseudotsuga spp. spp.,genus,1
baldcypress spp. spp.,Taxodium spp. spp.,genus,1
yew spp.,Taxus spp.,genus,1
thuja spp. spp.,Thuja spp. spp.,genus,1
hemlock spp. spp.,Tsuga spp. spp.,genus,1
pacific silver fir,Abies amabilis,species,1
balsam fir,Abies balsamea,species,1
bristlecone fir,Abies bracteata,species,1
white fir,Abies concolor,species,1
fraser fir,Abies fraseri,species,1
grand fir,Abies grandis,species,1
subalpine fir,Abies lasiocarpa,species,1
california red fir,Abies magnifica,species,1
noble fir,Abies procera,species,1
shasta red fir,Abies shastensis,species,1
port-orford-cedar,Chamaecyparis lawsoniana,species,1
alaska yellow-cedar,Chamaecyparis nootkatensis,species,1
atlantic white-cedar,Chamaecyparis thyoides,species,1
arizona cypress,Cupressus arizonica,species,1
modoc cypress,Cupressus bakeri,species,1
tecate cypress,Cupressus forbesii,species,1
macnabs cypress,Cupressus macnabiana,species,1
monterey cypress,Cupressus macrocarpa,species,1
sargents cypress,Cupressus sargentii,species,1
ashe juniper,Juniperus ashei,species,1
california juniper,Juniperus californica,species,1
redberry juniper,Juniperus coahuilensis,species,1
alligator juniper,Juniperus deppeana,species,1
drooping juniper,Juniperus flaccida,species,1
oneseed juniper,Juniperus monosperma,species,1
western juniper,Juniperus occidentalis,species,1
utah juniper,Juniperus osteosperma,species,1
pinchot juniper,Juniperus pinchotii,species,1
rocky mountain juniper,Juniperus scopulorum,species,1
eastern redcedar,Juniperus virginiana,species,1
tamarack,Larix laricina,species,1
subalpine larch,Larix lyallii,species,1
western larch,Larix occidentalis,species,1
norway spruce,Picea abies,species,1
brewer spruce,Picea breweriana,species,1
engelmann spruce,Picea engelmannii,species,1
white spruce,Picea glauca,species,1
black spruce,Picea mariana,species,1
blue spruce,Picea pungens,species,1
red spruce,Picea rubens,species,1
sitka spruce,Picea sitchensis,species,1
whitebark pine,Pinus albicaulis,species,1
bristlecone pine,Pinus aristata,species,1
arizona pine,Pinus arizonica,species,1
knobcone pine,Pinus attenuata,species,1
foxtail pine,Pinus balfouriana,species,1
jack pine,Pinus banksiana,species,1
mexican pinyon pine,Pinus cembroides,species,1
sand pine,Pinus clausa,species,1
lodgepole pine,Pinus contorta,species,1
coulter pine,Pinus coulteri,species,1
border pinyon,Pinus discolor,species,1
shortleaf pine,Pinus echinata,species,1
common pinyon,Pinus edulis,species,1
slash pine,Pinus elliottii,species,1
apache pine,Pinus engelmannii,species,1
limber pine,Pinus flexilis,species,1
spruce pine,Pinus glabra,species,1
jeffrey pine,Pinus jeffreyi,species,1
sugar pine,Pinus lambertiana,species,1
chihuahua pine,Pinus leiophylla,species,1
great basin bristlecone pine,Pinus longaeva,species,1
singleleaf pinyon,Pinus monophylla,species,1
western white pine,Pinus monticola,species,1
bishop pine,Pinus muricata,species,1
austrian pine,Pinus nigra,species,1
longleaf pine,Pinus palustris,species,1
ponderosa pine,Pinus ponderosa,species,1
table mountain pine,Pinus pungens,species,1
four-leaf or parry pinyon pine,Pinus quadrifolia,species,1
monterey pine,Pinus radiata,species,1
papershell pinyon pine,Pinus remota,species,1
red pine,Pinus resinosa,species,1
pitch pine,Pinus rigida,species,1
gray or california foothill pine,Pinus sabiniana,species,1
pond pine,Pinus serotina,species,1
southwestern white pine ,Pinus strobiformis,species,1
eastern white pine,Pinus strobus,species,1
scotch pine,Pinus sylvestris,species,1
loblolly pine,Pinus taeda,species,1
torrey pine,Pinus torreyana,species,1
virginia pine,Pinus virginiana,species,1
washoe pine,Pinus washoensis,species,1
bigcone douglas-fir,Pseudotsuga macrocarpa,species,1
douglas-fir,Pseudotsuga menziesii,species,1
redwood,Sequoia sempervirens,species,1
giant sequoia,Sequoiadendron giganteum,species,1
pondcypress,Taxodium ascendens,species,1
bald cypress,Taxodium distichum,species,1
montezuma baldcypress,Taxodium mucronatum,species,1
pacific yew,Taxus brevifolia,species,1
florida yew,Taxus floridana,species,1
eastern white cedar,Thuja occidentalis,species,1
western redcedar,Thuja plicata,species,1
eastern hemlock,Tsuga canadensis,species,1
carolina hemlock,Tsuga caroliniana,species,1
western hemlock,Tsuga heterophylla,species,1
mountain hemlock,Tsuga mertensiana,species,1
