commonName,sciName,rank,isConifer
acacia spp.,Acacia spp.,genus,0
maple spp.,Acer spp.,genus,0
buckeye spp.,Aesculus spp.,genus,0
ailanthus spp.,Ailanthus spp.,genus,0
alder spp.,Alnus spp.,genus,0
madrone spp.,Arbutus spp.,genus,0
birch spp.,Betula spp.,genus,0
boxwood spp.,Buxus spp.,genus,0
sweetshrub spp.,Calycanthus spp.,genus,0
camellia spp.,Camellia spp.,genus,0
hornbeam spp.,Carpinus spp.,genus,0
hickory spp.,Carya spp.,genus,0
chestnut spp.,Castanea spp.,genus,0
sheoak spp.,Casuarina spp.,genus,0
catalpa spp.,Catalpa spp.,genus,0
hackberry spp.,Celtis spp.,genus,0
fringetree spp.,Chionanthus spp.,genus,0
citrus spp.,Citrus spp.,genus,0
cleyera spp.,Cleyera spp.,genus,0
dogwood spp.,Cornus spp.,genus,0
hazelnut spp.,Corylus spp.,genus,0
hawthorn spp.,Crataegus spp.,genus,0
bush honeysuckle spp.,Diervilla spp.,genus,0
persimmon spp.,Diospyros spp.,genus,0
eucalyptus spp. spp.,Eucalyptus spp. spp.,genus,0
beech spp.,Fagus spp.,genus,0
fig spp.,Ficus spp.,genus,0
forsythia spp.,Forsythia spp.,genus,0
ash spp.,Fraxinus spp.,genus,0
gardenia spp.,Gardenia spp.,genus,0
huckleberry spp.,Gaylussacia spp.,genus,0
locust spp.,Gleditsia spp.,genus,0
silverbell spp. spp.,Halesia spp. spp.,genus,0
hydrangea spp.,Hydrangea spp.,genus,0
walnut spp.,Juglans spp.,genus,0
privet spp.,Ligustrum spp.,genus,0
spicebush spp.,Lindera spp.,genus,0
honeysuckle spp.,Lonicera spp.,genus,0
magnolia spp.,Magnolia spp.,genus,0
apple spp.,Malus spp.,genus,0
mulberry spp.,Morus spp.,genus,0
tupelo spp.,Nyssa spp.,genus,0
tupelo spp. spp.,Nyssa spp. spp.,genus,0
hophornbeam spp.,Ostrya spp.,genus,0
bay spp. spp.,Persea spp. spp.,genus,0
sycamore spp.,Platanus spp.,genus,0
sycamore spp. spp.,Platanus spp. spp.,genus,0
NA spp.,Podocarpus spp.,genus,0
cottonwood and poplar spp. spp.,Populus spp. spp.,genus,0
mesquite spp. spp.,Prosopis spp. spp.,genus,0
cherry spp.,Prunus spp.,genus,0
cherry and plum spp. spp.,Prunus spp. spp.,genus,0
pear spp.,Pyrus spp.,genus,0
oak spp.,Quercus spp.,genus,0
buckthorn spp.,Rhamnus spp.,genus,0
"azalea, rhododendron spp.",Rhododendron spp.,genus,0
sumac spp.,Rhus spp.,genus,0
rose spp.,Rosa spp.,genus,0
royal palm spp. spp.,Roystonea spp. spp.,genus,0
brambles spp.,Rubus spp.,genus,0
willow spp.,Salix spp.,genus,0
elderberry spp.,Sambucus spp.,genus,0
sassafras spp.,Sassafras spp.,genus,0
mountain-ash spp. spp.,Sorbus spp. spp.,genus,0
stewartia spp.,Stewartia spp.,genus,0
lilac spp.,Syringa spp.,genus,0
saltcedar spp.,Tamarix spp. spp.,genus,0
basswood spp. spp.,Tilia spp. spp.,genus,0
torreya spp. spp.,Torreya spp. spp.,genus,0
elm spp.,Ulmus spp.,genus,0
blueberry spp.,Vaccinium spp.,genus,0
viburnum spp.,Viburnum spp.,genus,0
wisteria spp.,Wisteria spp.,genus,0
sweet acacia,Acacia farnesiana,species,0
catclaw acacia,Acacia greggii,species,0
trident maple,Acer buergerianum,species,0
hedge maple,Acer campestre,species,0
horned maple,Acer diabolicum,species,0
florida maple,Acer floridanum,species,0
amur maple,Acer ginnala,species,0
rocky mountain maple,Acer glabrum,species,0
bigtooth maple,Acer grandidentatum,species,0
chalk maple,Acer leucoderme,species,0
bigleaf maple,Acer macrophyllum,species,0
boxelder,Acer negundo,species,0
black maple,Acer nigrum,species,0
japanese maple,Acer palmatum,species,0
striped maple,Acer pensylvanicum,species,0
norway maple,Acer platanoides,species,0
red maple,Acer rubrum,species,0
silver maple,Acer saccharinum,species,0
sugar maple,Acer saccharum,species,0
mountain maple,Acer spicatum,species,0
freeman maple,Acer X freemanii,species,0
everglades palm,Acoelorraphe wrightii,species,0
california buckeye,Aesculus californica,species,0
yellow buckeye,Aesculus flava,species,0
ohio buckeye,Aesculus glabra,species,0
horse chestnut,Aesculus hippocastanum,species,0
bottlebrush buckeye,Aesculus parviflora,species,0
red buckeye,Aesculus pavia,species,0
painted buckeye,Aesculus sylvatica,species,0
yellow buckeye,Aesculus flava,species,0
tree of heaven,Ailanthus altissima,species,0
mimosa,Albizia julibrissin,species,0
european alder,Alnus glutinosa,species,0
arizona alder,Alnus oblongifolia,species,0
white alder,Alnus rhombifolia,species,0
red alder,Alnus rubra,species,0
hazel alder,Alnus serrulata,species,0
grey alder,Alnus incana,species,0
serviceberry,Amelanchier,species,0
common serviceberry,Amelanchier arborea,species,0
allegheny serviceberry,Amelanchier laevis,species,0
roundleaf serviceberry,Amelanchier sanguinea,species,0
sea torchwood,Amyris elemifera,species,0
pond-apple  ,Annona glabra,species,0
arizona madrone,Arbutus arizonica,species,0
pacific madrone,Arbutus menziesii,species,0
texas madrone,Arbutus xalapensis,species,0
dwarf pawpaw,Asimina pygmea,species,0
pawpaw,Asimina triloba,species,0
black-mangrove,Avicennia germinans,species,0
eastern baccharis,Baccharis halimifolia,species,0
yellow birch,Betula alleghaniensis,species,0
sweet birch,Betula lenta,species,0
white birch,Betula minor,species,0
river birch,Betula nigra,species,0
water birch,Betula occidentalis,species,0
paper birch,Betula papyrifera,species,0
gray birch,Betula populifolia,species,0
virginia roundleaf birch,Betula uber,species,0
northwestern paper birch,Betula x utahensis,species,0
gumbo limbo  ,Bursera simaruba,species,0
american beautyberry,Callicarpa americana,species,0
incense-cedar,Calocedrus decurrens,species,0
eastern sweetshrub,Calycanthus floridus,species,0
american hornbeam,Carpinus caroliniana,species,0
mockernut hickory,Carya alba,species,0
water hickory,Carya aquatica,species,0
southern shagbark hickory,Carya carolinae-septentrionalis,species,0
bitternut hickory,Carya cordiformis,species,0
scrub hickory,Carya floridana,species,0
pignut hickory,Carya glabra,species,0
pecan,Carya illinoinensis,species,0
shellbark hickory,Carya laciniosa,species,0
nutmeg hickory,Carya myristiciformis,species,0
red hickory,Carya ovalis,species,0
shagbark hickory,Carya ovata,species,0
sand hickory,Carya pallida,species,0
black hickory,Carya texana,species,0
mockernut hickory,Carya tomentosa,species,0
american chestnut,Castanea dentata,species,0
chinese chestnut,Castanea mollissima,species,0
chinquapin,Castanea pumila,species,0
gray sheoak,Casuarina glauca,species,0
belah,Casuarina lepidophloia,species,0
southern catalpa,Catalpa bignonioides,species,0
northern catalpa,Catalpa speciosa,species,0
oriental bittersweet,Celastrus orbiculatus,species,0
sugarberry,Celtis laevigata,species,0
western hackberry,Celtis occidentalis,species,0
common buttonbush,Cephalanthus occidentalis,species,0
eastern redbud,Cercis canadensis,species,0
curlleaf mountain-mahogany,Cercocarpus ledifolius,species,0
chinese quince,Chaenomeles sinensis,species,0
fragrant wintersweet,Chimonanthus praecox,species,0
giant chinkapin,Chrysolepis chrysophylla,species,0
camphortree,Cinnamomum camphora,species,0
florida fiddlewood,Citharexylum fruticosum,species,0
kentucky yellowwood,Cladrastis kentukea,species,0
tietongue,Coccoloba diversifolia,species,0
florida silver palm,Coccothrinax argentata,species,0
coconut palm  ,Cocos nucifera,species,0
soldierwood,Colubrina elliptica,species,0
