,AccSpeciesName,cleanedPlantName
308,8,NA
309,9,NA
130,Acer x freemanii,Acer x freemanii
50,Aesculus hippocastanum,Aesculus hippocastanum
44,Aesculus parviflora,Aesculus parviflora
397,Ailanthus,Ailanthus
169,Alder spp.,Alder
464,Alnus crispa,Alnus crispa
92,Alternate-leaf dogwood,Alternate-leaf dogwood
495,Amelanchier,Amelanchier
415,Amelanchier alnifolia,Amelanchier alnifolia
403,Amelanchier laevis,Amelanchier laevis
105,American basswood,American basswood
425,American beautyberry,American beautyberry
1,American beech,American beech
156,American bladdernut,American bladdernut
103,American chestnut,American chestnut
61,American elm,American elm
157,American hazelnut,American hazelnut
83,American holly,American holly
4,American hornbeam,American hornbeam
170,American mountain-ash,American mountain-ash
386,American plum,American plum
447,American sweetgum,American sweetgum
85,American sycamore,American sycamore
303,American witch-hazel,witch-hazel
134,American yellowwood,Kentucky yellowwood
276,Amur honeysuckle,Amur honeysuckle
188,Amur maple,Amur maple
100,Apple spp.,Apple
487,Arizona white oak,Arizona white oak
174,Arrowwood,Viburnum
287,Arrowwood viburnum,Viburnum
144,Ash spp.,Ash
379,Asimina spp.,Asimina
177,Atlantic white-cedar,Atlantic white-cedar
58,Autumn olive,Autumn olive
223,Azalea,Azalea
240,Azalea spp.,Azalea
482,"Azalea, rhododendron spp.","Azalea, rhododendron"
168,Baccharis halimifolia,Baccharis halimifolia
335,Bald cypress,Bald cypress
99,Balsam poplar,Balsam poplar
313,Basswood,Basswood
123,Basswood spp.,Basswood
88,Beaked hazel,Beaked hazel
250,Beech,Beech
199,Beech spp.,Beech
193,Big-leaf dogwood,Cornus macrophylla
446,Bigleaf snowbell,Bigleaf snowbell
398,Bigtooth aspen,Bigtooth aspen
2,Birch spp.,Birch
159,Bitternut hickory,Bitternut hickory
101,Black ash,Black ash
310,Black birch,Black birch
27,Black cherry,Black cherry
175,Black gum,Black gum
456,Black haw,Black haw
275,Black locust,Black locust
133,Black maple,Black maple
265,Black mulberry,Black mulberry
148,Black oak,Black oak
106,Black walnut,Black walnut
411,Black willow,Black willow
5,Blackgum,Blackgum
59,Blackhaw,Blackhaw
339,Blackjack oak,Blackjack oak
12,Blue beech,Blue beech
348,Blue spruce,Blue spruce
289,Blueberry spp.,Blueberry
79,Blueberry vaccinium sp.,Vaccinium
329,Bottlebrush buckeye,Bottlebrush buckeye
271,Box elder (acer negundo),Acer negundo
8,Boxelder,Boxelder
290,Boxelder maple,Acer negundo
266,Brambles,Brambles
299,Broadleaf hawthorn,Broadleaf hawthorn
312,Buckeye,Buckeye
184,Buckeye spp.,Buckeye
23,Buckthorn,Buckthorn
498,Buckthorn spp.,Buckthorn
282,Buffalo nut,Buffalo nut
119,Bur oak,Bur oak
350,Burr oak,Bur oak
269,Bush honeysuckle (caprifoliaceae family),Bush honeysuckle
439,Buttonwood-mangrove,Buttonwood-mangrove
417,Buxus sempervirens,Buxus sempervirens
359,Buxus spp.,Buxus
296,California live oak,California live oak
293,California-laurel,California laurel
315,Callery pear,Callery pear
222,Callicarpa americana,Callicarpa americana
286,Calycanthus sp.,Calycanthus
229,Camellia spp.,Camellia
452,Camptotheca spp.,Camptotheca
336,Canyon grape,Canyon grape
154,Carolina ash,Carolina ash
426,Carolina cherry laurel,Carolina cherry laurel
110,Carolina hemlock,Carolina hemlock
412,Carolina laurel cherry,Carolina laurel cherry
445,Carolina laurelcherry,Carolina laurelcherry
160,Carolina silverbell,Carolina silverbell
371,Carpinus spp.,Carpinus
232,Catalpa spp.,Catalpa
204,Catawba rhododendron,Catawba rhododendron
407,Catberry,Catberry
149,Chalk maple,Chalk maple
284,Cherry,Cherry
31,Cherry and plum spp.,Cherry and plum
333,Cherry laurel,Cherry laurel
414,Cherry spp.,Cherry
248,Cherrybark oak,Cherrybark oak
82,Chestnut oak,Chestnut oak
324,Chinese chestnut,Chinese chestnut
233,Chinese evergreen oak,Chinese evergreen oak
430,Chinese holly,Chinese holly
433,Chinese privet,Chinese privet
195,Chinese quince,Chinese quince
220,Chinese tallowtree,Chinese tallowtree
9,Chokecherry,Chokecherry
228,Clerya spp.,Clerya
239,Coastal azalea,Coastal azalea
459,Cockspur hawthorn,Cockspur hawthorn
15,Common buckthorn,Common buckthorn
298,Common buttonbush,Common buttonbush
436,Common gardenia,Common gardenia
272,Common ninebark,Common ninebark
84,Common persimmon,Common persimmon
320,Common privet,Common privet
80,Common serviceberry,Common serviceberry
246,Common spicebush,Common spicebush
190,Cornelian-cherry dogwood,Cornelian-cherry dogwood
128,Cornus mas,Cornus mas
36,Cornus stolonifera,Cornus stolonifera
497,Cottonwood and poplar spp.,Cottonwood and poplar
318,Crab apple sp,Malus
70,Crepe myrtle,Crapemyrtle
469,Crepe myrtle spp.,Crepe myrtle
158,Cucumber magnolia,Cucumber magnolia
479,Cypress spp.,Cypress
341,Cyrilla racemiflora,Cyrilla racemiflora
14,Dogwood spp.,Dogwood
152,Dwarf pawpaw,Dwarf pawpaw
481,Eastern cottonwood,Eastern cottonwood
205,Eastern hemlock,Eastern hemlock
113,Eastern hophornbeam,Eastern hophornbeam
68,Eastern redbud,Eastern redbud
384,Eastern sweet shrub,Eastern sweetshrub
206,Eastern white pine,Eastern white pine
378,Edgeworthia chrysantha,Edgeworthia chrysantha
208,Elderberry,Elderberry
480,Elderberry spp.,Elderberry
356,Elm,Elm
55,Elm spp.,Elm
454,Eriobotrya japonica,Eriobotrya japonica
388,Euonymus alatus,Euonymus alatus
418,Euonymus japonicus,Euonymus japonicus
325,European beech,European beech
492,European horse chestnut,European horse chestnut
196,European spindletree,European spindletree
145,Fagus sylvatica,Fagus sylvatica
314,Fanleaf hawthorn,Fanleaf hawthorn
372,Feijoa sellowiana,Feijoa sellowiana
370,Ficus spp.,Ficus
331,Fig,Fig
434,Fishpole bamboo,Fishpole bamboo
243,Florida azalea,Florida azalea
292,Florida forestiera,Florida forestiera
73,Florida maple,Florida maple
46,Flowering dogwood,Flowering dogwood
171,Forsythia,Forsythia
396,Forsythia spp.,Forsythia
194,Fragrant wintersweet,Fragrant wintersweet
277,Frangula alnus,Frangula alnus
468,Franklin tree,Franklin tree
311,Fraser magnolia,Fraser's magnolia
477,Fremont cottonwood,Fremont cottonwood
153,Fringetree,Fringetree
394,Gardenia spp.,Gardenia
165,Gaylussacia baccata,Gaylussacia baccata
48,Ginkgo,Ginkgo
226,Golden rain tree,Golden rain tree
362,Gray birch,Gray birch
280,Great rhododendron,Great rhododendron
416,Green alder,Green alder
102,Green ash,Green ash
323,Grey dogwood,Grey dogwood
432,Groundsel tree,Groundsel tree
427,Gum bumelia,Gum bumelia
143,Hackberry,Hackberry
25,Hackberry spp.,Hackberry
47,Halesia tetraptera,Halesia tetraptera
40,Hamamelis virginiana,Hamamelis virginiana
305,Hawthorn sp.,Hawthorn
91,Hawthorn spp.,Hawthorn
142,Hazel alder,Hazel alder
115,Hazelnut,Hazelnut
406,Heartleaf birch,Heartleaf birch
431,Heavenly bamboo,Heavenly bamboo
212,Hedge maple,Hedge maple
502,Hibiscus coccineus albus,Hibiscus coccineus albus
504,Hibiscus moscheutos,Hibiscus moscheutos
29,Hickory spp.,Hickory
126,Highbush blueberry,Highbush blueberry
460,Honey locust,Honey locust
19,Honey suckle,Honeysuckle
86,Honeylocust,Honeylocust
111,Honeysuckle,Honeysuckle
344,Honeysuckle spp.,Honeysuckle
11,Hop hornbeam,Hophornbeam
116,Hop-hornbeam,Hophornbeam
237,Hornbeam,Hornbeam
217,Horned maple,Horned maple
486,Horse chestnut,Horse chestnut
114,Huckleberry,Huckleberry
279,Hydrangea,Hydrangea
132,Hydrangea quercifolia,Hydrangea quercifolia
20,Hydrangeas,Hydrangea
501,Ilex ambigua,Ilex ambigua
340,Ilex glabra,Ilex glabra
122,Ilex verticillata,Ilex verticillata
219,Ilex vomitoria,Ilex vomitoria
375,Illicium spp.,Illicium
72,Ironwood,Ironwood
363,Itea virginica,Itea virginica
186,Japanese apricot,Japanese apricot
463,Japanese cherry,Japanese cherry
261,Japanese knotweed,Japanese knotweed
18,Japanese maple,Japanese maple
183,Japanese privet,Japanese privet
189,Japanese snowbell,Japanese snowbell
435,Japanese spindle tree,Japanese spindle tree
202,Japanese zelkova,Japanese zelkova
264,Jetbead,Jetbead
210,Kalmia latifolia,Kalmia latifolia
129,Kalopanax septemlobus,Kalopanax septemlobus
391,Kentucky yellowwood,Kentucky yellowwood
400,Koelreuteria paniculata,Koelreuteria paniculata
326,Kousa dogwood,Kousa dogwood
321,Kwanzan cherry,Kwanzan cherry
234,Laurel oak,Laurel oak
428,Leatherleaf mahonia,Leatherleaf mahonia
343,Leucothoe axillaris,Leucothoe axillaris
26,Lilac,Lilac
385,Lilac spp.,Lilac
255,Lindera benzoin,Lindera benzoin
366,Littleleaf linden,Littleleaf linden
32,Live oak,Live oak
476,Loblolly pine,Loblolly pine
211,Loebner magnolia,Loebner magnolia
423,Lombardy poplar,Lombardy poplar
297,Lonicera hispidula var. vacillans,Lonicera hispidula var. vacillans
467,Lonicera involucrata,Lonicera involucrata
67,Lonicera japonica,Lonicera japonica
404,Maackia amurensis,Maackia amurensis
376,Magnolia figo,Magnolia figo
66,Magnolia spp.,Magnolia
49,Malus sargentii,Malus sargentii
125,Malus siberica,Malus siberica
490,Maple,Maple
81,Maple leaf viburnum,Maple leaf viburnum
54,Maple spp.,Maple
288,Mapleleaf viburnum,Mapleleaf viburnum
231,Merrill magnolia,Merrill magnolia
161,Mockernut hickory,Mockernut hickory
405,Monterey pine,Monterey pine
167,Morella caroliniensis,Morella caroliniensis
221,Morella cerifera,Morella cerifera
409,Mountain ash,Mountain ash
283,Mountain holly,Mountain holly
203,Mountain laurel,Mountain laurel
444,Mountain maple,Mountain maple
281,Mountain or fraser magnolia,Fraser's magnolia
306,Mountain winterberry,Mountain winterberry
257,Mulberry spp.,Mulberry
267,Multiflora rose,Multiflora rose
121,Myrica cerifera,Myrica cerifera
491,Myrobalan plum,Myrobalan plum
7,N/A,NA
471,Na,Na
395,Nandina domestica,Nandina domestica
419,Nerium oleander,Nerium oleander
328,Northern catalpa,Northern catalpa
71,Northern red oak,Northern red oak
262,Northern spicebush,Northern spicebush
345,Northern white-cedar,Northern white-cedar
33,Norway maple,Norway maple
488,Norway spruce,Norway spruce
421,Nothoscordum gracile (onionweed),Nothoscordum gracile (onionweed)
214,Nutmeg hickory,Nutmeg hickory
57,Oak spp.,Oak
360,Oakleaf hydrangea,Oakleaf hydrangea
270,Ohio buckeye,Ohio buckeye
373,Olea spp.,Olea
260,Olive quihoui??,Olive quihoui??
349,Oregon crab apple,Oregon crab apple
263,Oriental bittersweet,Oriental bittersweet
216,Osage orange,Osage orange
374,Osmanthus fragrans,Osmanthus fragrans
176,Overcup oak,Overcup oak
273,Ozark witch hazel,Ozark witch hazel
295,Pacific madrone,Pacific madrone
3,Paper birch,Paper birch
141,Pawpaw,Pawpaw
387,Peach,Peach
69,Pear,Pear
369,Pear spp.,Pear
249,Pear tree,Pear
393,Pecan,Pecan
215,Persian ironwood,Persian ironwood
317,Persimmon spp.,Persimmon
242,Piedmont azalea,Piedmont azalea
78,Pignut hickory,Pignut hickory
16,Pin cherry,Pin cherry
151,Pin oak,Pin oak
474,Pitch pine,Pitch pine
241,Plumleaf azalea,Plumleaf azalea
291,Podocarpus,Podocarpus
213,Possumhaw,Possumhaw
410,Possumhaw viburnum,Possumhaw viburnum
483,Post oak,Post oak
347,Prairie crab apple,Prairie crab apple
178,Privet,Privet
268,Privet spp.,Privet
462,Prunus laurocerasus,Prunus laurocerasus
166,Prunus maritima,Prunus maritima
470,Prunus salicina,Prunus salicina
494,Prunus sargentii,Prunus sargentii
493,Prunus serulata (japanese cherry blossom),Prunus serulata (japanese cherry blossom)
449,Prunus spp. (apricot),Prunus spp. (apricot)
450,Prunus spp. (cherry),Prunus spp. (cherry)
458,Prunus spp.(plum),Prunus spp.(plum)
500,Prunus umbellata,Prunus umbellata
451,Punica spp.,Punica
457,Pussy willow,Pussy willow
98,Quaking aspen,Quaking aspen
499,Quercus hemispherica,Quercus hemispherica
251,Quercus montana,Quercus montana
503,Quercus nuttallii,Quercus nuttallii
399,Quercus robur,Quercus robur
259,Quihoui???,Quihoui???
408,Raisin,Raisin
342,Red bay,Redbay
192,Red buckeye,Red buckeye
390,Red elderberry,Red elderberry
56,Red maple,Red maple
236,Red mulberry,Red mulberry
140,Red oak,Red oak
96,Red osier dogwood,Redosier dogwood
139,Red osier dogwood (cornus sericea),Redosier dogwood
117,Red-osier dogwood,Redosier dogwood
218,Redbay,Redbay
93,Redosier dogwood,Redosier dogwood
438,Reeves spiraea,Reeves spiraea
107,Rhamnus cathartica,Rhamnus cathartica
21,Rhododendron,Rhododendron
245,Rhododendron austrinum,Rhododendron austrinum
244,Rhododendron canescens,Rhododendron canescens
45,Rhododendron sp,Rhododendron
209,Rhododendron spp.,Rhododendron
367,Rhus copallinum,Rhus copallinum
39,Rhus glabra,Rhus glabra
304,Rhus typhina,Rhus typhina
224,River birch,River birch
465,Rosa acicularis,Rosa acicularis
478,Rosa spp.,Rosa
358,Rose,Rose
230,Rose of sharon,Rose of sharon
357,Roughleaf dogwood,Roughleaf dogwood
466,Rubus idaeus,Rubus idaeus
225,Russian-olive,Russian-olive
127,Sassafras,Sassafras
475,Sassafras spp.,Sassafras
43,Scarlet oak,Scarlet oak
163,Scrub oak,Scrub oak
307,Serviceberry,Serviceberry
24,Serviceberry spp.,Serviceberry
382,Shagbark hickory,Shagbark hickory
361,Shellbark hickory,Shellbark hickory
365,Shingle oak,Shingle oak
489,Shining willow,Shining willow
484,Shortleaf pine,Shortleaf pine
352,Shumard oak,Shumard oak
179,Siberian elm,Siberian elm
353,Silky dogwood,Silky dogwood
354,Silver maple,Silver maple
443,Silver poplar,Silver poplar
455,Silverbell spp.,Silverbell
108,Simplocos tinctoria,Symplocos tinctoria
150,Slippery elm,Slippery elm
104,Sour cherry,Sour cherry
53,Sourwood,Sourwood
368,Southern bayberry,Southern bayberry
173,Southern catalpa,Southern catalpa
332,Southern crab apple,Southern crab apple
383,Southern crabapple,Southern crabapple
146,Southern magnolia,Southern magnolia
181,Southern red oak,Southern red oak
182,Southern sugar maple,Southern sugar maple
89,Speckled alder,Speckled alder
330,Speckled japanese aralla,Speckled japanese aralla
62,Spicebush,Spicebush
346,Spruce pine,Spruce pine
496,Staghorn sumac,Staghorn sumac
138,Stewartia rostrata,Stewartia rostrata
187,Stiff dogwood,Stiff dogwood
440,Strawberry bush,Strawberry bush
429,Stretchberry,Stretchberry
41,Striped maple,Striped maple
10,Sugar maple,Sugar maple
380,Sugarberry,Sugarberry
256,Sumac spp.,Sumac
254,Sumac?,Sumac?
77,Swamp chestnut oak,Swamp chestnut oak
172,Swamp white oak,Swamp white oak
197,Sweet birch,Sweet birch
381,Sweet cherry,Sweet cherry
300,Sweet crab apple,Sweet crab apple
252,Sweet gum,Sweetgum
337,Sweetbay,Sweetbay
448,Sweetbay magnolia,Sweetbay magnolia
51,Sweetgum,Sweetgum
285,Sycamore spp.,Sycamore
147,Symplocos tinctoria,Symplocos tinctoria
247,Symplocos tinctotria,Symplocos tinctoria
402,Syringa reticulata,Syringa reticulata
485,Syringa vulgaris,Syringa vulgaris
94,Tamarack,Tamarack
294,Tanoak,Tanoak
112,Tatarian honeysuckle,Tatarian honeysuckle
422,Texas sophora,Texas sophora
135,Tilia cordata,Tilia cordata
472,Tilia tomentosa,Tilia tomentosa
136,Tilia x europaea,Tilia x europaea
437,Tree privet,Tree privet
13,Trembling aspen,Quaking aspen
200,Trident maple,Trident maple
235,Tulip poplar,Tulip poplar
155,Tuliptree,Tuliptree
377,Tungoil tree,Tungoil tree
338,Turkey oak,Turkey oak
473,Ulmus carpinifolia,Ulmus carpinifolia
131,Ulmus sp.,Ulmus
74,Umbrella magnolia,Umbrella magnolia
180,Unknown,NA
28,Vaccineum stamineum,Vaccineum stamineum
120,Vaccinium caesariense,Vaccinium caesariense
162,Vaccinium corymbosum,Vaccinium corymbosum
38,Vaccinium spp,Vaccinium
253,Vaccinum corymbosum,Vaccinium corymbosum
37,Vibirnum dentatum,Vibirnum dentatum
355,Viburnum,Viburnum
453,Viburnum awabuki,Viburnum awabuki
42,Viburnum cassinoide,Viburnum cassinoide
164,Viburnum dentatum,Viburnum dentatum
137,Viburnum dilatatum,Viburnum dilatatum
124,Viburnum lentago,Viburnum lentago
35,Viburnum nudum,Viburnum nudum
238,Viburnum plicatum,Viburnum plicatum
442,Viburnum rhytidophyllum,Viburnum rhytidophyllum
75,Viburnum rufidulum,Viburnum rufidulum
316,Viburnum sp,Viburnum
301,Viburnum spp.,Viburnum
420,Viburnum tinus,Viburnum tinus
34,Viburnum trilobum,Viburnum trilobum
389,Virburnum,Viburnum
207,Virginia pine,Virginia pine
319,Virginia sweetspire,Virginia sweetspire
351,Wafer ash,Wafer ash
109,Walnut spp.,Walnut
227,Washington hawthorn,Washington hawthorn
201,Water oak,Water oak
392,Water tupelo,Water tupelo
274,Wax myrtle,Wax myrtle
22,Weeping cherry,Weeping cherry
191,Weeping knoss dogwood,Weeping knoss dogwood
322,Weeping willow,Weeping willow
87,White ash,White ash
97,White birch,White birch
118,White cedar,White cedar
90,White elm,White elm
52,White fir,White fir
6,White mulberry,White mulberry
30,White oak,White oak
413,White spruce,White spruce
63,White-cedar spp.,White-cedar
327,Wild cherry,Prunus
76,Willow oak,Willow oak
95,Willow spp.,Willow
258,Wineberry,Wineberry
64,Winged elm,Winged elm
441,Winged eonymous,Winged eonymous
461,Winged euonymus,Winged euonymus
302,Winterberry,Winterberry
278,Wisteria,Wisteria
185,Witch hazel,Witch hazel
364,Yaupon,Yaupon
198,Yeddo euonymous,Yeddo euonymous
17,Yellow birch,Yellow birch
60,Yellow buckeye,Yellow buckeye
65,Yellow-poplar,Yellow-poplar
334,Yew spp.,Yew
424,Yucca rostrata,Yucca rostrata
401,Zelkova serrata,Zelkova serrata
