AccSpeciesName,maxLength,meanLength,minLength,
Acer buergerianum,50,50,50,cm
Acer palmatum,9.0094,5.31108,2.992,cm
Acer rubrum,15.55,7.893846154,2.03,cm
Acer tataricum subsp. ginnala,70,70,70,cm
Aesculus pavia,17,15.13333333,13.5,cm
Betula nigra,8.6587,5.69067,0.5922,cm
Betula papyrifera,9.1,7.5,6.2,cm
Callicarpa americana,16.24,10.27833333,4.77,cm
Carpinus caroliniana,8.43,6.607777778,5.23,cm
Carya glabra,36,27,19,cm
Celastrus orbiculatus,60,60,60,cm
Cercis canadensis,16.4139,8.492205882,0.9066,cm
Cornus florida,16.35,9.155920588,1.57,cm
Cornus foemina,11.54,9.849166667,8.3,cm
Fagus grandifolia,16.24,9.735433333,3.849,cm
Fraxinus americana,26.7,22.41666667,19.3,cm
Fraxinus caroliniana,25.5,21.23333333,17.5,cm
Hibiscus syriacus,11.1444,6.74502,0.5605,cm
Ilex cornuta,40,40,40,cm
Ilex opaca,9.11,4.843673214,1.392,cm
Ilex vomitoria,6.08,4.228333333,2.18,cm
Kalmia latifolia,7.1617,4.8896,2.1858,cm
Kalopanax septemlobus,300,300,300,cm
Lagerstroemia indica,9.2192,5.529585,0.8942,cm
Ligustrum sinense,60,5.844057143,0.3311,cm
Liquidambar styraciflua,12.23,9.5,7.84,cm
Liriodendron tulipifera,13.898,6.982,2.076,cm
Magnolia grandiflora,25.0835,16.53405806,1.5318,cm
Magnolia virginiana,27.958,16.34428,8.78,cm
Mahonia bealei,51.9357,27.909585,1.834,cm
Morus rubra,17.85,14.147,10.5,cm
Nyssa sylvatica,8.0093,5.41946,1.1584,cm
Ostrya virginiana,11.06,9.71,7.42,cm
Picea glauca,21.49,16.915,1.9,cm
Pinus strobus,8.4,7.833333333,7.1,cm
Pinus taeda,24.5372,9.588575,0.4786,cm
Pinus virginiana,8.0045,5.455335,2.8533,cm
Populus fremontii,10.021,5.648266667,1.848,cm
Populus tremuloides,5.8,5.25,4.7,cm
Prunus caroliniana,8.55,7.11,5.88,cm
Prunus serotina,10.6,8.32,6.72,cm
Prunus umbellata,5.72,5.001666667,4.01,cm
Quercus falcata,20.32,11.74829615,3.4961,cm
Quercus laurifolia,10.56,8.727,6.37,cm
Quercus michauxii,18.16,14.16,12.28,cm
Quercus nigra,12.97,8.56865,3.5737,cm
Quercus rubra,15.3,14.35,13.2,cm
Quercus stellata,17.976,11.12503333,5.34,cm
Quercus virginiana,9.77,7.292,6.33,cm
Rhododendron,40,40,40,cm
Styrax japonicus,50,50,50,cm
Tilia americana,22.4589,11.76948571,1.9682,cm
Ulmus alata,7.6,6.53,5.64,cm
Ulmus pumila,40,40,40,cm
Vaccinium corymbosum,3.71,2.535,1.91,cm
Viburnum dilatatum,50,50,50,cm
Zelkova serrata,60,8.962857143,0.797,cm
