AccSpeciesName,maxLength,meanLength,minLength,
Acer buergerianum,10,8,6,cm
Acer campestre,7,5.5,4,cm
Acer palmatum,10,8,5,cm
Acer pensylvanicum,15,13.85,12.7,cm
Acer platanoides,15,10,5,cm
Acer rubrum,10,7.5,5,cm
Acer saccharum subsp. leucoderme,20,15,10,cm
Acer tataricum subsp. ginnala,10,7,4,cm
Baccharis halimifolia,8,5,2,cm
Betula alleghaniensis,10,8,6,cm
Betula lenta,10,7.5,5,cm
Betula nigra,8,6,4,cm
Betula papyrifera,12,8.666666667,5,cm
Carpinus caroliniana,12,7.5,3,cm
Carya cordiformis,40,30,20,cm
Carya glabra,60,40,20,cm
Carya myristiciformis,60,45,30,cm
Castanea dentata,30,19.5,9,cm
Catalpa bignonioides,21,17.5,14,cm
Celastrus orbiculatus,10,7.5,5,cm
Celtis occidentalis,12,8.5,5,cm
Cercis canadensis,20,15,10,cm
Chamaecyparis thyoides,0.3,0.216666667,0.15,cm
Chimonanthus praecox,20,11.25,2,cm
Cladrastis kentukea,40,40,40,cm
Cornus alternifolia,12,9,6,cm
Cornus florida,20,15,10,cm
Cornus macrophylla,18,14.33333333,9,cm
Cornus mas,10,7,4,cm
Cornus sericea,14,11.33333333,8,cm
Corylus americana,16,10.5,5,cm
Corylus cornuta,10,7,4,cm
Crataegus phaenopyrum,10,7.5,5,cm
Elaeagnus angustifolia,10,5.75,2.5,cm
Elaeagnus umbellata,9,5.5,2,cm
Euonymus europaeus,10,10,10,cm
Fagus grandifolia,12,9,6,cm
Fagus sylvatica,9,6.5,4,cm
Fraxinus americana,38,29,20,cm
Fraxinus nigra,40,32.5,25,cm
Fraxinus pennsylvanica,40,29,18,cm
Hibiscus syriacus,10,5.75,3,cm
Ilex cornuta,9,6.25,4,cm
Juglans nigra,60,40,20,cm
Koelreuteria paniculata,50,50,50,cm
Lagerstroemia indica,10,6.5,2.5,cm
Larix laricina,3.3,2.1,1,cm
Ligustrum japonicum,10,7,4,cm
Ligustrum sinense,13,7.333333333,2,cm
Lindera benzoin,15,8.333333333,4,cm
Liquidambar styraciflua,25,17,7,cm
Liriodendron tulipifera,23.5,11.91666667,6.5,cm
Lonicera japonica,8,5.75,3,cm
Lonicera tatarica,8,5.25,2.5,cm
Maclura pomifera,12,8.25,4,cm
Magnolia acuminata,40,20,5,cm
Magnolia grandiflora,26,16.08333333,7.5,cm
Magnolia tripetala,60,45,30,cm
Magnolia virginiana,12,9,6,cm
Malus baccata,8,5.5,3,cm
Morella cerifera,13.3,7.38,1.1,cm
Morus alba,30,12.33333333,5,cm
Morus rubra,36,21.33333333,10,cm
Nyssa sylvatica,13,9,5,cm
Ostrya virginiana,13,9,5,cm
Parrotia persica,10,8,6,cm
Picea glauca,2.5,1.7,0.8,cm
Pinus strobus,14,9.75,5,cm
Pinus taeda,25,16.66666667,10,cm
Pinus virginiana,8,5.5,2,cm
Platanus occidentalis,30,17.4,8,cm
Populus balsamifera,16,11,5,cm
Populus tremuloides,7,5,3,cm
Prunus mume,10,6.125,3.5,cm
Prunus pensylvanica,10,7,3,cm
Prunus serotina,12,8.5,5,cm
Prunus subhirtella,8,5,3,cm
Quercus bicolor,21.5,14.85,7.9,cm
Quercus coccinea,16,8.5,1,cm
Quercus falcata,30,19.25,7,cm
Quercus laurifolia,12,7.5,3,cm
Quercus lyrata,20,15.33333333,10,cm
Quercus michauxii,28,14.66666667,6,cm
Quercus nigra,16,10.33333333,3,cm
Quercus pagoda,30,19.5,9,cm
Quercus palustris,20,13.75,10,cm
Quercus phellos,12,8.5,5,cm
Quercus rubra,20,16,12,cm
Quercus stellata,20,13,4,cm
Quercus velutina,30,16,8,cm
Quercus virginiana,15,7.125,1,cm
Rhamnus cathartica,7,5,3,cm
Rhodotypos scandens,11,7,4,cm
Styrax japonicus,10,7,4,cm
Tilia americana,15.2,13.95,12.7,cm
Tilia cordata,9,6,3,cm
Tilia x europaea,10,8,6,cm
Tsuga canadensis,2.5,1.625,0.5,cm
Tsuga caroliniana,2.5,1.75,1,cm
Ulmus alata,6.9,4.95,3,cm
Ulmus americana,15,10,4,cm
Ulmus pumila,9,5.1,2,cm
Vaccinium corymbosum,8,5,3,cm
Viburnum dilatatum,12,7.75,3,cm
Viburnum plicatum,10,7,4,cm
Zelkova serrata,12,6.25,2,cm
