AccSpeciesName,maxLength,meanLength,minLength,
Acca sellowiana,6.09,6.09,6.09,cm
Acer negundo,10,7.5,5,cm
Acer spicatum,12,9,6,cm
Alnus alnobetula,6,4.5,3,cm
Amelanchier alnifolia,5,3.5,2,cm
Amelanchier laevis,10,7.5,5,cm
Arbutus menziesii,15.2,11.4,7.6,cm
Baccharis halimifolia,8,5,2,cm
Betula lenta,10,7.5,5,cm
Betula populifolia,10,6.5,3,cm
Buxus sempervirens,3,2.25,1.5,cm
Carya illinoinensis,20,15,10,cm
Carya ovata,60,45,30,cm
Castanea mollissima,18,13.5,9,cm
Castanea pumila,21,12.5,4,cm
Cephalanthus occidentalis,15,10.5,6,cm
Cornus kousa,20,11.25,6,cm
Cornus racemosa,10,7,4,cm
Eriobotrya japonica,30,25,20,cm
Euonymus alatus,10,6.125,2,cm
Euonymus japonicus,12,6.285714286,2,cm
Fagus sylvatica,9,6.5,4,cm
Ficus,11.9493,11.5011,10.6385,cm
Ficus carica,20,15,10,cm
Frangula alnus,7,4.5,2,cm
Halesia carolina,12,8.5,5,cm
Hamamelis virginiana,16.7,10.2,3.7,cm
Hovenia dulcis,20,12.75,7,cm
Koelreuteria paniculata,50,50,50,cm
Ligustrum lucidum,17,11.5,6,cm
Ligustrum sinense,13,7.333333333,2,cm
Lonicera maackii,8,6,3,cm
Maackia amurensis,30,25,20,cm
Magnolia fraseri,60,36.66666667,20,cm
Morella cerifera,13.3,7.38,1.1,cm
Morus nigra,20,12.66666667,6,cm
Notholithocarpus densiflorus,12,9,6,cm
Osmanthus fragrans,15,10.875,7,cm
Persea borbonia,16,11,6,cm
Phyllostachys aurea,15,9.75,6,cm
Physocarpus opulifolius,10,6,2,cm
Picea abies,2.5,1.8,1,cm
Picea pungens,3,2.25,1.5,cm
Pinus echinata,13,9,5,cm
Pinus radiata,20,13,8,cm
Populus alba,12,5.76,3,cm
Populus deltoides,18,14,10,cm
Populus grandidentata,10,8.5,7,cm
Populus nigra,10,7.5,5,cm
Prunus armeniaca,10,6.25,3,cm
Prunus avium,15,9.75,3,cm
Prunus cerasifera,8,4.3,2,cm
Prunus laurocerasus,25,15,5,cm
Prunus persica,16,10.75,5,cm
Prunus salicina,12,7.2,3,cm
Prunus serrulata,12,7.125,3.5,cm
Ptelea trifoliata,12,9,6,cm
Pyrus calleryana,8,6,4,cm
Quercus agrifolia,7.5,4.5,1.5,cm
Quercus arizonica,9,6,3,cm
Quercus imbricaria,20,14,8,cm
Quercus laevis,20,15,10,cm
Quercus laurifolia,12,7.5,3,cm
Quercus macrocarpa,31,14.5,5,cm
Quercus marilandica,20,10.66666667,5,cm
Quercus robur,20,11.625,5,cm
Quercus shumardii,20,15,10,cm
Quercus texana,20,13.75,7.5,cm
Rhododendron maximum,20,15,10,cm
Rhus typhina,50,50,50,cm
Robinia pseudoacacia,30,25,20,cm
Rosa acicularis,15,12,7,cm
Rosa multiflora,10,7.5,5,cm
Rubus idaeus,10,7.5,5,cm
Salix babylonica,16,10.66666667,5,cm
Sambucus racemosa,25,17.5,10,cm
Spiraea cantoniensis,6.5,4.5,3,cm
Syringa reticulata,14,8.625,2.5,cm
Taxodium distichum,2,1.45,0.5,cm
Thuja occidentalis,0.5,0.28,0.15,cm
Tilia cordata,9,6,3,cm
Tilia tomentosa,15,11,8,cm
Umbellularia californica,12,7.5,3,cm
Vernicia fordii,25,14.6,5,cm
Viburnum rhytidophyllum,20,14,8,cm
Zelkova serrata,12,6.25,2,cm
