AccSpeciesName,maxLength,meanLength,minLength,
Acer negundo,21.5,17.38,13.6,cm
Calycanthus floridus,11.972,6.943395,0.4772,cm
Castanea pumila,8.89,7.595,6.32,cm
Cephalanthus occidentalis,13.58,10.99333333,7.36,cm
Crataegus,50,50,50,cm
Cyrilla racemiflora,9.86,8.188,6.58,cm
Euonymus alatus,60,55,50,cm
Hamamelis virginiana,7.96,6.48375,5.05,cm
Ilex glabra,4.96,4.315714286,3.5,cm
Ligustrum sinense,60,5.844057143,0.3311,cm
Lonicera maackii,60,60,60,cm
Maackia amurensis,70,70,70,cm
Osmanthus fragrans,60,60,60,cm
Persea borbonia,18.3,12.49333333,10.32,cm
Populus grandidentata,8.6,8.45,8.3,cm
Quercus laevis,22.54,19.59,15.19,cm
Quercus laurifolia,10.56,8.727,6.37,cm
Rhus copallinum,15.01,12.125,7.87,cm
Robinia pseudoacacia,50,50,50,cm
Salix babylonica,160,17.63630455,2.4245,cm
Vernicia fordii,200,200,200,cm
Zelkova serrata,60,8.962857143,0.797,cm
