cleanedName,sciName,itis_id,rank
Maple,Acer,28727,genus
Trident maple,Acer buergerianum,837859,species
Hedge maple,Acer campestre,28739,species
Florida maple,Acer floridanum,183691,species
Amur maple,Acer ginnala,28741,species
Chalk maple,Acer leucoderme,28761,species
Bigleaf maple,Acer macrophyllum,28748,species
Acer negundo,Acer negundo,28749,species
Boxelder,Acer negundo,28749,species
Black maple,Acer nigrum,182135,species
Japanese maple,Acer palmatum,182136,species
Striped maple,Acer pensylvanicum,28754,species
Norway maple,Acer platanoides,28755,species
Red maple,Acer rubrum,28728,species
Silver maple,Acer saccharinum,28757,species
Sugar maple,Acer saccharum,28731,species
Acer x freemanii,Acer X freemanii,500949,species
Horned maple,Acer diabolicum,837851,species
Southern sugar maple,Acer saccharum,28731,species
Buckeye,Aesculus,28714,genus
Ohio buckeye,Aesculus glabra,28718,species
Aesculus hippocastanum,Aesculus hippocastanum,28721,species
Aesculus parviflora,Aesculus parviflora,28722,species
Bottlebrush buckeye,Aesculus parviflora,28722,species
Red buckeye,Aesculus pavia,28723,species
Yellow buckeye,Aesculus flava,837871,species
Ailanthus,Ailanthus,28826,genus
Alder,Alnus,19466,genus
Hazel alder,Alnus serrulata,19468,species
Speckled alder,Alnus incana,19471,species
Serviceberry,Amelanchier,25108,species
Common serviceberry,Amelanchier arborea,25110,species
Amelanchier laevis,Amelanchier laevis,182046,species
Pacific madrone,Arbutus menziesii,23627,species
Dwarf pawpaw,Asimina pygmea,18114,species
Pawpaw,Asimina triloba,18117,species
Baccharis halimifolia,Baccharis halimifolia,35682,species
Birch,Betula,19478,genus
Yellow birch,Betula alleghaniensis,19481,species
Black birch,Betula lenta,19487,species
Sweet birch,Betula lenta,19487,species
White birch,Betula minor,183534,species
River birch,Betula nigra,19480,species
Paper birch,Betula papyrifera,19489,species
Gray birch,Betula populifolia,19497,species
Heartleaf birch,Betula cordifolia,195222,species
Buxus,Buxus,28022,genus
Callicarpa americana,Callicarpa americana,32144,species
Calycanthus,Calycanthus,18139,species
Eastern sweetshrub,Calycanthus floridus,18142,species
Camellia,Camellia,500689,genus
Hornbeam,Carpinus,19503,genus
American hornbeam,Carpinus caroliniana,19504,species
Blue beech,Carpinus caroliniana,19504,species
Hickory,Carya,19223,genus
Bitternut hickory,Carya cordiformis,19227,species
Pignut hickory,Carya glabra,19231,species
Pecan,Carya illinoinensis,19234,species
Shellbark hickory,Carya laciniosa,19235,species
Nutmeg hickory,Carya myristiciformis,19239,species
Shagbark hickory,Carya ovata,19242,species
Mockernut hickory,Carya tomentosa,19247,species
American chestnut,Castanea dentata,19454,species
Chinese chestnut,Castanea mollissima,501318,species
Catalpa,Catalpa,34312,genus
Southern catalpa,Catalpa bignonioides,34313,species
Northern catalpa,Catalpa speciosa,34315,species
Oriental bittersweet,Celastrus orbiculatus,506068,species
Hackberry,Celtis,19039,genus
Sugarberry,Celtis laevigata,19042,species
Common buttonbush,Cephalanthus occidentalis,34786,species
Eastern redbud,Cercis canadensis,25782,species
Chinese quince,Chaenomeles sinensis,565928,species
Atlantic white-cedar,Chamaecyparis thyoides,18046,species
White-cedar,Chamaecyparis thyoides,18046,species
Fragrant wintersweet,Chimonanthus praecox,NA,species
Fringetree,Chionanthus,32948,genus
Kentucky yellowwood,Cladrastis kentukea,26539,species
Dogwood,Cornus,27798,genus
Alternate-leaf dogwood,Cornus alternifolia,27813,species
Silky dogwood,Cornus amomum,27799,species
Roughleaf dogwood,Cornus drummondii,27807,species
Flowering dogwood,Cornus florida,27806,species
Stiff dogwood,Cornus foemina,27802,species
Kousa dogwood,Cornus kousa,507498,species
Big-leaf dogwood,Cornus macrophylla,896096,species
Cornelian-cherry dogwood,Cornus mas,565094,species
Cornus mas,Cornus mas,565094,species
Cornus stolonifera,Cornus sericea,501637,species
Redosier dogwood,Cornus sericea,501637,species
Weeping knoss dogwood,Cornus kousa,507498,species
Grey dogwood,Cornus racemosa,501635,species
Hazelnut,Corylus,19505,genus
American hazelnut,Corylus americana,19506,species
Beaked hazel,Corylus cornuta,19507,species
Hawthorn,Crataegus,24539,genus
Broadleaf hawthorn,Crataegus dilatata,24555,species
Fanleaf hawthorn,Crataegus flabellata,24561,species
Washington hawthorn,Crataegus phaenopyrum,24593,species
Cyrilla racemiflora,Cyrilla racemiflora,23449,species
Bush honeysuckle,Diervilla,35309,genus
Persimmon,Diospyros,23853,genus
Common persimmon,Diospyros virginiana,23855,species
Edgeworthia chrysantha,Edgeworthia chrysantha,512730,species
Russian-olive,Elaeagnus angustifolia,27770,species
Autumn olive,Elaeagnus umbellata,27776,species
Euonymus alatus,Euonymus alatus,27946,species
European spindletree,Euonymus europaeus,27949,species
Yeddo euonymous,Euonymus hamiltonianus,894989,species
Beech,Fagus,19461,genus
American beech,Fagus grandifolia,19462,species
European beech,Fagus sylvatica,502590,species
Fagus sylvatica,Fagus sylvatica,502590,species
Japanese knotweed,Fallopia japonica,565897,species
Speckled japanese aralla,Fatsia japonica,505935,species
Ficus,Ficus,19081,species
