,X.x,cleanedName,sciName,itis_id,rank,notes,X.y,LeafLength,maxLeafLength,meanLeafLength,minLeafLength,Source for LeafLength (mm),LeafArea,maxLeafArea,meanLeafArea,minLeafArea
97,97,Green ash,Fraxinus pennsylvanica,32929,species,,70,LeafLength,40,29,18,,LeafArea,4486.666667,3282.555556,2467
98,98,American chestnut,Castanea dentata,19454,species,,32,LeafLength,30,19.5,9,,LeafArea,12400,8740.55,6019
100,100,American basswood,Tilia americana,21536,species,,186,LeafLength,224.589,110.7785333,12.7,,LeafArea,28680,8515.992973,171.879
101,101,Black walnut,Juglans nigra,19254,species,,79,LeafLength,60,40,20,,LeafArea,54675,19662.91667,2293.333333
107,107,Eastern hophornbeam,Ostrya virginiana,19511,species,,110,LeafLength,110.6,61.86,5,,LeafArea,8271.867,3386.291182,772
111,111,Bur oak,Quercus macrocarpa,19287,species,,155,LeafLength,31,14.5,5,,LeafArea,19000,10099.77778,5267
117,117,Malus siberica,Malus baccata,NA,species,not updated,102,LeafLength,8,5.5,3,,LeafArea,1184.77,987.89,791.01
118,118,Highbush blueberry,Vaccinium corymbosum,23573,species,,196,LeafLength,37.1,18.56666667,3,,LeafArea,2200,447.1846154,87
120,120,Cornus mas,Cornus mas,565094,species,,48,LeafLength,10,7,4,,LeafArea,2844.5,1155.506667,405.8
121,121,Kalopanax septemlobus,Kalopanax septemlobus,565257,species,,81,LeafLength,300,300,300,,LeafArea,85000,31510.05894,1800.9
127,127,Tilia cordata,Tilia cordata,505507,species,,187,LeafLength,9,6,3,,LeafArea,3162,2627.1383,868.5
129,129,Viburnum dilatatum,Viburnum dilatatum,505677,species,,198,LeafLength,50,16.2,3,,LeafArea,3254,2131.266667,700
135,135,Fagus sylvatica,Fagus sylvatica,502590,species,,63,LeafLength,9,6.5,4,,LeafArea,7428,1964.308016,247
136,136,Southern magnolia,Magnolia grandiflora,18074,species,,98,LeafLength,250.835,141.1367027,7.5,,LeafArea,19077,8948.786582,131.408
137,137,Black oak,Quercus velutina,19447,species,,167,LeafLength,30,16,8,,LeafArea,27760,11045.08333,4270.333333
140,140,Pin oak,Quercus palustris,19281,species,,160,LeafLength,20,13.75,10,,LeafArea,7477,5400.666667,2650
143,143,Carolina ash,Fraxinus caroliniana,32941,species,,68,LeafLength,255,212.3333333,175,,LeafArea,52418,22683.25,8668
146,146,American hazelnut,Corylus americana,19506,species,,51,LeafLength,16,10.5,5,,LeafArea,6075,6075,6075
148,148,Bitternut hickory,Carya cordiformis,19227,species,,27,LeafLength,40,30,20,,LeafArea,6075,3891.666667,1160
161,161,Swamp white oak,Quercus bicolor,19300,species,,148,LeafLength,21.5,14.85,7.9,,LeafArea,6075,6075,6075
165,165,Overcup oak,Quercus lyrata,19278,species,,154,LeafLength,20,15.33333333,10,,LeafArea,5163,5163,5163
168,168,Siberian elm,Ulmus pumila,19057,species,,194,LeafLength,40,10.91666667,2,,LeafArea,1125,857.3466667,700
169,169,Southern red oak,Quercus falcata,19277,species,,150,LeafLength,203.2,104.3852333,7,,LeafArea,16205,6454.683478,272.957
171,171,Japanese privet,Ligustrum japonicum,503449,species,,85,LeafLength,10,7,4,,LeafArea,675,675,675
175,175,Stiff dogwood,Cornus foemina,27802,species,,45,LeafLength,115.4,98.49166667,83,,LeafArea,5583,3635.916667,2494
177,177,Japanese snowbell,Styrax japonicus,505974,species,,182,LeafLength,50,21.33333333,4,,LeafArea,1125,941.8333333,700
180,180,Red buckeye,Aesculus pavia,28723,species,,12,LeafLength,170,151.3333333,135,,LeafArea,15012,10998.25,8684
184,184,European spindletree,Euonymus europaeus,27949,species,,60,LeafLength,10,10,10,,LeafArea,3162,1198.988095,625
185,185,Sweet birch,Betula lenta,19487,species,,19,LeafLength,10,7.5,5,,LeafArea,5310,3964.027778,2660.5
188,188,Trident maple,Acer buergerianum,837859,species,,2,LeafLength,50,22,6,,LeafArea,15007.5,2079.481818,266.8
189,189,Water oak,Quercus nigra,19280,species,,158,LeafLength,129.7,78.83621212,3,,LeafArea,6570,2551.449862,304.915
190,190,Japanese zelkova,Zelkova serrata,505790,species,,201,LeafLength,111.717,51.1,2,,LeafArea,4127.429,1436.432696,35.101
191,191,Mountain laurel,Kalmia latifolia,23677,species,,80,LeafLength,71.617,48.896,21.858,,LeafArea,4000,1184.589293,82.378
193,193,Eastern hemlock,Tsuga canadensis,183397,species,,190,LeafLength,2.5,1.625,0.5,,LeafArea,48,48,48
194,194,Eastern white pine,Pinus strobus,183385,species,,120,LeafLength,84,39.14285714,5,,LeafArea,270,198,45
195,195,Virginia pine,Pinus virginiana,183394,species,,122,LeafLength,80.045,46.37779167,2,,LeafArea,82.128,52.5177,22.369
199,199,Hedge maple,Acer campestre,28739,species,,3,LeafLength,7,5.5,4,,LeafArea,5570,3843.714286,865
205,205,Redbay,Persea borbonia,18149,species,,112,LeafLength,183,96.45,6,,LeafArea,6553,3303.887006,1018
206,206,Ilex vomitoria,Ilex vomitoria,27986,species,,78,LeafLength,60.8,42.28333333,21.8,,LeafArea,1050,581.4066667,167
208,208,Morella cerifera,Morella cerifera,507899,species,,103,LeafLength,13.3,7.38,1.1,,LeafArea,2162,816.0701754,324
209,209,Callicarpa americana,Callicarpa americana,32144,species,,24,LeafLength,162.4,102.7833333,47.7,,LeafArea,9152,4202.116667,916
211,211,River birch,Betula nigra,19480,species,,20,LeafLength,86.587,52.27881818,4,,LeafArea,4800,1960.450946,35.627
212,212,Russian-olive,Elaeagnus angustifolia,27770,species,,56,LeafLength,10,5.75,2.5,,LeafArea,1120,1120,1120
217,217,Rose of sharon,Hibiscus syriacus,21638,species,,73,LeafLength,111.444,57.16683333,3,,LeafArea,5803.646,2283.628,5.75
221,221,Laurel oak,Quercus laurifolia,19368,species,,153,LeafLength,105.6,73.975,3,,LeafArea,3706,2007.368421,734.6666667
223,223,Red mulberry,Morus rubra,19070,species,,106,LeafLength,178.5,113.7461538,10,,LeafArea,16269,8551.539007,4173
232,232,Common spicebush,Lindera benzoin,NA,species,more commonly known as northern spicebush,88,LeafLength,15,8.333333333,4,,LeafArea,3650,2760.416667,1560
241,241,Oriental bittersweet,Celastrus orbiculatus,506068,species,,36,LeafLength,60,18,5,,LeafArea,5604.38035,2626.803021,137.5
245,245,Multiflora rose,Rosa multiflora,24833,species,,177,LeafLength,10,7.5,5,,LeafArea,119,119,119
249,249,Common ninebark,Physocarpus opulifolius,25282,species,,114,LeafLength,10,6,2,,LeafArea,2150,2150,2150
252,252,Black locust,Robinia pseudoacacia,504804,species,,175,LeafLength,50,33.33333333,20,,LeafArea,9400,1800.227778,333.5
253,253,Amur honeysuckle,Lonicera maackii,35298,species,,92,LeafLength,60,16.8,3,,LeafArea,8004,2446.04,700
254,254,Frangula alnus,Rhamnus frangula,NA,species,not updated,66,LeafLength,7,4.5,2,,LeafArea,5360.37,2272.326308,120.5038462
256,256,Great rhododendron,Rhododendron maximum,NA,species,more commonly known as great laurel,171,LeafLength,20,15,10,,LeafArea,12000,7480.380952,2571.333333
257,257,Fraser's magnolia,Magnolia fraseri,18073,species,,97,LeafLength,60,36.66666667,20,,LeafArea,22260,22260,22260
268,268,Pacific madrone,Arbutus menziesii,23627,species,,16,LeafLength,15.2,11.4,7.6,,LeafArea,4927.275382,4551.487296,3816.885714
269,269,California live oak,Quercus agrifolia,19289,species,,146,LeafLength,7.5,4.5,1.5,,LeafArea,1825.49,1264.56644,836.38
271,271,Common buttonbush,Cephalanthus occidentalis,34786,species,,38,LeafLength,135.8,99.99,6,,LeafArea,6075,3448.74,1169
276,276,Rhus typhina,Rhus typhina,28777,species,,174,LeafLength,50,50,50,,LeafArea,25500,2334.221739,770.27
286,286,Weeping willow,Salix babylonica,837788,species,,179,LeafLength,160,70.14239286,5,,LeafArea,1370.569,595.8798182,16.813
287,287,Grey dogwood,Cornus racemosa,NA,species,mispelled,49,LeafLength,10,7,4,,LeafArea,1366,1366,1366
295,295,Fig,Ficus,19081,species,,64,LeafLength,11.9493,11.5011,10.6385,,LeafArea,11931.22,6857.41533,873.3333333
297,297,Cherry laurel,Prunus laurocerasus,24786,species,,135,LeafLength,25,15,5,,LeafArea,11174,5786.265913,854.7916667
301,301,Sweetbay,Magnolia virginiana,18070,species,,100,LeafLength,279.58,157.5026923,6,,LeafArea,26864,6613.223485,2086
302,302,Turkey oak,Quercus laevis,19367,species,,152,LeafLength,225.4,150.675,10,,LeafArea,19512,10578.8,4018
304,304,Ilex glabra,Ilex glabra,27981,species,,76,LeafLength,49.6,43.15714286,35,,LeafArea,955,525.5416667,326
305,305,Cyrilla racemiflora,Cyrilla racemiflora,23449,species,,55,LeafLength,98.6,81.88,65.8,,LeafArea,2925,1361.384318,578
