,X.x,cleanedName,sciName,itis_id,rank,notes,X.y,LeafLength,maxLeafLength,meanLeafLength,minLeafLength,Source for LeafLength (mm),LeafArea,maxLeafArea,meanLeafArea,minLeafArea
52,52,Maple,Acer,28727,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
53,53,Elm,Ulmus,19048,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
55,55,Oak,Quercus,19276,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
57,57,Blackhaw,Viburnum prunifolium,35253,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
58,58,Yellow buckeye,Aesculus flava,NA,species,not updated,NA,NA,NA,NA,NA,,NA,NA,NA,NA
60,60,Spicebush,Lindera,18146,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
64,64,Magnolia,Magnolia,18069,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
67,67,Pear,Pyrus,25294,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
70,70,Ironwood,NA,NA,species,check photos,NA,NA,NA,NA,NA,,NA,NA,NA,NA
71,71,Florida maple,Acer floridanum,183691,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
73,73,Viburnum rufidulum,Viburnum rufidulum,35274,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
77,77,Common serviceberry,Amelanchier arborea,25110,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
78,78,Mapleleaf viburnum,Viburnum acerifolium,35255,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
79,79,Chestnut oak,Quercus montana,19379,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
81,81,Common persimmon,Diospyros virginiana,23855,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
83,83,Honeylocust,Gleditsia,26711,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
92,92,Willow,Salix,22476,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
95,95,Apple,Malus,25254,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
99,99,Sour cherry,Prunus cerasus,24773,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
103,103,Symplocos tinctoria,Symplocos tinctoria,23878,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
104,104,Walnut,Juglans,19248,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
109,109,Hazelnut,Corylus,19505,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
110,110,White cedar,Chamaecyparis,18045,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
112,112,Vaccinium caesariense,Vaccinium corymbosum ,NA,species,not updated,NA,NA,NA,NA,NA,,NA,NA,NA,NA
113,113,Myrica cerifera,Morella cerifera ,NA,species,not updated,NA,NA,NA,NA,NA,,NA,NA,NA,NA
114,114,Ilex verticillata,Ilex verticillata,27985,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
115,115,Basswood,Tilia,21535,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
116,116,Viburnum lentago,Viburnum lentago,35266,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
119,119,Sassafras,Sassafras,18157,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
122,122,Acer x freemanii,Acer X freemanii,500949,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
124,124,Hydrangea quercifolia,Hydrangea quercifolia,24200,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
125,125,Black maple,Acer nigrum,182135,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
128,128,Tilia x europaea,Tilia X europaea,21538,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
130,130,Stewartia rostrata,Stewartia,NA,species,not sure what else,NA,NA,NA,NA,NA,,NA,NA,NA,NA
132,132,Pawpaw,Asimina,18108,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
133,133,Hazel alder,Alnus serrulata,19468,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
134,134,Ash,Fraxinus,32928,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
139,139,Slippery elm,Ulmus rubra,19050,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
141,141,Dwarf pawpaw,Asimina pygmea,18114,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
142,142,Fringetree,Chionanthus,32948,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
144,144,Tuliptree,Liriodendron,18085,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
145,145,American bladdernut,Staphylea trifolia,28646,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
147,147,Cucumber magnolia,Cucumbertree,NA,species,not updated,NA,NA,NA,NA,NA,,NA,NA,NA,NA
150,150,Mockernut hickory,Carya tomentosa,19247,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
152,152,Scrub oak,Quercus berberidifolia,507263,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
154,154,Gaylussacia baccata,Gaylussacia baccata,23660,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
155,155,Prunus maritima,Prunus maritima,24790,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
156,156,Morella caroliniensis,Morella caroliniensis,507898,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
158,158,Alder,Alnus,19466,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
159,159,American mountain-ash,Sorbus americana,25319,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
160,160,Forsythia,Forsythia,32961,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
163,163,Viburnum,Viburnum,35249,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
170,170,Southern sugar maple,Acer saccharum var. saccharum,NA,species,not updated,NA,NA,NA,NA,NA,,NA,NA,NA,NA
172,172,Buckeye,Aesculus,28714,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
173,173,Witch hazel,Hamamelidaceae,19025,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
183,183,Chinese quince,Chaenomeles,NA,species,not updated,NA,NA,NA,NA,NA,,NA,NA,NA,NA
186,186,Yeddo euonymous,Euonymus hamiltonianus ssp. sieboldianus,NA,species,"mispelled, also known as Hamilton's spindletree",NA,NA,NA,NA,NA,,NA,NA,NA,NA
187,187,Beech,Fagus,19461,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
192,192,Catawba rhododendron,Rhododendron catawbiense,23714,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
196,196,Elderberry,Sambucus,35315,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
204,204,Horned maple,Acer diabolicum,NA,species,didn't match,NA,NA,NA,NA,NA,,NA,NA,NA,NA
207,207,Chinese tallowtree,Triadica sebifera,NA,species,called Chinese tallow tree but that's not updated,NA,NA,NA,NA,NA,,NA,NA,NA,NA
213,213,Golden rain tree,Koelreuteria elegans,503285,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
215,215,Clerya,Mulinia cleryana,80960,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
216,216,Camellia,Camellia,500689,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
219,219,Catalpa,Catalpa,34312,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
220,220,Chinese evergreen oak,Quercus glauca,NA,species,not updated,NA,NA,NA,NA,NA,,NA,NA,NA,NA
224,224,Hornbeam,Carpinus,19503,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
226,226,Coastal azalea,Rhododendron atlanticum ,NA,species,diff name,NA,NA,NA,NA,NA,,NA,NA,NA,NA
227,227,Plumleaf azalea,Rhododendron prunifolium,23728,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
229,229,Florida azalea,Rhododendron austrinum,23705,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
230,230,Rhododendron canescens,Rhododendron canescens,23712,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
235,235,Sumac,Rhus,28772,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
237,237,Mulberry,Morus,19064,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
238,238,Wineberry,Rubus phoenicolasius,25017,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
239,239,Japanese knotweed,Fallopia japonica,565897,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
244,244,Brambles,Rubus,24848,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
246,246,Bush honeysuckle,Diervilla,35309,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
247,247,Ohio buckeye,Aesculus glabra,28718,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
250,250,Ozark witch hazel,Hamamelis vernalis,NA,species,mispelled,NA,NA,NA,NA,NA,,NA,NA,NA,NA
255,255,Wisteria,Wisteria,27019,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
258,258,Buffalo nut,Pyrularia pubera,504705,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
259,259,Mountain holly,Ilex montana,28002,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
261,261,Sycamore,Platanus,19019,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
262,262,Calycanthus,Calycanthus,18139,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
264,264,Podocarpus,Podocarpus,183488,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
265,265,Florida forestiera,Forestiera segregata,NA,species,more commonly known as florida privet?,NA,NA,NA,NA,NA,,NA,NA,NA,NA
266,266,California laurel,Umbellularia,18207,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
270,270,Lonicera hispidula var. vacillans,Lonicera hispidula var. vacillans,528895,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
272,272,Broadleaf hawthorn,Crataegus coccinioides,NA,species,not updated,NA,NA,NA,NA,NA,,NA,NA,NA,NA
273,273,Sweet crab apple,Malus coronaria,25257,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
274,274,Winterberry,Euonymus bungeanus,894990,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
279,279,Fanleaf hawthorn,Crataegus flabellata,24561,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
281,281,Persimmon,Diospyros,23853,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
283,283,Virginia sweetspire,Itea virginica,24202,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
284,284,Common privet,Ligustrum vulgare,NA,species,not updated,NA,NA,NA,NA,NA,,NA,NA,NA,NA
294,294,Speckled japanese aralla,Fatsia japonica,NA,species,more commonly known as paperplant,NA,NA,NA,NA,NA,,NA,NA,NA,NA
296,296,Southern crab apple,Malus angustifolia,25255,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
298,298,Yew,Taxus,194882,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
299,299,Bald cypress,Taxodium,18040,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
300,300,Canyon grape,Vitis arizonica,28612,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
306,306,Leucothoe axillaris,Leucothoe axillaris,23550,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
309,309,Prairie crab apple,Malus ioensis,25259,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
311,311,Oregon crab apple,Malus fusca,25258,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
314,314,Silky dogwood,Cornus amomum,27799,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
315,315,Silver maple,Acer saccharinum,28757,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
316,316,Roughleaf dogwood,Cornus drummondii,27807,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
317,317,Rose,Rosa,24807,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
318,318,Buxus,Buxus,28022,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
331,331,Olea,Olea,32989,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
333,333,Illicium,Illicium,18082,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
334,334,Magnolia figo,Liriodendron chinese,NA,species,I think? Diff common name,NA,NA,NA,NA,NA,,NA,NA,NA,NA
336,336,Edgeworthia chrysantha,Edgeworthia chrysantha,512730,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
338,338,Sugarberry,Celtis laevigata,19042,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
343,343,American plum,Prunus americana,24763,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
347,347,Water tupelo,Nyssa aquatica,27824,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
349,349,Gardenia,Gardenia,35159,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
350,350,Nandina domestica,Nandina domestica,18848,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
351,351,Ailanthus,Ailanthus,28826,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
360,360,Heartleaf birch,Betula cordifolia,NA,species,also known as mountain white birch,NA,NA,NA,NA,NA,,NA,NA,NA,NA
361,361,Catberry,Ilex mucronata,835359,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
363,363,Mountain ash,Piptocarpha tetrantha,38860,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
365,365,Black willow,Salix nigra,22484,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
372,372,Nerium oleander,Nerium oleander,30184,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
373,373,Viburnum tinus,Viburnum tinus,505680,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
374,374,Nothoscordum gracile,Nothoscordum gracile,503967,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
375,375,Texas sophora,Styphnolobium affine,NA,species,not updated,NA,NA,NA,NA,NA,,NA,NA,NA,NA
377,377,Yucca rostrata,Yucca rostrata,43150,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
379,379,Carolina lauralcherry,Carolina laurelcherry,NA,species,mispelled,NA,NA,NA,NA,NA,,NA,NA,NA,NA
380,380,Gum bumelia,Sideroxylon lanuginosum ssp. lanuginosum,524695,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
382,382,Stretchberry,Forestiera pubescens,32957,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
389,389,Common gardenia,Gardenia volkensii,845972,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
391,391,Reeves spiraea,Spiraea prunifolia,NA,species,bridalsreath spiraea is more common,NA,NA,NA,NA,NA,,NA,NA,NA,NA
392,392,Button mangrove,Conocarpus erectus,27766,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
393,393,Strawberry bush,Euonymus americanus,27947,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
399,399,Bigleaf snowbell,Styrax grandifolius,505399,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
404,404,Punica,Punica,27277,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
405,405,Camptotheca,Camptotheca,500635,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
408,408,Silverbell,Halesia,23863,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
409,409,Pussy willow,Salix discolor,22524,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
410,410,Cockspur hawthorn,Crataegus crus-galli,24552,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
411,411,Honey locust,Gleditsia triacanthos,26714,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
415,415,Alnus crispa,Alnus viridis ssp. Crispa,NA,species,not updated,NA,NA,NA,NA,NA,,NA,NA,NA,NA
418,418,Lonicera involucrata,Lonicera involucrata,35297,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
419,419,Franklin tree,Franklinia,21383,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
424,424,Ulmus carpinifolia,Ulmus procera,19056,species,not updated,NA,NA,NA,NA,NA,,NA,NA,NA,NA
434,434,Syringa vulgaris,Syringa vulgaris,32996,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
438,438,Shining willow,Salix lucida,22554,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
442,442,Prunus sargentii,Pseudophoenix sargentii ssp. Sargentii,524598,species,possibly known as Sargent's cherry palm,NA,NA,NA,NA,NA,,NA,NA,NA,NA
446,446,Quercus hemispherica,Quercus hemisphaerica,195108,species,mispelled,NA,NA,NA,NA,NA,,NA,NA,NA,NA
448,448,Ilex ambigua,Ilex ambigua,27987,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
449,449,Hibiscus coccineus albus,Hibiscus coccineus,21625,species,possibly just Hibiscus coccineus,NA,NA,NA,NA,NA,,NA,NA,NA,NA
451,451,Hibiscus moscheutos,Hibiscus moscheutos,21612,species,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
