plantName,cleanedName,sciName,itis_id,rank,notes,isConifer
Tilia tomentosa,,,,,,
Ulmus carpinifolia,,,,,,
Pitch pine,,,,,,
Sassafras spp.,,,,,,
Cedar elm,,,,,,
Loblolly pine,,,,,,
Prickly ash,,,,,,
Fremont cottonwood,,,,,,
Rosa spp.,,,,,,
Cypress spp.,,,,,,
Elderberry spp.,,,,,,
Eastern cottonwood,,,,,,
"Azalea, rhododendron spp.",,,,,,
Post oak,,,,,,
Shortleaf pine,,,,,,
Syringa vulgaris,,,,,,
Horse chestnut,,,,,,
Arizona white oak,,,,,,
Norway spruce,,,,,,
Shining willow,,,,,,
Myrobalan plum,,,,,,
Magnolia kobus,,,,,,
Prunus serulata (japanese cherry blossom),,,,,,
Prunus sargentii,,,,,,
Amelanchier,,,,,,
Prunus rosaceae,,,,,,
Staghorn sumac,,,,,,
Cottonwood and poplar spp.,,,,,,
Buckthorn spp.,,,,,,
Quercus hemispherica,,,,,,
Prunus umbellata,,,,,,
Ilex ambigua,,,,,,
Hibiscus coccineus albus,,,,,,
Quercus nuttallii,,,,,,
Hibiscus moscheutos,,,,,,
Eastern redcedar,,,,,,
Southern arrowwood,,,,,,
Cucumbertree,,,,,,
Redcedar/juniper spp.,,,,,,
Red pine,,,,,,
Witch-hazel,,,,,,
Winged sumac,,,,,,
Lonicera sempervirens,,,,,,
Water hickory,,,,,,
Blackgum tupelo,,,,,,
Yaupon holly,,,,,,
Chastetree,,,,,,
Duranta,,,,,,
Golden thryallis,,,,,,
Lantana,,,,,,
Southern red cedar,,,,,,
Cabbage palmetto,,,,,,
Silverberry,,,,,,
Loropetalum,,,,,,
Chinese elm,,,,,,
Windy salvia,,,,,,
Eastern baccharis,,,,,,
Pine spp.,,,,,,
Nannyberry,,,,,,
Hophornbeam spp.,,,,,,
Tree of heaven,,,,,,
Tupelo spp.,,,,,,
Hazelnut spp.,,,,,,
Fringetree spp.,,,,,,
Spicebush spp.,,,,,,
Bebb willow,,,,,,
Dpwny arrowwood,,,,,,
Downy arrowwood,,,,,,
Deutzia spp.,,,,,,
Fig spp.,,,,,,
Muscadine,,,,,,
Freeman maple,,,,,,
Beaked hazelnut,,,,,,
Locust spp.,,,,,,
