"X","cleanedName","sciName","itis_id","rank","notes","X.1"
415,"Alnus crispa","Alnus viridis ssp. Crispa",NA,"species","not updated",NA
416,"Rosa acicularis","Rosa acicularis",24812,"species","",NA
417,"Rubus idaeus","Rubus idaeus",24947,"species","",NA
418,"Lonicera involucrata","Lonicera involucrata",35297,"species","",NA
419,"Franklin tree","Franklinia",21383,"species","",NA
420,"Crepe myrtle","Lagerstroemia indica",NA,"species","also known as",NA
421,"Prunus salicina","Prunus salicina",506232,"species","",NA
422,"Na",NA,NA,"species","",NA
423,"Tilia tomentosa","Tilia tomentosa",845764,"species","",NA
424,"Ulmus carpinifolia","Ulmus procera",19056,"species","not updated",NA
425,"Pitch pine",NA,NA,"species","check photos",NA
426,"Loblolly pine","Pinus taeda",18037,"species","",NA
427,"Fremont cottonwood","Populus fremontii",22459,"species","mispelled",NA
429,"Cypress",NA,NA,"species","check photos: two genuses",NA
430,"Eastern cottonwood","Populus deltoides",22445,"species","",NA
432,"Post oak","Quercus stellata",19422,"species","",NA
433,"Shortleaf pine","Pinus echinata",183335,"species","",NA
434,"Syringa vulgaris","Syringa vulgaris",32996,"species","",NA
436,"Arizona white oak","Quercus arizonica",19292,"species","",NA
437,"Norway spruce","Picea abies",183289,"species","",NA
438,"Shining willow","Salix lucida",22554,"species","",NA
439,"Myrobalan plum","Prunus cerasifera",24772,"species","",NA
441,"Prunus serultaa","Prunus serrulata",506233,"species","mispelled",NA
442,"Prunus sargentii","Pseudophoenix sargentii ssp. Sargentii",524598,"species","possibly known as Sargent's cherry palm",NA
445,"Cottonwood and poplar",NA,NA,"species","check photos",NA
446,"Quercus hemispherica","Quercus hemisphaerica",195108,"species","mispelled",NA
447,"Prunus umbellata","Prunus umbellata",24805,"species","",NA
448,"Ilex ambigua","Ilex ambigua",27987,"species","",NA
449,"Hibiscus coccineus albus","Hibiscus coccineus",21625,"species","possibly just Hibiscus coccineus",NA
450,"Quercus nuttallii","Quercus texana",195188,"species","not updated",NA
451,"Hibiscus moscheutos","Hibiscus moscheutos",21612,"species","",NA
