userPlantName,cleanedPlantName,sciName,itis_id,rank,notes,isConifer
Mountain-ash spp.,Mountain-ash,NA,NA,species,NA,NA
Gambel oak,Gambel's oak,NA,NA,species,NA,NA
Boxwood spp.,Buxus,NA,NA,species,NA,NA
L,NA,NA,NA,NA,NA,NA
