"userPlantName","cleanedPlantName","sciName","itis_id","rank","notes","isConifer"
"Maple","Maple","Acer","28727","genus","",0
"Trident maple","Trident maple","Acer buergerianum","837859","species","",0
"Hedge maple","Hedge maple","Acer campestre","28739","species","",0
"Florida maple","Florida maple","Acer floridanum","183691","species","",0
"Amur maple","Amur maple","Acer ginnala","28741","species","",0
"Chalk maple","Chalk maple","Acer leucoderme","28761","species","",0
"Bigleaf maple","Bigleaf maple","Acer macrophyllum","28748","species","",0
"Acer negundo","Acer negundo","Acer negundo","28749","species","",0
"Boxelder","Boxelder","Acer negundo","28749","species","",0
"Black maple","Black maple","Acer nigrum","182135","species","",0
"Japanese maple","Japanese maple","Acer palmatum","182136","species","",0
"Striped maple","Striped maple","Acer pensylvanicum","28754","species","",0
"Norway maple","Norway maple","Acer platanoides","28755","species","",0
"Red maple","Red maple","Acer rubrum","28728","species","",0
"Silver maple","Silver maple","Acer saccharinum","28757","species","",0
"Sugar maple","Sugar maple","Acer saccharum","28731","species","",0
"Acer x freemanii","Acer x freemanii","Acer X freemanii","500949","species","",0
"Horned maple","Horned maple","Acer diabolicum","837851","species","",0
"Southern sugar maple","Southern sugar maple","Acer saccharum","28731","species","",0
"Buckeye","Buckeye","Aesculus","28714","genus","",0
"Ohio buckeye","Ohio buckeye","Aesculus glabra","28718","species","",0
"Aesculus hippocastanum","Aesculus hippocastanum","Aesculus hippocastanum","28721","species","",0
"Aesculus parviflora","Aesculus parviflora","Aesculus parviflora","28722","species","",0
"Bottlebrush buckeye","Bottlebrush buckeye","Aesculus parviflora","28722","species","",0
"Red buckeye","Red buckeye","Aesculus pavia","28723","species","",0
"Yellow buckeye","Yellow buckeye","Aesculus flava","837871","species","",0
"Ailanthus","Ailanthus","Ailanthus","28826","genus","",0
"Alder","Alder","Alnus","19466","genus","",0
"Hazel alder","Hazel alder","Alnus serrulata","19468","species","",0
"Speckled alder","Speckled alder","Alnus incana","19471","species","",0
"Serviceberry","Serviceberry","Amelanchier","25108","species","",0
"Common serviceberry","Common serviceberry","Amelanchier arborea","25110","species","",0
"Amelanchier laevis","Amelanchier laevis","Amelanchier laevis","182046","species","",0
"Pacific madrone","Pacific madrone","Arbutus menziesii","23627","species","",0
"Dwarf pawpaw","Dwarf pawpaw","Asimina pygmea","18114","species","",0
"Pawpaw","Pawpaw","Asimina triloba","18117","species","",0
"Baccharis halimifolia","Baccharis halimifolia","Baccharis halimifolia","35682","species","",0
"Birch","Birch","Betula","19478","genus","",0
"Yellow birch","Yellow birch","Betula alleghaniensis","19481","species","",0
"Black birch","Black birch","Betula lenta","19487","species","",0
"Sweet birch","Sweet birch","Betula lenta","19487","species","",0
"White birch","White birch","Betula minor","183534","species","",0
"River birch","River birch","Betula nigra","19480","species","",0
"Paper birch","Paper birch","Betula papyrifera","19489","species","",0
"Gray birch","Gray birch","Betula populifolia","19497","species","",0
"Heartleaf birch","Heartleaf birch","Betula cordifolia","195222","species","",0
"Buxus","Buxus","Buxus","28022","genus","",0
"Callicarpa americana","Callicarpa americana","Callicarpa americana","32144","species","",0
"Calycanthus","Calycanthus","Calycanthus","18139","species","",0
"Eastern sweetshrub","Eastern sweetshrub","Calycanthus floridus","18142","species","",0
"Camellia","Camellia","Camellia","500689","genus","",0
"Hornbeam","Hornbeam","Carpinus","19503","genus","",0
"American hornbeam","American hornbeam","Carpinus caroliniana","19504","species","",0
"Blue beech","Blue beech","Carpinus caroliniana","19504","species","",0
"Hickory","Hickory","Carya","19223","genus","",0
"Bitternut hickory","Bitternut hickory","Carya cordiformis","19227","species","",0
"Pignut hickory","Pignut hickory","Carya glabra","19231","species","",0
"Pecan","Pecan","Carya illinoinensis","19234","species","",0
"Shellbark hickory","Shellbark hickory","Carya laciniosa","19235","species","",0
"Nutmeg hickory","Nutmeg hickory","Carya myristiciformis","19239","species","",0
"Shagbark hickory","Shagbark hickory","Carya ovata","19242","species","",0
"Mockernut hickory","Mockernut hickory","Carya tomentosa","19247","species","",0
"American chestnut","American chestnut","Castanea dentata","19454","species","",0
"Chinese chestnut","Chinese chestnut","Castanea mollissima","501318","species","",0
"Catalpa","Catalpa","Catalpa","34312","genus","",0
"Southern catalpa","Southern catalpa","Catalpa bignonioides","34313","species","",0
"Northern catalpa","Northern catalpa","Catalpa speciosa","34315","species","",0
"Oriental bittersweet","Oriental bittersweet","Celastrus orbiculatus","506068","species","",0
"Hackberry","Hackberry","Celtis","19039","genus","",0
"Sugarberry","Sugarberry","Celtis laevigata","19042","species","",0
"Common buttonbush","Common buttonbush","Cephalanthus occidentalis","34786","species","",0
"Eastern redbud","Eastern redbud","Cercis canadensis","25782","species","",0
"Chinese quince","Chinese quince","Chaenomeles sinensis","565928","species","",0
"Atlantic white-cedar","Atlantic white-cedar","Chamaecyparis thyoides","18046","species","",0
"White-cedar","White-cedar","Chamaecyparis thyoides","18046","species","",1
"Fragrant wintersweet","Fragrant wintersweet","Chimonanthus praecox",NA,"species","",0
"Fringetree","Fringetree","Chionanthus","32948","genus","",0
"Kentucky yellowwood","Kentucky yellowwood","Cladrastis kentukea","26539","species","",0
"Dogwood","Dogwood","Cornus","27798","genus","",0
"Alternate-leaf dogwood","Alternate-leaf dogwood","Cornus alternifolia","27813","species","",0
"Silky dogwood","Silky dogwood","Cornus amomum","27799","species","",0
"Roughleaf dogwood","Roughleaf dogwood","Cornus drummondii","27807","species","",0
"Flowering dogwood","Flowering dogwood","Cornus florida","27806","species","",0
"Stiff dogwood","Stiff dogwood","Cornus foemina","27802","species","",0
"Kousa dogwood","Kousa dogwood","Cornus kousa","507498","species","",0
"Big-leaf dogwood","Big-leaf dogwood","Cornus macrophylla","896096","species","",0
"Cornelian-cherry dogwood","Cornelian-cherry dogwood","Cornus mas","565094","species","",0
"Cornus mas","Cornus mas","Cornus mas","565094","species","",0
"Cornus stolonifera","Cornus stolonifera","Cornus sericea","501637","species","",0
"Redosier dogwood","Redosier dogwood","Cornus sericea","501637","species","",0
"Weeping knoss dogwood","Weeping knoss dogwood","Cornus kousa","507498","species","",0
"Grey dogwood","Grey dogwood","Cornus racemosa","501635","species","",0
"Hazelnut","Hazelnut","Corylus","19505","genus","",0
"American hazelnut","American hazelnut","Corylus americana","19506","species","",0
"Beaked hazel","Beaked hazel","Corylus cornuta","19507","species","",0
"Hawthorn","Hawthorn","Crataegus","24539","genus","",0
"Broadleaf hawthorn","Broadleaf hawthorn","Crataegus dilatata","24555","species","",0
"Fanleaf hawthorn","Fanleaf hawthorn","Crataegus flabellata","24561","species","",0
"Washington hawthorn","Washington hawthorn","Crataegus phaenopyrum","24593","species","",0
"Cyrilla racemiflora","Cyrilla racemiflora","Cyrilla racemiflora","23449","species","",0
"Bush honeysuckle","Bush honeysuckle","Diervilla","35309","genus","",0
"Persimmon","Persimmon","Diospyros","23853","genus","",0
"Common persimmon","Common persimmon","Diospyros virginiana","23855","species","",0
"Edgeworthia chrysantha","Edgeworthia chrysantha","Edgeworthia chrysantha","512730","species","",0
"Russian-olive","Russian-olive","Elaeagnus angustifolia","27770","species","",0
"Autumn olive","Autumn olive","Elaeagnus umbellata","27776","species","",0
"Euonymus alatus","Euonymus alatus","Euonymus alatus","27946","species","",0
"European spindletree","European spindletree","Euonymus europaeus","27949","species","",0
"Yeddo euonymous","Yeddo euonymous","Euonymus hamiltonianus","894989","species","",0
"Beech","Beech","Fagus","19461","genus","",0
"American beech","American beech","Fagus grandifolia","19462","species","",0
"European beech","European beech","Fagus sylvatica","502590","species","",0
"Fagus sylvatica","Fagus sylvatica","Fagus sylvatica","502590","species","",0
"Japanese knotweed","Japanese knotweed","Fallopia japonica","565897","species","",0
"Speckled japanese aralla","Speckled japanese aralla","Fatsia japonica","505935","species","",0
"Ficus","Ficus","Ficus","19081","species","",0
"Fig","Fig","Ficus","19081","species","",0
"Florida forestiera","Florida forestiera","Forestiera segregata","32959","species","",0
"Forsythia","Forsythia","Forsythia","32961","species","",0
